809->79,98
809->235,98
809->299,97
77->377,89
809->510,78
652->865,65
77->910,63
77->491,59
77->233,59
77->809,58
809->973,56
377->865,47
910->491,41
652->809,35
77->652,30
377->491,29
233->809,27
910->377,27
233->491,27
77->865,26
233->377,23
235->510,22
491->910,22
377->910,22
910->77,20
910->809,19
910->652,19
910->865,18
491->377,17
652->491,17
377->233,16
910->233,15
652->233,15
233->865,15
809->910,14
652->910,13
809->491,13
865->377,12
910->973,11
77->973,10
652->377,10
809->865,10
377->809,9
377->652,9
491->233,9
233->910,7
809->233,6
809->652,6
235->809,6
491->652,6
973->809,5
809->377,5
510->235,4
652->77,4
79->491,4
491->77,3
377->77,3
809->77,3
865->809,3
865->652,3
865->910,2
865->491,2
652->973,2
233->652,2
233->77,2
510->809,2
491->809,2
865->233,1
299->491,1
79->809,1
652->299,1
491->865,1
377->973,1
77->299,1
