6->587,100
15->654,99
60->729,99
6->969,98
60->769,98
175->255,96
15->920,90
60->251,86
102->82,85
199->348,71
175->310,56
983->398,48
19->533,40
398->983,28
20->983,26
398->826,24
19->102,23
6->15,23
6->55,23
60->579,21
55->15,21
102->19,17
20->533,16
983->826,16
11->60,13
15->55,13
251->60,12
983->60,12
60->983,11
60->11,11
20->11,10
983->20,10
983->199,9
20->60,8
969->6,8
533->175,8
579->60,7
983->579,7
20->6,7
11->20,7
6->20,7
6->19,7
60->199,6
11->199,6
983->11,6
533->19,5
19->6,5
60->20,5
6->102,5
6->60,5
579->20,5
175->533,5
20->579,4
11->983,4
6->175,4
826->398,4
6->533,4
199->983,3
20->199,3
82->533,3
826->983,3
579->983,3
82->19,3
654->15,3
20->19,3
19->175,3
533->310,3
533->20,2
19->60,2
20->310,2
920->55,2
969->20,2
255->310,2
20->102,2
6->579,2
11->6,2
6->398,2
983->6,2
654->55,2
175->102,2
102->60,2
19->199,1
60->398,1
348->199,1
310->175,1
6->983,1
82->983,1
983->19,1
533->6,1
533->102,1
60->19,1
199->60,1
19->983,1
199->251,1
310->983,1
255->175,1
579->199,1
102->533,1
579->251,1
