120->420,100
120->785,100
120->311,100
120->708,100
120->692,100
120->516,100
120->585,100
518->120,100
120->114,99
518->368,99
120->47,98
120->16,96
785->46,93
923->462,59
518->923,51
135->221,47
518->214,47
518->288,45
135->923,42
385->923,41
923->135,40
462->923,39
923->221,39
923->214,37
923->518,37
923->288,36
221->518,36
221->135,35
385->221,35
385->462,34
385->135,33
135->288,32
135->462,31
518->462,30
221->462,29
518->221,29
135->385,28
135->214,28
135->518,27
221->288,27
288->221,25
518->135,25
214->288,24
923->385,24
288->214,24
385->288,23
462->221,23
462->518,22
462->288,21
288->518,21
221->923,21
214->923,21
385->518,21
288->923,19
214->518,17
385->214,17
288->135,17
462->135,15
221->214,15
288->462,14
462->214,13
47->16,11
120->46,10
518->385,9
221->385,9
214->221,8
214->135,8
214->462,8
16->47,8
214->385,7
462->385,7
288->385,4
114->120,1
785->120,1
462->368,1
