108->217,100
108->253,100
108->183,100
108->282,100
968->78,100
968->518,100
469->200,100
20->260,100
20->466,100
20->714,100
108->422,100
968->22,99
20->689,99
20->321,99
908->77,98
20->603,97
20->294,97
20->106,96
469->347,95
20->159,94
20->229,94
108->866,92
107->108,91
20->358,90
469->777,89
107->968,84
908->107,81
908->754,80
108->12,79
20->163,75
20->331,71
469->817,71
20->623,70
469->20,65
469->908,65
469->850,64
469->220,63
908->469,48
108->141,47
107->141,42
108->143,35
108->80,33
107->754,33
260->20,32
469->110,31
469->130,27
130->851,25
182->140,24
107->182,18
140->182,16
817->220,15
754->107,14
107->140,11
968->140,11
469->851,11
106->358,10
220->817,10
968->182,10
469->331,10
851->130,9
422->866,8
469->171,8
80->143,7
754->908,7
908->220,6
106->20,5
77->754,5
130->347,5
469->159,5
908->850,4
294->229,3
908->20,2
107->469,2
518->968,2
850->110,2
143->80,2
469->106,2
469->163,2
850->469,1
689->331,1
518->22,1
331->20,1
689->20,1
850->171,1
469->623,1
908->817,1
908->110,1
469->754,1
107->80,1
80->108,1
