28, 1
722, 2
736, 3
139, 4
115, 5
108, 6
784, 7
36, 8
690, 9
253, 10
263, 11
472, 12
837, 13
82, 14
175, 15
74, 16
269, 17
923, 18
167, 19
381, 20
137, 21
275, 22
23, 23
453, 24
182, 25
131, 26
42, 27
153, 28
6, 29
267, 30
669, 31
251, 32
112, 33
207, 34
804, 35
461, 36
152, 37
49, 38
834, 39
493, 40
247, 41
424, 42
283, 43
227, 44
198, 45
985, 46
241, 47
122, 48
339, 49
38, 50
487, 51
581, 52
909, 53
76, 54
159, 55
195, 56
891, 57
148, 58
569, 59
138, 60
419, 61
590, 62
211, 63
751, 64
520, 65
300, 66
779, 67
296, 68
