dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_1,0.93,0.726,0.815,0.931,0.74,0.824,0.973,0.986,0.98
SEIR015_sl1000_mr0125_nv10_10,0.833,0.789,0.811,0.833,0.789,0.811,1,0.789,0.882
SEIR015_sl1000_mr0125_nv10_11,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769
SEIR015_sl1000_mr0125_nv10_12,0.818,0.643,0.72,0.818,0.643,0.72,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.915,0.86,0.887,0.913,0.84,0.875,0.94,0.94,0.94
SEIR015_sl1000_mr0125_nv10_14,0.878,0.827,0.851,0.9,0.865,0.882,0.92,0.885,0.902
SEIR015_sl1000_mr0125_nv10_15,0.806,0.556,0.658,0.862,0.556,0.676,0.932,0.911,0.921
SEIR015_sl1000_mr0125_nv10_16,0.806,0.794,0.8,0.81,0.81,0.81,0.893,0.794,0.84
SEIR015_sl1000_mr0125_nv10_17,0.875,0.808,0.84,0.846,0.846,0.846,0.857,0.923,0.889
SEIR015_sl1000_mr0125_nv10_18,0.778,0.7,0.737,0.778,0.7,0.737,0.889,0.8,0.842
SEIR015_sl1000_mr0125_nv10_19,0.792,0.613,0.691,0.826,0.613,0.704,0.875,0.677,0.764
SEIR015_sl1000_mr0125_nv10_2,0.846,0.688,0.759,0.846,0.688,0.759,0.938,0.938,0.938
SEIR015_sl1000_mr0125_nv10_20,0.895,0.829,0.861,0.892,0.805,0.846,0.875,0.854,0.864
SEIR015_sl1000_mr0125_nv10_3,0.818,1,0.9,0.818,1,0.9,0.889,0.889,0.889
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.778,0.412,0.538,0.778,0.412,0.538,0.939,0.902,0.92
SEIR015_sl1000_mr0125_nv10_6,0.871,0.771,0.818,0.931,0.771,0.844,0.882,0.857,0.87
SEIR015_sl1000_mr0125_nv10_7,0.964,0.779,0.862,0.946,0.779,0.855,0.984,0.882,0.93
SEIR015_sl1000_mr0125_nv10_8,0.762,0.889,0.821,0.762,0.889,0.821,0.85,0.944,0.895
SEIR015_sl1000_mr0125_nv10_9,0.556,0.476,0.513,0.857,0.286,0.429,0.55,0.524,0.537
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.8,0.727,0.762,0.75,0.818,0.783,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.936,0.786,0.854,0.935,0.768,0.843,0.947,0.964,0.956
SEIR015_sl1000_mr025_nv10_12,1,0.4,0.571,1,0.4,0.571,1,0.5,0.667
SEIR015_sl1000_mr025_nv10_13,0.4,0.2,0.267,0.4,0.2,0.267,0.333,0.2,0.25
SEIR015_sl1000_mr025_nv10_14,0.714,0.8,0.755,0.741,0.8,0.769,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv10_15,0.897,0.448,0.598,0.96,0.414,0.578,1,0.483,0.651
SEIR015_sl1000_mr025_nv10_16,0.867,0.929,0.897,0.867,0.929,0.897,0.933,1,0.966
SEIR015_sl1000_mr025_nv10_17,0.871,0.711,0.783,0.875,0.737,0.8,0.892,0.868,0.88
SEIR015_sl1000_mr025_nv10_18,0.778,0.757,0.767,0.778,0.757,0.767,0.879,0.784,0.829
SEIR015_sl1000_mr025_nv10_19,0.789,0.789,0.789,0.75,0.789,0.769,0.895,0.895,0.895
SEIR015_sl1000_mr025_nv10_2,0.86,0.661,0.747,0.886,0.696,0.78,0.889,0.857,0.873
SEIR015_sl1000_mr025_nv10_20,0.857,0.75,0.8,0.857,0.75,0.8,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_3,0.84,0.913,0.875,0.84,0.913,0.875,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_4,0.925,0.841,0.881,0.927,0.864,0.894,0.872,0.932,0.901
SEIR015_sl1000_mr025_nv10_5,0.824,0.875,0.848,0.824,0.875,0.848,0.878,0.896,0.887
SEIR015_sl1000_mr025_nv10_6,0.976,0.87,0.92,0.953,0.891,0.921,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.889,0.8,0.842,0.842,0.8,0.821,0.895,0.85,0.872
SEIR015_sl1000_mr025_nv10_9,0.962,0.893,0.926,0.962,0.893,0.926,0.964,0.964,0.964
SEIR015_sl1000_mr025_nv20_1,0.824,0.933,0.875,0.812,0.867,0.839,0.933,0.933,0.933
SEIR015_sl1000_mr025_nv20_10,0.636,0.778,0.7,0.636,0.778,0.7,0.636,0.778,0.7
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.8,0.6,0.686,0.8,0.6,0.686,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,0.692,1,0.818,0.692,1,0.818,0.75,1,0.857
SEIR015_sl1000_mr025_nv20_14,0.87,0.909,0.889,0.833,0.909,0.87,0.955,0.955,0.955
SEIR015_sl1000_mr025_nv20_15,0.941,0.667,0.78,0.944,0.708,0.81,0.952,0.833,0.889
SEIR015_sl1000_mr025_nv20_16,0.897,0.867,0.881,0.867,0.867,0.867,0.9,0.9,0.9
