dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
AA,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AC,1,1,1,1,1,1,1,1,1
AI,0.167,0.571,0.258,0.204,0.714,0.317,0.229,0.571,0.327
AJ,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AQ,0,0,0,0,0,0,0,0,0
AW,0.095,0.222,0.133,0.091,0.222,0.129,0.148,0.222,0.178
BA,0.333,0.6,0.429,0.333,0.6,0.429,0.5,0.6,0.545
BB,0.167,0.333,0.222,0.167,0.333,0.222,0.154,0.333,0.211
BC,1,1,1,1,1,1,1,1,1
BJ,0.6,1,0.75,0.6,1,0.75,1,1,1
,0.4362,0.6726,0.5126,0.4395,0.6869,0.5181,0.5031,0.6726,0.5595
