dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_1,0.533,0.571,0.552,1,0.643,0.783
SEIR015_sl1000_mr025_nv5_10,0.625,0.694,0.658,0.7,0.583,0.636
SEIR015_sl1000_mr025_nv5_11,0.635,0.702,0.667,0.757,0.596,0.667
SEIR015_sl1000_mr025_nv5_12,0.364,0.364,0.364,0.5,0.364,0.421
SEIR015_sl1000_mr025_nv5_13,0.844,0.871,0.857,0.917,0.71,0.8
SEIR015_sl1000_mr025_nv5_14,0.667,0.8,0.727,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv5_15,0.643,0.692,0.667,0.759,0.677,0.715
SEIR015_sl1000_mr025_nv5_16,0.808,0.808,0.808,1,0.731,0.844
SEIR015_sl1000_mr025_nv5_17,0.791,0.829,0.81,0.846,0.805,0.825
SEIR015_sl1000_mr025_nv5_18,0.614,0.636,0.625,0.821,0.582,0.681
SEIR015_sl1000_mr025_nv5_19,0.333,0.455,0.385,0.357,0.455,0.4
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.667,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv5_20,0.581,0.61,0.595,0.759,0.537,0.629
SEIR015_sl1000_mr025_nv5_3,0.556,0.556,0.556,0.737,0.519,0.609
SEIR015_sl1000_mr025_nv5_4,0.635,0.66,0.647,0.85,0.68,0.756
SEIR015_sl1000_mr025_nv5_5,0.545,0.571,0.558,0.583,0.333,0.424
SEIR015_sl1000_mr025_nv5_6,0.343,0.387,0.364,0.538,0.339,0.416
SEIR015_sl1000_mr025_nv5_7,0.692,0.692,0.692,0.8,0.615,0.696
SEIR015_sl1000_mr025_nv5_8,0.625,0.652,0.638,0.824,0.609,0.7
SEIR015_sl1000_mr025_nv5_9,0.511,0.575,0.541,0.595,0.55,0.571
SEIR015_sl1000_mr05_nv10_1,0.529,0.529,0.529,0.667,0.471,0.552
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.3,0.375,0.333,0.375,0.375,0.375
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.885,0.885,0.885,0.927,0.836,0.879
SEIR015_sl1000_mr05_nv10_14,0.588,0.652,0.619,0.758,0.543,0.633
SEIR015_sl1000_mr05_nv10_15,0.583,0.636,0.609,0.636,0.636,0.636
SEIR015_sl1000_mr05_nv10_16,0.761,0.854,0.805,0.767,0.805,0.786
SEIR015_sl1000_mr05_nv10_17,0.654,0.768,0.707,0.735,0.725,0.73
SEIR015_sl1000_mr05_nv10_18,0.652,0.732,0.69,0.711,0.78,0.744
SEIR015_sl1000_mr05_nv10_19,0.649,0.75,0.696,0.719,0.719,0.719
SEIR015_sl1000_mr05_nv10_2,0.738,0.738,0.738,0.9,0.643,0.75
SEIR015_sl1000_mr05_nv10_20,0.264,0.341,0.298,0.455,0.244,0.317
SEIR015_sl1000_mr05_nv10_3,0.797,0.839,0.817,0.885,0.821,0.852
SEIR015_sl1000_mr05_nv10_4,0.5,0.562,0.529,0.545,0.562,0.554
SEIR015_sl1000_mr05_nv10_5,0.727,0.727,0.727,0.7,0.636,0.667
SEIR015_sl1000_mr05_nv10_6,0.75,0.8,0.774,0.84,0.7,0.764
SEIR015_sl1000_mr05_nv10_7,0.45,0.692,0.545,0.529,0.692,0.6
SEIR015_sl1000_mr05_nv10_8,0.7,0.778,0.737,0.794,0.75,0.771
SEIR015_sl1000_mr05_nv10_9,0.625,0.667,0.645,0.647,0.733,0.688
SEIR015_sl250_mr025_nv10_1,0.577,0.882,0.698,0.652,0.882,0.75
SEIR015_sl250_mr025_nv10_10,0.442,0.644,0.524,0.588,0.678,0.63
SEIR015_sl250_mr025_nv10_11,0.477,0.618,0.538,0.618,0.618,0.618
SEIR015_sl250_mr025_nv10_12,0.471,0.744,0.577,0.536,0.698,0.606
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667,0.8,0.75,0.774
SEIR015_sl250_mr025_nv10_14,0.326,0.6,0.423,0.378,0.56,0.452
SEIR015_sl250_mr025_nv10_15,0.508,0.612,0.556,0.609,0.571,0.589
SEIR015_sl250_mr025_nv10_16,0.115,0.259,0.159,0.133,0.222,0.167
SEIR015_sl250_mr025_nv10_17,0.429,0.5,0.462,0.556,0.417,0.476
SEIR015_sl250_mr025_nv10_18,0.316,0.545,0.4,0.263,0.455,0.333
SEIR015_sl250_mr025_nv10_19,0.561,0.622,0.59,0.636,0.568,0.6
SEIR015_sl250_mr025_nv10_2,0.206,0.318,0.25,0.318,0.318,0.318
SEIR015_sl250_mr025_nv10_20,0.545,0.727,0.623,0.548,0.697,0.613
SEIR015_sl250_mr025_nv10_3,0.55,0.733,0.629,0.55,0.733,0.629
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.537,0.629,0.579,0.537,0.629,0.579
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353
