dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_18,0.614,0.636,0.625,0.721,0.564,0.633
SEIR015_sl1000_mr025_nv5_19,0.333,0.455,0.385,0.357,0.455,0.4
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.667,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv5_20,0.581,0.61,0.595,0.667,0.585,0.623
SEIR015_sl1000_mr025_nv5_3,0.556,0.556,0.556,0.737,0.519,0.609
SEIR015_sl1000_mr025_nv5_4,0.635,0.66,0.647,0.791,0.68,0.731
SEIR015_sl1000_mr025_nv5_5,0.545,0.571,0.558,0.625,0.476,0.541
SEIR015_sl1000_mr025_nv5_6,0.343,0.387,0.364,0.5,0.371,0.426
SEIR015_sl1000_mr025_nv5_7,0.692,0.692,0.692,0.783,0.692,0.735
SEIR015_sl1000_mr025_nv5_8,0.625,0.652,0.638,0.714,0.652,0.682
SEIR015_sl1000_mr025_nv5_9,0.511,0.575,0.541,0.59,0.575,0.582
SEIR015_sl1000_mr05_nv10_1,0.529,0.529,0.529,0.643,0.529,0.581
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.3,0.375,0.333,0.375,0.375,0.375
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.885,0.885,0.885,0.931,0.885,0.908
SEIR015_sl1000_mr05_nv10_14,0.588,0.652,0.619,0.737,0.609,0.667
SEIR015_sl1000_mr05_nv10_15,0.583,0.636,0.609,0.692,0.818,0.75
SEIR015_sl1000_mr05_nv10_16,0.761,0.854,0.805,0.814,0.854,0.833
SEIR015_sl1000_mr05_nv10_17,0.654,0.768,0.707,0.746,0.768,0.757
SEIR015_sl1000_mr05_nv10_18,0.652,0.732,0.69,0.714,0.732,0.723
SEIR015_sl1000_mr05_nv10_19,0.649,0.75,0.696,0.758,0.781,0.769
SEIR015_sl1000_mr05_nv10_2,0.738,0.738,0.738,0.906,0.69,0.784
SEIR015_sl1000_mr05_nv10_20,0.264,0.341,0.298,0.312,0.244,0.274
SEIR015_sl1000_mr05_nv10_3,0.797,0.839,0.817,0.839,0.839,0.839
SEIR015_sl1000_mr05_nv10_4,0.5,0.562,0.529,0.514,0.562,0.537
SEIR015_sl1000_mr05_nv10_5,0.727,0.727,0.727,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.75,0.8,0.774,0.808,0.7,0.75
SEIR015_sl1000_mr05_nv10_7,0.45,0.692,0.545,0.444,0.615,0.516
SEIR015_sl1000_mr05_nv10_8,0.7,0.778,0.737,0.757,0.778,0.767
SEIR015_sl1000_mr05_nv10_9,0.625,0.667,0.645,0.625,0.667,0.645
SEIR015_sl250_mr025_nv10_1,0.577,0.882,0.698,0.652,0.882,0.75
SEIR015_sl250_mr025_nv10_10,0.442,0.644,0.524,0.548,0.678,0.606
SEIR015_sl250_mr025_nv10_11,0.477,0.618,0.538,0.553,0.618,0.583
SEIR015_sl250_mr025_nv10_12,0.471,0.744,0.577,0.525,0.721,0.608
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667,0.706,0.75,0.727
SEIR015_sl250_mr025_nv10_14,0.326,0.6,0.423,0.39,0.64,0.485
SEIR015_sl250_mr025_nv10_15,0.508,0.612,0.556,0.56,0.571,0.566
SEIR015_sl250_mr025_nv10_16,0.115,0.259,0.159,0.149,0.259,0.189
SEIR015_sl250_mr025_nv10_17,0.429,0.5,0.462,0.556,0.417,0.476
SEIR015_sl250_mr025_nv10_18,0.316,0.545,0.4,0.278,0.455,0.345
SEIR015_sl250_mr025_nv10_19,0.561,0.622,0.59,0.667,0.649,0.658
SEIR015_sl250_mr025_nv10_2,0.206,0.318,0.25,0.241,0.318,0.275
SEIR015_sl250_mr025_nv10_20,0.545,0.727,0.623,0.533,0.727,0.615
SEIR015_sl250_mr025_nv10_3,0.55,0.733,0.629,0.579,0.733,0.647
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.537,0.629,0.579,0.537,0.629,0.579
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.733,0.815,0.772,0.76,0.704,0.731
SEIR015_sl250_mr025_nv10_9,0.545,0.8,0.649,0.706,0.8,0.75
SEIR015_sl500_mr025_nv10_1,0.636,0.7,0.667,0.7,0.7,0.7
SEIR015_sl500_mr025_nv10_10,0.844,0.884,0.864,0.886,0.907,0.897
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421,0.556,0.625,0.588
SEIR015_sl500_mr025_nv10_12,0.603,0.717,0.655,0.714,0.66,0.686
SEIR015_sl500_mr025_nv10_13,0.541,0.714,0.615,0.516,0.571,0.542
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,0.889,0.889,0.889
SEIR015_sl500_mr025_nv10_15,0.726,0.776,0.75,0.782,0.741,0.761
SEIR015_sl500_mr025_nv10_16,0.643,0.75,0.692,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727,0.667,0.857,0.75
SEIR015_sl500_mr025_nv10_18,0.556,0.577,0.566,0.65,0.5,0.565
SEIR015_sl500_mr025_nv10_19,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.714,0.781,0.746,0.716,0.75,0.733
SEIR015_sl500_mr025_nv10_3,0.571,0.649,0.608,0.727,0.649,0.686
SEIR015_sl500_mr025_nv10_4,0.549,0.683,0.609,0.596,0.683,0.636
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966,0.933,1,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.557,0.629,0.591,0.642,0.548,0.591
SEIR015_sl500_mr025_nv10_8,0.576,0.731,0.645,0.671,0.731,0.7
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703,0.722,0.722,0.722
SEIR01_sl1000_mr0125_nv10_10,0.833,0.833,0.833,0.882,0.833,0.857
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_15,0.792,0.792,0.792,0.818,0.75,0.783
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.809,0.844,0.826,0.864,0.844,0.854
SEIR01_sl1000_mr0125_nv10_19,0.903,0.933,0.918,0.931,0.9,0.915
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.885,0.92,0.902,0.923,0.96,0.941
SEIR01_sl1000_mr0125_nv10_3,0.868,0.868,0.868,0.892,0.868,0.88
SEIR01_sl1000_mr0125_nv10_4,0.792,0.792,0.792,0.857,0.75,0.8
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
