dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_18,0.8,0.582,0.674,0.821,0.582,0.681
SEIR015_sl1000_mr025_nv5_19,0.294,0.455,0.357,0.357,0.455,0.4
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv5_20,0.759,0.537,0.629,0.759,0.537,0.629
SEIR015_sl1000_mr025_nv5_3,0.737,0.519,0.609,0.737,0.519,0.609
SEIR015_sl1000_mr025_nv5_4,0.872,0.68,0.764,0.85,0.68,0.756
SEIR015_sl1000_mr025_nv5_5,0.615,0.381,0.471,0.583,0.333,0.424
SEIR015_sl1000_mr025_nv5_6,0.525,0.339,0.412,0.538,0.339,0.416
SEIR015_sl1000_mr025_nv5_7,0.81,0.654,0.723,0.8,0.615,0.696
SEIR015_sl1000_mr025_nv5_8,0.789,0.652,0.714,0.824,0.609,0.7
SEIR015_sl1000_mr025_nv5_9,0.575,0.575,0.575,0.595,0.55,0.571
SEIR015_sl1000_mr05_nv10_1,0.667,0.471,0.552,0.667,0.471,0.552
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.375,0.375,0.375,0.375,0.375,0.375
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.945,0.852,0.897,0.927,0.836,0.879
SEIR015_sl1000_mr05_nv10_14,0.758,0.543,0.633,0.758,0.543,0.633
SEIR015_sl1000_mr05_nv10_15,0.636,0.636,0.636,0.636,0.636,0.636
SEIR015_sl1000_mr05_nv10_16,0.805,0.805,0.805,0.767,0.805,0.786
SEIR015_sl1000_mr05_nv10_17,0.746,0.725,0.735,0.735,0.725,0.73
SEIR015_sl1000_mr05_nv10_18,0.705,0.756,0.729,0.711,0.78,0.744
SEIR015_sl1000_mr05_nv10_19,0.688,0.688,0.688,0.719,0.719,0.719
SEIR015_sl1000_mr05_nv10_2,0.931,0.643,0.761,0.9,0.643,0.75
SEIR015_sl1000_mr05_nv10_20,0.44,0.268,0.333,0.455,0.244,0.317
SEIR015_sl1000_mr05_nv10_3,0.852,0.821,0.836,0.885,0.821,0.852
SEIR015_sl1000_mr05_nv10_4,0.545,0.562,0.554,0.545,0.562,0.554
SEIR015_sl1000_mr05_nv10_5,0.7,0.636,0.667,0.7,0.636,0.667
SEIR015_sl1000_mr05_nv10_6,0.875,0.7,0.778,0.84,0.7,0.764
SEIR015_sl1000_mr05_nv10_7,0.529,0.692,0.6,0.529,0.692,0.6
SEIR015_sl1000_mr05_nv10_8,0.794,0.75,0.771,0.794,0.75,0.771
SEIR015_sl1000_mr05_nv10_9,0.688,0.733,0.71,0.647,0.733,0.688
SEIR015_sl250_mr025_nv10_1,0.652,0.882,0.75,0.652,0.882,0.75
SEIR015_sl250_mr025_nv10_10,0.549,0.661,0.6,0.588,0.678,0.63
SEIR015_sl250_mr025_nv10_11,0.618,0.618,0.618,0.618,0.618,0.618
SEIR015_sl250_mr025_nv10_12,0.55,0.767,0.641,0.536,0.698,0.606
SEIR015_sl250_mr025_nv10_13,0.8,0.75,0.774,0.8,0.75,0.774
SEIR015_sl250_mr025_nv10_14,0.368,0.56,0.444,0.378,0.56,0.452
SEIR015_sl250_mr025_nv10_15,0.591,0.531,0.559,0.609,0.571,0.589
SEIR015_sl250_mr025_nv10_16,0.136,0.222,0.169,0.133,0.222,0.167
SEIR015_sl250_mr025_nv10_17,0.5,0.333,0.4,0.556,0.417,0.476
SEIR015_sl250_mr025_nv10_18,0.263,0.455,0.333,0.263,0.455,0.333
SEIR015_sl250_mr025_nv10_19,0.606,0.541,0.571,0.636,0.568,0.6
SEIR015_sl250_mr025_nv10_2,0.304,0.318,0.311,0.318,0.318,0.318
SEIR015_sl250_mr025_nv10_20,0.523,0.697,0.597,0.548,0.697,0.613
SEIR015_sl250_mr025_nv10_3,0.524,0.733,0.611,0.55,0.733,0.629
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.537,0.629,0.579,0.537,0.629,0.579
SEIR015_sl250_mr025_nv10_7,0.3,0.375,0.333,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.783,0.667,0.72,0.783,0.667,0.72
SEIR015_sl250_mr025_nv10_9,0.647,0.733,0.688,0.688,0.733,0.71
SEIR015_sl500_mr025_nv10_1,0.667,0.6,0.632,0.667,0.6,0.632
SEIR015_sl500_mr025_nv10_10,0.878,0.837,0.857,0.857,0.837,0.847
SEIR015_sl500_mr025_nv10_11,0.167,0.125,0.143,0.167,0.125,0.143
SEIR015_sl500_mr025_nv10_12,0.721,0.585,0.646,0.721,0.585,0.646
SEIR015_sl500_mr025_nv10_13,0.552,0.571,0.561,0.516,0.571,0.542
SEIR015_sl500_mr025_nv10_14,1,0.889,0.941,1,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.809,0.655,0.724,0.796,0.672,0.729
SEIR015_sl500_mr025_nv10_16,0.6,0.75,0.667,0.6,0.75,0.667
SEIR015_sl500_mr025_nv10_17,0.765,0.929,0.839,0.765,0.929,0.839
SEIR015_sl500_mr025_nv10_18,0.765,0.5,0.605,0.765,0.5,0.605
SEIR015_sl500_mr025_nv10_19,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.73,0.719,0.724,0.742,0.719,0.73
