Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,34.96,21.72,1.53,0.85,0.00,0.00,0.00
France,3.15,9.16,24.50,6.62,0.00,0.00,0.00
Italy,6.24,8.57,21.67,3.92,0.00,0.00,0.00
Belgium,1.99,2.95,10.03,6.33,0.02,0.00,0.00
Switzerland,6.29,5.75,26.90,5.23,0.04,0.00,0.00
Spain,4.98,5.30,15.70,4.28,0.00,0.00,0.00
USA,6.40,13.45,21.05,8.26,0.05,0.00,0.00
UnitedKingdom,4.44,7.16,19.83,7.40,0.03,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Australia,6.76,14.98,15.23,5.74,0.17,0.00,0.00
USA,6.84,11.83,15.54,6.11,0.05,0.00,0.00
UnitedKingdom,3.71,5.85,15.41,9.68,0.07,0.00,0.00
Switzerland,3.66,5.35,16.93,6.42,0.06,0.00,0.00
Taiwan,7.96,8.55,8.08,2.59,0.00,0.00,0.00
India,3.40,6.82,14.43,4.73,0.00,0.00,0.00
Germany,6.25,5.96,15.37,4.64,0.00,0.00,0.00
Belgium,2.90,3.94,14.52,9.78,0.00,0.00,0.00
