Spreaders,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,China,43486,Germany,8710,Sweden,7625,Italy,7576,Spain,7500
2020-01,China,31706,USA,13237,Australia,10182,Russia,9985,Sweden,9800
2020-02,France,31299,Italy,27616,Switzerland,27194,Germany,24800,USA,21710
2020-03,USA,13244,France,12706,Sweden,11515,UnitedKingdom,9955,Italy,7950
2020-04,Sweden,500,Luxembourg,200,Bangladesh,100,Oman,100,Chile,100
2020-05
2020-06



Receivers,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,Taiwan,8100,China,8027,USA,6800,Singapore,6730,Australia,6498
2020-01,Australia,14774,USA,11553,Singapore,8800,Taiwan,8600,China,8549
2020-02,Switzerland,17103,Italy,16627,France,15931,Germany,15400,Australia,15002
2020-03,Belgium,10997,UnitedKingdom,10632,Canada,7292,Switzerland,7098,USA,7054
2020-04,Russia,200,Australia,200,USA,100,Switzerland,100,UnitedKingdom,100
2020-05
2020-06
