Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,20, 92, 13, 6, 0, 0, 0
France,7, 5, 78, 24, 0, 0, 0
Italy,0, 3, 48, 18, 0, 0, 0
Belgium,0, 29, 14, 23, 0, 0, 0
Switzerland,0, 0, 26, 32, 0, 0, 0
Spain,0, 6, 27, 15, 0, 0, 0
USA,0, 2, 18, 27, 0, 0, 0
UnitedKingdom,0, 0, 27, 14, 0, 0, 0


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Australia,2, 14, 12, 18, 0, 0, 0
USA,2, 14, 15, 14, 0, 0, 0
UnitedKingdom,0, 5, 16, 16, 0, 0, 0
Switzerland,0, 1, 21, 14, 0, 0, 0
Taiwan,2, 13, 8, 9, 0, 0, 0
India,0, 4, 12, 14, 0, 0, 0
Germany,0, 3, 14, 15, 0, 0, 0
Belgium,2, 1, 9, 18, 0, 0, 0
