Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NewYork,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Virginia,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pennsylvania,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Washington,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michigan,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Illinois,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florida,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florida,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NewYork,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Utah,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Virginia,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Minnesota,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arizona,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Connecticut,0.00,0.00,0.00,0.00,0.00,0.00,0.00
