None	110
110	364
364	687
687	113
113	419
113	71
71	113
113	110
113	538
113	65
113	993
113	325
113	528
113	82
364	276
276	364
364	836
364	276
364	276
110	304
304	117
304	227
117	110
117	56
117	928
928	144
144	928
144	928
117	110
117	304
117	304
117	97
117	304
304	227
117	278
304	836
836	227
110	5
5	278
278	206
206	227
206	186
186	247
186	110
5	450
450	278
450	49
450	274
450	274
5	232
110	181
110	62
62	110
62	582
582	329
329	582
181	348
348	496
496	181
496	134
134	276
134	94
94	242
242	567
567	242
567	242
567	134
567	928
94	567
94	928
496	134
134	661
134	155
134	996
661	290
290	22
496	97
181	278
181	247
247	836
247	364
278	227
181	347
347	582
