324->380,100
697->393,95
324->211,91
324->148,91
324->451,91
324->32,91
697->734,89
697->92,84
463->641,71
463->167,70
697->24,69
734->149,55
697->324,52
324->463,49
324->164,48
366->88,48
324->79,46
324->623,46
324->169,46
324->366,42
164->295,40
697->463,39
697->164,38
697->149,38
734->393,37
697->623,36
697->79,36
697->169,36
697->366,31
324->295,29
697->295,26
324->697,26
324->92,25
697->88,24
324->24,22
324->88,20
324->167,18
24->92,17
324->641,17
24->324,16
24->697,15
24->79,13
24->623,13
24->366,13
697->641,11
697->167,11
24->463,10
92->24,9
393->734,9
24->164,9
88->366,9
697->148,8
697->211,8
697->32,8
697->451,8
24->169,8
734->24,8
463->169,8
92->697,7
393->149,7
24->393,7
24->88,6
393->24,5
92->324,5
24->295,5
92->366,3
92->79,3
92->623,3
324->393,3
92->393,3
295->164,3
92->164,2
393->697,1
24->734,1
24->149,1
24->167,1
24->641,1
92->88,1
393->324,1
393->169,1
393->463,1
734->324,1
734->623,1
734->79,1
734->88,1
734->366,1
734->697,1
734->92,1
393->92,1
24->148,1
24->211,1
24->32,1
24->451,1
92->169,1
92->463,1
