strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_444596,Illinois,Illinois,Illinois,Maryland,Florida,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444598,Illinois,Michigan,Pennsylvania,Utah,Utah,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444601,Texas,Illinois,Texas,Illinois,Illinois,Illinois,Washington,Washington,Washington,California,Washington,Illinois
EPI_ISL_444604,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444605,Illinois,Illinois,Idaho,Idaho,Idaho,Texas,Louisiana,Louisiana,Idaho,Idaho,Idaho,Idaho
EPI_ISL_444607,Illinois,NewYork,Illinois,Illinois,Utah,Virginia,Texas,Wisconsin,Illinois,Texas,Illinois,Illinois
EPI_ISL_444552,NorthCarolina,Connecticut,Connecticut,Michigan,Minnesota,Michigan,Michigan,Pennsylvania,Illinois,Michigan,Illinois,Illinois
EPI_ISL_444555,Illinois,Illinois,Illinois,Illinois,Florida,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444556,Utah,Utah,Illinois,Utah,Illinois,Illinois,Missouri,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444560,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Illinois,Wisconsin,Illinois,Wisconsin,Wisconsin
EPI_ISL_444567,Maryland,Illinois,Illinois,Maryland,Illinois,Florida,Maryland,Illinois,Illinois,Maryland,Maryland,Maryland
EPI_ISL_444569,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444575,California,California,Wisconsin,California,Illinois,Wisconsin,Utah,Wisconsin,California,California,California,Michigan
EPI_ISL_444578,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444580,Illinois,California,California,Oregon,Oregon,Oregon,California,California,Oregon,Oregon,California,Illinois
EPI_ISL_444583,Illinois,Illinois,Virginia,Illinois,Illinois,Virginia,Missouri,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_444586,Minnesota,Illinois,Michigan,Maryland,Michigan,Illinois,NorthCarolina,Michigan,Illinois,Illinois,Illinois,Illinois
EPI_ISL_422961,Washington,Washington,Virginia,Illinois,Washington,Minnesota,Illinois,Minnesota,Washington,Virginia,Washington,Washington
EPI_ISL_424173,Washington,Texas,Washington,Utah,Illinois,Illinois,Utah,Illinois,Utah,Washington,Washington,Washington
EPI_ISL_450703,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_450709,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_450711,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_450712,Illinois,Florida,Michigan,Virginia,Florida,Illinois,Maryland,Idaho,Texas,Louisiana,Illinois,Illinois
EPI_ISL_450714,Wisconsin,Illinois,Wisconsin,Illinois,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Illinois,Wisconsin,Wisconsin
EPI_ISL_450715,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,NewJersey,Wisconsin,Illinois,Wisconsin,Illinois,Wisconsin,Wisconsin
EPI_ISL_450719,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_450720,Missouri,Illinois,Illinois,Missouri,Utah,Missouri,Utah,Wisconsin,California,Missouri,Utah,Illinois
EPI_ISL_450722,Illinois,Connecticut,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_480361,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_480362,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_480365,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_480367,Massachusetts,Massachusetts,Massachusetts,Michigan,Massachusetts,Massachusetts,Massachusetts,California,Massachusetts,Michigan,Massachusetts,Massachusetts
EPI_ISL_484853,Illinois,Connecticut,Oregon,Michigan,Louisiana,Michigan,Maryland,Louisiana,Michigan,California,Illinois,Illinois
EPI_ISL_484862,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_484878,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_484881,Pennsylvania,NewYork,Minnesota,Michigan,Maryland,Illinois,NewYork,Maryland,Virginia,Maryland,Michigan,Connecticut
EPI_ISL_484882,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
EPI_ISL_484890,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_484900,Wisconsin,Connecticut,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
EPI_ISL_484917,Virginia,Massachusetts,Maryland,Maryland,Massachusetts,Illinois,Virginia,Maryland,Maryland,Maryland,Massachusetts,Illinois
EPI_ISL_484928,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_484946,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_484967,Illinois,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Illinois,Wisconsin,Illinois,Illinois
EPI_ISL_484975,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_491308,Illinois,Illinois,Illinois,Wisconsin,Wisconsin,Illinois,Illinois,Wisconsin,Illinois,Wisconsin,Illinois,Illinois
EPI_ISL_491310,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_491311,Florida,Connecticut,NewYork,Minnesota,NewYork,NewYork,NewYork,Illinois,Wisconsin,NewYork,Illinois,NewYork
EPI_ISL_491312,Illinois,Illinois,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
EPI_ISL_491313,Illinois,Illinois,Illinois,Illinois,Florida,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_491314,Wisconsin,Illinois,Illinois,Wisconsin,Wisconsin,Illinois,Illinois,Wisconsin,Illinois,Wisconsin,Wisconsin,Illinois
EPI_ISL_418915,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_418916,California,Illinois,California,California,California,Illinois,California,California,California,Washington,California,California
EPI_ISL_418917,Illinois,Washington,California,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington
EPI_ISL_418918,NorthCarolina,Illinois,Connecticut,Utah,Texas,Connecticut,Illinois,NewYork,Illinois,Connecticut,NewYork,Illinois
EPI_ISL_434517,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_434518,Louisiana,Louisiana,Louisiana,Louisiana,NewYork,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_434519,Louisiana,Louisiana,Louisiana,Virginia,Louisiana,Louisiana,Louisiana,Louisiana,NewYork,Louisiana,Louisiana,Louisiana
EPI_ISL_434530,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Michigan,Louisiana,Louisiana
EPI_ISL_463280,Texas,Louisiana,Louisiana,Louisiana,Maryland,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_463285,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455618,Louisiana,Idaho,Louisiana,Minnesota,Minnesota,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_436959,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_452106,Louisiana,Louisiana,Arizona,Louisiana,Louisiana,Louisiana,Louisiana,Pennsylvania,Louisiana,Arizona,Arizona,Arizona
EPI_ISL_435566,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451203,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451207,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451209,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451214,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451231,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451236,Louisiana,Louisiana,Louisiana,Louisiana,Florida,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451244,Idaho,Louisiana,Idaho,Utah,Louisiana,Louisiana,Louisiana,Utah,Utah,Louisiana,Louisiana,Louisiana
EPI_ISL_451246,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451247,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451248,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451249,Louisiana,Arizona,Louisiana,Louisiana,Pennsylvania,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451251,Louisiana,Louisiana,Louisiana,Michigan,Louisiana,Illinois,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451253,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451254,Louisiana,Louisiana,Louisiana,Virginia,Louisiana,NorthCarolina,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451255,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451257,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451259,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451265,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Florida,Louisiana,Louisiana
EPI_ISL_451268,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451270,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451271,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451272,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451278,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451279,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_451287,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455981,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455982,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455983,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455984,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455988,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455990,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455991,Louisiana,Louisiana,Arizona,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_455993,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_456002,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485009,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Connecticut,Louisiana,Louisiana
EPI_ISL_485105,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485142,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485895,Idaho,Louisiana,Idaho,Louisiana,Louisiana,Idaho,Louisiana,Idaho,Idaho,Idaho,Idaho,Idaho
EPI_ISL_485281,Utah,Louisiana,Utah,Louisiana,Louisiana,Utah,Louisiana,Utah,Utah,Louisiana,Utah,Utah
EPI_ISL_485289,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Idaho,Louisiana,Louisiana
EPI_ISL_485290,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485300,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485322,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485340,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_485375,Wisconsin,Florida,Connecticut,Connecticut,Louisiana,Maryland,Wyoming,Wyoming,Washington,Louisiana,Connecticut,Louisiana
EPI_ISL_485380,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Utah,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435445,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435448,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435449,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,California,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435450,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435453,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435465,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_435467,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_437547,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_437546,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445124,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445126,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445130,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445131,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Maryland,Louisiana,Louisiana
EPI_ISL_445134,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445136,Texas,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445137,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445138,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Michigan,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445141,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Idaho,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_445145,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana
EPI_ISL_445147,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_450231,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_450175,Louisiana,Louisiana,California,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_490998,Texas,Idaho,Louisiana,Minnesota,Connecticut,Louisiana,Idaho,Idaho,Connecticut,Louisiana,Idaho,Louisiana
EPI_ISL_460311,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460319,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460102,Washington,Washington,Virginia,Washington,Washington,Virginia,Massachusetts,Minnesota,Virginia,Virginia,Massachusetts,Massachusetts
EPI_ISL_460206,Idaho,Illinois,Idaho,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Alaska,Idaho,Utah,Idaho
EPI_ISL_460348,Florida,Florida,Arizona,Utah,Florida,California,Massachusetts,Florida,California,California,Florida,Massachusetts
EPI_ISL_460170,Illinois,Illinois,Illinois,Illinois,Florida,Illinois,Illinois,Illinois,Illinois,Illinois,Florida,Massachusetts
EPI_ISL_460331,Massachusetts,Massachusetts,Massachusetts,Maryland,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460238,Massachusetts,Massachusetts,Arizona,Maryland,Louisiana,Massachusetts,Massachusetts,Iowa,Massachusetts,Texas,Arizona,Massachusetts
EPI_ISL_460107,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460183,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460457,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460124,Massachusetts,Massachusetts,Virginia,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Nebraska,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460221,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460372,Massachusetts,California,Minnesota,Massachusetts,Minnesota,Oregon,Massachusetts,Washington,Massachusetts,Oregon,California,Massachusetts
EPI_ISL_460242,NewYork,Connecticut,Pennsylvania,NewYork,Louisiana,NewYork,Connecticut,Pennsylvania,Virginia,NewYork,NewYork,Massachusetts
EPI_ISL_460365,Virginia,Massachusetts,Oregon,Minnesota,Louisiana,Michigan,Massachusetts,Louisiana,Michigan,Louisiana,Alaska,Massachusetts
EPI_ISL_460100,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Louisiana,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Pennsylvania,Massachusetts,Massachusetts
EPI_ISL_460133,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Louisiana,Massachusetts,Massachusetts,NewYork,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460265,California,Michigan,California,Utah,Massachusetts,Massachusetts,NewYork,Florida,California,Utah,Massachusetts,Massachusetts
EPI_ISL_460430,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Louisiana,Maryland,Massachusetts,Massachusetts,Massachusetts,Texas,Massachusetts,Massachusetts
EPI_ISL_460418,Massachusetts,Massachusetts,Massachusetts,NewYork,Massachusetts,Massachusetts,Massachusetts,California,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460395,Massachusetts,Massachusetts,Virginia,Maryland,Massachusetts,Massachusetts,Virginia,Virginia,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460198,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Louisiana,Florida,Massachusetts,Massachusetts,Massachusetts,Virginia,Massachusetts,Massachusetts
EPI_ISL_460352,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Connecticut,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Connecticut,Massachusetts,Massachusetts
EPI_ISL_460383,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460177,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Washington,California,Massachusetts,Massachusetts,Massachusetts,Michigan,Massachusetts,Massachusetts
EPI_ISL_460230,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,NewYork,Massachusetts,Massachusetts
EPI_ISL_460392,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,NewMexico,Massachusetts,Massachusetts,Massachusetts,Virginia,Massachusetts,Massachusetts
EPI_ISL_460400,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Virginia,Massachusetts,Maryland,Massachusetts,Massachusetts
EPI_ISL_460350,Massachusetts,Massachusetts,Oregon,Massachusetts,NewMexico,Massachusetts,Massachusetts,Massachusetts,NewJersey,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460376,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460344,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia,NewYork,Virginia,NewYork,Massachusetts
EPI_ISL_460138,Massachusetts,Utah,Illinois,Utah,Illinois,Massachusetts,Massachusetts,Illinois,Utah,Massachusetts,Utah,Massachusetts
EPI_ISL_460363,Massachusetts,Massachusetts,Connecticut,Massachusetts,Massachusetts,NewYork,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460349,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460380,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Maryland,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460125,Massachusetts,Massachusetts,Oregon,Oregon,Massachusetts,Massachusetts,NewMexico,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460140,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Massachusetts,Maryland,Maryland,Maryland,Maryland
EPI_ISL_460211,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_460115,Massachusetts,Maryland,NewYork,Minnesota,Pennsylvania,Maryland,Pennsylvania,Maryland,Pennsylvania,Michigan,Minnesota,Massachusetts
