strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_437518,Maryland,Virginia,Maryland,Virginia,Michigan,NewMexico,NewJersey,Arizona,NewJersey,Texas,Arizona,Alaska
EPI_ISL_424668,Washington,Arizona,Arizona,Arizona,Arizona,Washington,Washington,Washington,Washington,Washington,Washington,Washington
EPI_ISL_424669,Florida,Oregon,Maryland,Oregon,Arizona,NewYork,Arizona,Maryland,Florida,Washington,California,California
EPI_ISL_467372,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland
EPI_ISL_467373,Minnesota,Minnesota,Minnesota,Minnesota,Maryland,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
EPI_ISL_452118,Louisiana,Louisiana,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426500,Louisiana,Arizona,Arizona,Louisiana,NewJersey,Arizona,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426501,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426502,NewYork,NewYork,NewYork,Oregon,NewYork,NewYork,NewYork,Wisconsin,Alaska,NewYork,NewYork,Arizona
EPI_ISL_426504,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426506,Florida,California,California,Florida,California,Arizona,California,Utah,Florida,Virginia,Florida,Arizona
EPI_ISL_426507,NewYork,Arizona,Oregon,Virginia,Louisiana,NewYork,Virginia,Arizona,California,NewYork,Arizona,Arizona
EPI_ISL_426508,Virginia,Arizona,Oregon,Utah,Louisiana,Arizona,Utah,Arizona,Utah,Utah,NewYork,Arizona
EPI_ISL_426509,Louisiana,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Arizona
