edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork->NewJersey,0.10,0.30,3.68,5.00,0.00,0.00,0.10
NewYork->Virginia,0.00,0.20,2.60,4.26,0.05,0.00,0.00
NewYork->Oregon,0.40,0.20,3.09,0.66,0.00,0.00,0.00
Wisconsin->Illinois,0.00,0.10,1.10,3.38,1.40,3.70,1.00
California->NewYork,0.35,0.20,2.78,2.13,0.00,0.00,0.00
NewYork->Connecticut,0.00,0.10,2.23,4.50,0.00,0.00,0.00
California->Virginia,0.10,0.00,2.16,2.36,0.05,0.00,0.00
Oregon->Washington,0.00,0.00,2.34,2.74,1.60,0.00,0.00
Utah->Texas,0.50,0.00,1.44,1.00,0.00,0.00,0.00
Illinois->Wisconsin,0.20,0.29,0.30,2.94,0.60,1.00,0.70
California->Wisconsin,0.20,0.90,1.09,1.28,0.80,0.60,0.00
California->Utah,0.10,0.40,2.18,3.51,0.00,0.00,0.00
Florida->Minnesota,0.00,0.10,2.30,1.45,0.00,0.00,0.00
Virginia->Massachusetts,0.20,0.00,0.90,0.80,0.00,0.00,0.00
Louisiana->Texas,0.00,0.00,2.16,5.30,0.10,0.00,0.00
California->NewJersey,0.00,0.00,1.08,1.53,0.00,0.10,0.00
Connecticut->Michigan,0.00,0.40,1.90,1.10,0.00,0.00,0.00
Pennsylvania->Florida,0.00,0.30,1.36,1.20,0.05,0.00,0.00
Pennsylvania->NewMexico,0.00,0.00,0.82,0.65,0.00,0.00,0.00
Utah->Oregon,0.70,0.30,1.01,0.76,0.40,0.00,0.00
Florida->Michigan,0.00,0.20,1.11,1.08,0.00,0.00,0.00
California->Washington,0.00,0.15,0.48,1.83,0.00,0.00,0.00
Utah->Florida,0.10,0.40,1.10,1.41,0.00,0.00,0.00
Utah->Louisiana,0.00,0.40,0.65,1.00,0.10,0.00,0.00
Utah->Idaho,0.10,0.20,0.45,0.90,0.00,0.00,0.00
Utah->Connecticut,0.00,0.20,1.01,1.39,0.00,0.00,0.00
Utah->Massachusetts,0.10,0.40,1.70,1.40,0.00,0.00,0.00
Washington->Minnesota,0.00,0.20,1.78,1.26,0.00,0.00,0.00
California->Connecticut,0.00,0.00,0.61,1.38,0.05,0.00,0.00
Virginia->Maryland,0.10,0.10,1.40,3.18,0.00,0.00,0.00
Washington->Illinois,0.00,0.10,1.80,1.70,0.00,0.00,0.00
Pennsylvania->Wyoming,0.00,0.00,0.60,0.30,0.00,0.00,0.00
California->Minnesota,0.00,0.00,1.25,1.41,0.20,0.60,0.00
Connecticut->NewYork,0.00,0.10,2.06,2.20,0.00,0.00,0.00
Oregon->Utah,0.20,0.20,1.64,1.00,0.00,0.00,0.00
Oregon->Florida,0.00,0.00,1.45,1.10,0.00,0.00,0.00
Wisconsin->NewYork,0.00,0.10,0.70,0.33,0.20,1.20,0.70
Pennsylvania->Maryland,0.00,0.10,0.82,1.05,0.00,0.00,0.00
NewYork->California,0.10,0.21,3.17,2.56,0.20,0.00,0.00
Utah->Michigan,0.10,0.10,1.56,1.30,0.10,0.00,0.00
Pennsylvania->California,0.00,0.20,0.50,0.40,0.00,0.00,0.00
Florida->Georgia,0.10,0.50,1.25,0.46,0.00,0.00,0.00
Minnesota->Michigan,0.00,0.30,0.70,1.50,0.00,0.00,0.00
Maryland->Connecticut,0.00,0.20,0.50,1.60,0.00,0.00,0.00
Maryland->Texas,0.20,0.30,1.40,1.80,0.00,0.00,0.00
California->Illinois,0.17,0.41,1.71,1.28,0.00,0.10,0.00
California->Massachusetts,0.20,0.80,0.63,0.70,0.00,0.00,0.00
Virginia->Florida,0.20,0.10,0.83,1.93,0.00,0.00,0.00
California->Ohio,0.00,0.00,0.78,1.31,0.15,0.00,0.00
California->Oregon,0.00,0.33,2.69,1.90,0.20,0.00,0.00
Illinois->Florida,0.00,0.30,0.19,0.51,0.20,0.80,0.00
