edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Wisconsin,0,800,7155,9819,2438,7698,2700
NewYork,1040,3015,34572,42217,806,0,300
Louisiana,500,810,19959,21464,800,200,0
Oregon,1000,1044,21314,18445,2100,98,0
California,1790,4356,26236,35270,2056,1804,100
Illinois,1796,3746,5196,10204,2800,6000,2200
Massachusetts,2200,800,19400,14802,100,0,0
Florida,500,3500,22629,20722,217,0,0
Michigan,200,2500,25703,26630,100,0,0
Virginia,800,540,12620,17539,600,0,0
Connecticut,0,1906,17810,23610,50,0,0
Maryland,600,2484,14408,25485,300,0,0
Idaho,100,200,9100,16271,0,0,0
Arizona,300,3800,13613,14880,200,0,0
Utah,4800,3972,20233,17846,1500,200,200
Washington,0,865,18894,11316,200,0,0
Pennsylvania,0,1516,11385,14427,102,0,0
Texas,1100,1900,5300,7134,0,0,0
Georgia,0,1200,5714,1710,0,0,0
Minnesota,100,1607,4807,10034,2,202,0
SouthCarolina,0,943,4569,2532,0,0,0
Wyoming,400,200,4700,4400,0,0,0
NewJersey,100,200,2267,1220,0,0,0
NewMexico,0,0,3600,4000,0,0,0
Missouri,2296,4470,3819,1743,300,0,0
Iowa,200,200,300,1000,700,0,0
NorthCarolina,0,0,3752,3464,0,0,0
Alaska,100,100,1000,2000,0,0,0
