dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SIR01_sl1000_mr15_nv5_19,1,0.429,0.6,0.684,0.619,0.65,0.684,0.619,0.65
SEIR015_sl250_mr025_nv10_2,0.333,0.091,0.143,0.5,0.182,0.267,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,1,0.63,0.773,0.935,0.935,0.935,0.935,0.935,0.935
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.75,0.857,1,0.9,0.947,1,0.95,0.974
SIR01_sl500_mr15_nv10_15,0.933,0.467,0.622,0.792,0.633,0.704,0.733,0.733,0.733
SEIR01_sl1000_mr0125_nv10_9,0.97,0.681,0.8,0.957,0.957,0.957,0.957,0.957,0.957
SEIR015_sl1000_mr025_nv20_12,0.909,0.5,0.645,0.923,0.6,0.727,0.923,0.6,0.727
SIR01_sl1000_mr15_nv20_5,0.857,0.6,0.706,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,1,0.286,0.444,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.429,0.6,1,0.857,0.923,1,0.857,0.923
SEIR015_sl250_mr025_nv10_3,0.143,0.067,0.091,0.222,0.133,0.167,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.5,0.25,0.333,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.971,0.5,0.66,0.983,0.853,0.913,0.984,0.897,0.938
SIR003_sl1000_mr1_nv10_20,1,0.522,0.686,0.787,0.696,0.738,0.778,0.71,0.742
SIR01_sl1000_mr15_nv5_5,1,0.273,0.429,0.625,0.455,0.526,0.625,0.455,0.526
SIR003_sl250_mr05_nv10_16,0.833,0.455,0.588,0.714,0.455,0.556,0.714,0.455,0.556
SIR003_sl1000_mr05_nv5_17,1,0.333,0.5,0.638,0.625,0.632,0.63,0.604,0.617
SIR01_sl500_mr15_nv10_7,0.75,0.429,0.545,0.833,0.714,0.769,0.833,0.714,0.769
SIR01_sl1000_mr075_nv10_18,1,0.727,0.842,0.9,0.818,0.857,0.9,0.818,0.857
SIR01_sl1000_mr3_nv10_14,1,0.607,0.756,0.913,0.75,0.824,0.913,0.75,0.824
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.941,0.64,0.762,0.941,0.64,0.762
SEIR015_sl1000_mr0125_nv10_15,0.875,0.311,0.459,0.93,0.889,0.909,0.93,0.889,0.909
SIR003_sl1000_mr025_nv10_7,0.857,0.375,0.522,0.643,0.562,0.6,0.643,0.562,0.6
SEIR015_sl250_mr025_nv10_9,0.857,0.4,0.545,0.929,0.867,0.897,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.68,0.288,0.405,0.833,0.254,0.39,0.771,0.458,0.574
SEIR01_sl1000_mr025_nv10_11,0.933,0.8,0.862,0.941,0.914,0.928,0.914,0.914,0.914
SIR01_sl1000_mr075_nv10_17,0.969,0.437,0.602,0.796,0.549,0.65,0.762,0.676,0.716
SEIR01_sl1000_mr025_nv10_13,0.667,0.3,0.414,0.857,0.9,0.878,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,1,0.467,0.636,0.727,0.533,0.615,0.727,0.533,0.615
SEIR01_sl500_mr025_nv10_10,0.7,0.5,0.583,0.733,0.786,0.759,0.733,0.786,0.759
SIR003_sl1000_mr05_nv5_18,1,0.375,0.545,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_14,0.895,0.436,0.586,0.656,0.538,0.592,0.636,0.538,0.583
SIR003_sl500_mr05_nv10_6,0.727,0.381,0.5,0.579,0.524,0.55,0.579,0.524,0.55
SIR01_sl1000_mr075_nv10_7,1,0.625,0.769,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.975,0.75,0.848,0.96,0.923,0.941,0.96,0.923,0.941
SIR003_sl250_mr05_nv10_4,0.778,0.583,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_3,0.889,0.762,0.821,0.85,0.81,0.829,0.85,0.81,0.829
SIR003_sl1000_mr05_nv5_19,0.929,0.382,0.542,0.581,0.529,0.554,0.562,0.529,0.545
SEIR015_sl1000_mr025_nv20_4,0.882,0.455,0.6,0.912,0.939,0.925,0.912,0.939,0.925
SIR003_sl1000_mr025_nv10_5,1,0.571,0.727,1,0.714,0.833,1,0.714,0.833
SEIR015_sl250_mr025_nv10_5,0.667,0.5,0.571,0.667,0.75,0.706,0.667,0.75,0.706
SIR01_sl500_mr15_nv10_18,0.917,0.44,0.595,0.824,0.56,0.667,0.824,0.56,0.667
SIR01_sl1000_mr3_nv10_5,0.938,0.536,0.682,0.84,0.75,0.792,0.84,0.75,0.792
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,1,0.613,0.76,1,0.613,0.76
SIR003_sl500_mr05_nv10_10,1,0.41,0.582,0.679,0.487,0.567,0.679,0.487,0.567
SEIR015_sl1000_mr025_nv20_11,0.818,0.692,0.75,0.857,0.923,0.889,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.591,0.371,0.456,0.636,0.6,0.618,0.657,0.657,0.657
SIR003_sl1000_mr05_nv20_3,1,0.615,0.762,1,0.692,0.818,1,0.692,0.818
SEIR015_sl1000_mr025_nv20_1,1,0.4,0.571,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv5_12,0.8,0.348,0.485,0.75,0.652,0.698,0.75,0.652,0.698
SIR003_sl1000_mr05_nv10_3,1,0.6,0.75,0.875,0.7,0.778,0.875,0.7,0.778
SEIR01_sl1000_mr025_nv10_17,0.897,0.578,0.703,0.814,0.778,0.795,0.814,0.778,0.795
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.812,0.5,0.619,0.607,0.654,0.63,0.607,0.654,0.63
SEIR015_sl1000_mr025_nv5_14,0.818,0.6,0.692,0.765,0.867,0.812,0.765,0.867,0.812
SIR01_sl1000_mr3_nv10_13,1,0.556,0.714,0.815,0.611,0.698,0.815,0.611,0.698
SEIR015_sl1000_mr05_nv10_15,1,0.182,0.308,1,0.818,0.9,1,0.909,0.952
SEIR015_sl250_mr025_nv10_4,0.905,0.76,0.826,0.833,0.8,0.816,0.833,0.8,0.816
SEIR015_sl1000_mr025_nv20_6,0.821,0.605,0.697,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_14,0.824,0.304,0.444,0.9,0.783,0.837,0.878,0.783,0.828
SEIR01_sl250_mr025_nv10_5,0.808,0.512,0.627,0.727,0.585,0.649,0.727,0.585,0.649
SIR003_sl1000_mr05_nv20_4,1,0.594,0.745,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl500_mr025_nv10_5,0.75,0.6,0.667,0.6,0.6,0.6,0.6,0.6,0.6
SIR003_sl1000_mr05_nv5_9,0.917,0.458,0.611,0.778,0.583,0.667,0.7,0.583,0.636
SEIR015_sl250_mr025_nv10_16,0.5,0.222,0.308,0.714,0.556,0.625,0.696,0.593,0.64
SEIR015_sl250_mr025_nv10_18,0.333,0.091,0.143,0.75,0.545,0.632,0.75,0.545,0.632
SEIR015_sl1000_mr025_nv5_5,0.75,0.143,0.24,0.833,0.476,0.606,0.833,0.476,0.606
SEIR015_sl1000_mr025_nv20_7,1,0.75,0.857,0.943,0.917,0.93,0.943,0.917,0.93
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.833,0.909,1,0.833,0.909
SEIR01_sl250_mr025_nv10_17,0.556,0.625,0.588,0.556,0.625,0.588,0.5,0.625,0.556
SIR01_sl1000_mr15_nv5_8,1,0.375,0.545,0.429,0.375,0.4,0.429,0.375,0.4
SIR01_sl500_mr15_nv10_5,0.931,0.519,0.667,0.837,0.692,0.758,0.841,0.712,0.771
SEIR01_sl1000_mr025_nv5_20,0.923,0.5,0.649,0.933,0.583,0.718,0.933,0.583,0.718
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR015_sl500_mr025_nv10_7,0.886,0.5,0.639,0.904,0.758,0.825,0.906,0.774,0.835
SEIR015_sl1000_mr025_nv5_18,0.824,0.509,0.629,0.848,0.709,0.772,0.848,0.709,0.772
SIR01_sl1000_mr3_nv10_15,0.8,0.444,0.571,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_10,0.583,0.368,0.452,0.6,0.474,0.529,0.625,0.526,0.571
SEIR015_sl1000_mr025_nv5_2,1,0.222,0.364,1,0.556,0.714,1,0.778,0.875
SIR003_sl250_mr05_nv10_8,0.875,0.412,0.56,0.9,0.529,0.667,0.9,0.529,0.667
SEIR015_sl250_mr025_nv10_12,0.667,0.465,0.548,0.73,0.628,0.675,0.674,0.721,0.697
SIR01_sl500_mr15_nv10_2,0.929,0.619,0.743,0.778,0.667,0.718,0.778,0.667,0.718
SIR003_sl1000_mr05_nv5_20,1,0.308,0.471,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_8,0.889,0.533,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_7,1,0.607,0.756,0.923,0.857,0.889,0.923,0.857,0.889
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr025_nv5_13,0.9,0.75,0.818,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.867,0.722,0.788,0.684,0.722,0.703,0.684,0.722,0.703
SEIR01_sl1000_mr025_nv20_13,0.958,0.793,0.868,0.864,0.879,0.872,0.864,0.879,0.872
SIR003_sl1000_mr05_nv10_13,1,0.571,0.727,0.816,0.714,0.762,0.833,0.714,0.769
SEIR015_sl500_mr025_nv10_3,0.923,0.324,0.48,0.926,0.676,0.781,0.931,0.73,0.818
SIR01_sl1000_mr3_nv10_4,1,0.583,0.737,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_14,0.96,0.615,0.75,0.941,0.821,0.877,0.943,0.846,0.892
SIR01_sl250_mr15_nv10_6,0.684,0.302,0.419,0.632,0.279,0.387,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,0.625,0.333,0.435,0.75,0.4,0.522,0.667,0.533,0.593
SIR003_sl1000_mr05_nv10_7,1,0.739,0.85,0.905,0.826,0.864,0.905,0.826,0.864
SIR01_sl250_mr15_nv10_20,0.667,0.286,0.4,0.571,0.571,0.571,0.571,0.571,0.571
SIR01_sl1000_mr3_nv10_3,1,0.5,0.667,0.812,0.65,0.722,0.7,0.7,0.7
SEIR015_sl250_mr025_nv10_14,0.6,0.48,0.533,0.636,0.56,0.596,0.652,0.6,0.625
SIR003_sl1000_mr05_nv5_6,1,0.273,0.429,0.571,0.364,0.444,0.571,0.364,0.444
SIR01_sl500_mr15_nv10_4,0.963,0.531,0.684,0.854,0.714,0.778,0.854,0.714,0.778
SIR01_sl1000_mr15_nv10_11,1,0.583,0.737,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr0125_nv10_14,0.95,0.731,0.826,0.92,0.885,0.902,0.922,0.904,0.913
SEIR01_sl1000_mr05_nv10_13,0.75,0.375,0.5,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl1000_mr05_nv10_11,0.85,0.486,0.618,0.75,0.6,0.667,0.759,0.629,0.688
SEIR01_sl250_mr025_nv10_16,0.7,0.457,0.553,0.605,0.5,0.548,0.59,0.5,0.541
SEIR01_sl250_mr025_nv10_2,0.727,0.571,0.64,0.692,0.643,0.667,0.692,0.643,0.667
SEIR01_sl1000_mr0125_nv10_8,0.667,0.333,0.444,0.8,0.667,0.727,0.8,0.667,0.727
SEIR01_sl1000_mr025_nv10_9,0.941,0.681,0.79,0.894,0.894,0.894,0.894,0.894,0.894
SIR003_sl500_mr05_nv10_7,0.7,0.389,0.5,0.643,0.5,0.563,0.643,0.5,0.563
SIR01_sl500_mr15_nv10_12,1,0.333,0.5,0.5,0.167,0.25,0.667,0.333,0.444
SIR01_sl1000_mr3_nv10_19,0.909,0.333,0.488,0.583,0.467,0.519,0.56,0.467,0.509
SIR01_sl1000_mr15_nv5_14,1,0.5,0.667,0.75,0.682,0.714,0.75,0.682,0.714
SEIR015_sl1000_mr025_nv5_8,0.889,0.348,0.5,0.87,0.87,0.87,0.87,0.87,0.87
SIR01_sl1000_mr075_nv10_9,1,0.519,0.683,0.773,0.63,0.694,0.773,0.63,0.694
SIR003_sl1000_mr05_nv10_5,0.786,0.239,0.367,0.585,0.522,0.552,0.561,0.5,0.529
SIR01_sl1000_mr075_nv10_11,0.833,0.714,0.769,0.75,0.857,0.8,0.75,0.857,0.8
SIR003_sl500_mr05_nv10_14,0.81,0.515,0.63,0.708,0.515,0.596,0.708,0.515,0.596
SEIR01_sl1000_mr0125_nv10_14,0.958,0.767,0.852,0.964,0.9,0.931,0.964,0.9,0.931
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl250_mr15_nv10_3,0.857,0.429,0.571,0.7,0.5,0.583,0.7,0.5,0.583
SIR01_sl250_mr15_nv10_16,0.846,0.478,0.611,0.786,0.478,0.595,0.786,0.478,0.595
SIR01_sl1000_mr15_nv10_5,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr025_nv5_11,0.882,0.319,0.469,0.974,0.787,0.871,0.974,0.787,0.871
SEIR015_sl1000_mr025_nv5_13,0.923,0.387,0.545,0.963,0.839,0.897,0.963,0.839,0.897
SIR01_sl1000_mr15_nv10_10,1,0.531,0.694,0.792,0.594,0.679,0.8,0.625,0.702
SIR01_sl250_mr15_nv10_2,0.833,0.556,0.667,0.875,0.778,0.824,0.875,0.778,0.824
SEIR015_sl1000_mr025_nv20_15,1,0.583,0.737,0.947,0.75,0.837,0.947,0.75,0.837
SEIR015_sl1000_mr025_nv10_2,0.952,0.357,0.519,0.958,0.821,0.885,0.873,0.857,0.865
SIR01_sl1000_mr15_nv10_12,1,0.417,0.588,0.765,0.542,0.634,0.722,0.542,0.619
SEIR015_sl1000_mr05_nv10_11,0.75,0.375,0.5,0.6,0.375,0.462,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_20,0.909,0.588,0.714,0.833,0.882,0.857,0.833,0.882,0.857
SEIR015_sl1000_mr05_nv10_12,0.875,0.875,0.875,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_6,0.938,0.5,0.652,0.935,0.967,0.951,0.906,0.967,0.935
SEIR015_sl1000_mr0125_nv10_16,0.913,0.667,0.771,0.887,0.746,0.81,0.887,0.746,0.81
SIR01_sl1000_mr3_nv10_16,0.952,0.625,0.755,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl1000_mr025_nv5_18,0.97,0.681,0.8,0.913,0.894,0.903,0.913,0.894,0.903
SIR003_sl250_mr05_nv10_11,0.714,0.417,0.526,0.625,0.417,0.5,0.625,0.417,0.5
SIR01_sl1000_mr3_nv10_9,1,0.552,0.711,0.895,0.586,0.708,0.895,0.586,0.708
SEIR01_sl500_mr025_nv10_9,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl500_mr025_nv10_19,0.625,0.625,0.625,0.667,0.75,0.706,0.6,0.75,0.667
SIR003_sl1000_mr05_nv20_1,1,0.657,0.793,0.867,0.743,0.8,0.867,0.743,0.8
SEIR01_sl1000_mr025_nv5_8,0.947,0.783,0.857,0.87,0.87,0.87,0.87,0.87,0.87
SEIR01_sl500_mr025_nv10_6,0.952,0.755,0.842,0.911,0.962,0.936,0.911,0.962,0.936
SIR003_sl1000_mr025_nv10_19,1,0.5,0.667,0.68,0.708,0.694,0.68,0.708,0.694
SEIR015_sl1000_mr05_nv10_1,0.833,0.294,0.435,0.8,0.706,0.75,0.8,0.706,0.75
SIR003_sl1000_mr05_nv5_11,0.871,0.435,0.581,0.708,0.548,0.618,0.708,0.548,0.618
SIR01_sl500_mr15_nv10_11,0.889,0.471,0.615,0.722,0.765,0.743,0.722,0.765,0.743
SIR003_sl1000_mr05_nv5_14,0.933,0.483,0.636,0.773,0.586,0.667,0.773,0.586,0.667
SIR003_sl1000_mr025_nv10_2,1,0.737,0.848,0.875,0.737,0.8,1,0.737,0.848
SIR003_sl500_mr05_nv10_1,0.833,0.714,0.769,0.833,0.714,0.769,0.833,0.714,0.769
SEIR01_sl250_mr025_nv10_9,0.848,0.639,0.729,0.84,0.689,0.757,0.824,0.689,0.75
SIR003_sl1000_mr05_nv10_14,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947
SIR003_sl250_mr05_nv10_19,0.556,0.2,0.294,0.444,0.16,0.235,0.444,0.16,0.235
SEIR015_sl1000_mr05_nv10_5,0.857,0.545,0.667,1,0.818,0.9,0.9,0.818,0.857
SEIR015_sl1000_mr025_nv20_2,1,0.64,0.78,0.958,0.92,0.939,0.958,0.92,0.939
SEIR01_sl1000_mr0125_nv10_4,0.889,0.667,0.762,0.826,0.792,0.809,0.826,0.792,0.809
SEIR015_sl1000_mr025_nv20_19,0.571,0.364,0.444,0.636,0.636,0.636,0.5,0.636,0.56
SEIR015_sl1000_mr025_nv20_16,0.909,0.667,0.769,0.9,0.9,0.9,0.9,0.9,0.9
SIR01_sl500_mr15_nv10_19,0.938,0.556,0.698,0.773,0.63,0.694,0.773,0.63,0.694
SEIR015_sl500_mr025_nv10_1,1,0.5,0.667,0.727,0.8,0.762,0.727,0.8,0.762
SIR003_sl1000_mr025_nv10_12,0.972,0.714,0.824,0.796,0.796,0.796,0.796,0.796,0.796
SIR003_sl1000_mr05_nv5_8,1,0.32,0.485,0.812,0.52,0.634,0.812,0.52,0.634
SIR01_sl250_mr15_nv10_19,0.833,0.714,0.769,0.833,0.714,0.769,0.833,0.714,0.769
SIR003_sl1000_mr05_nv10_4,0.9,0.692,0.783,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_18,1,0.462,0.632,0.769,0.769,0.769,0.769,0.769,0.769
SIR01_sl1000_mr15_nv5_11,0.75,0.333,0.462,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_13,0.857,0.75,0.8,0.812,0.812,0.812,0.812,0.812,0.812
SEIR01_sl1000_mr0125_nv10_2,1,0.731,0.844,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_14,1,0.5,0.667,0.889,1,0.941,0.889,1,0.941
