strain	virus	date	country
EPI_ISL_423012	hCoV-19	2020-03-19	USA
EPI_ISL_415581	hCoV-19	2020-03-01	Canada
EPI_ISL_424955	hCoV-19	2020-04-01	USA
EPI_ISL_419814	hCoV-19	2020-03-17	Australia
EPI_ISL_425450	hCoV-19	2020-03-31	England
EPI_ISL_419852	hCoV-19	2020-03-17	Australia
EPI_ISL_419824	hCoV-19	2020-03-21	Australia
EPI_ISL_417857	hCoV-19	2020-03-07	Iceland
EPI_ISL_423262	hCoV-19	2020-03-25	England
EPI_ISL_417759	hCoV-19	2020-03-13	Iceland
EPI_ISL_418902	hCoV-19	2020-03-13	USA
EPI_ISL_417964	hCoV-19	2020-03-13	USA
EPI_ISL_423266	hCoV-19	2020-03-25	England
EPI_ISL_416510	hCoV-19	2020-03-06	France
EPI_ISL_425768	hCoV-19	2020-03-13	Scotland
EPI_ISL_422066	hCoV-19	2020-03-24	Wales
EPI_ISL_418707	hCoV-19	2020-03-17	England
EPI_ISL_417664	hCoV-19	2020-03-13	Iceland
EPI_ISL_426542	hCoV-19	2020-03-20	USA
EPI_ISL_417779	hCoV-19	2020-03-11	Iceland
EPI_ISL_423675	hCoV-19	2020-03-20	England
EPI_ISL_423258	hCoV-19	2020-03-23	England
EPI_ISL_426322	hCoV-19	2020-03-12	USA
EPI_ISL_420784	hCoV-19	2020-03-02	USA
EPI_ISL_422870	hCoV-19	2020-03-09	Netherlands
EPI_ISL_423755	hCoV-19	2020-03-23	England
EPI_ISL_423732	hCoV-19	2020-03-23	England
EPI_ISL_416692	hCoV-19	2020-03-14	USA
EPI_ISL_426024	hCoV-19	2020-03-31	Scotland
EPI_ISL_421803	hCoV-19	2020-03-26	England
EPI_ISL_424423	hCoV-19	2020-03-19	Iceland
EPI_ISL_421641	hCoV-19	2020-03-19	Taiwan
EPI_ISL_412980	hCoV-19	2020-01-18	China
EPI_ISL_422990	hCoV-19	2020-03-18	USA
EPI_ISL_423621	hCoV-19	2020-03-23	England
EPI_ISL_426520	hCoV-19	2020-03-20	USA
EPI_ISL_424364	hCoV-19	2020-03-17	India
EPI_ISL_426051	hCoV-19	2020-03-20	Czech Republic
EPI_ISL_420547	hCoV-19	2020-03-03	India
EPI_ISL_423739	hCoV-19	2020-03-23	England
EPI_ISL_417801	hCoV-19	2020-03-13	Iceland
EPI_ISL_421462	hCoV-19	2020-03-20	Portugal
EPI_ISL_420420	hCoV-19	2020-03-24	Belgium
EPI_ISL_407988	hCoV-19	2020-02-01	Singapore
EPI_ISL_425167	hCoV-19	2020-03-31	USA
EPI_ISL_417023	hCoV-19	2020-03-15	Belgium
EPI_ISL_426558	hCoV-19	2020-03-25	USA
EPI_ISL_423288	hCoV-19	2020-03-26	England
EPI_ISL_425993	hCoV-19	2020-03-30	Scotland
EPI_ISL_414560	hCoV-19	2020-03-03	Netherlands
EPI_ISL_423696	hCoV-19	2020-03-21	England
EPI_ISL_412029	hCoV-19	2020-01-30	Hong Kong
EPI_ISL_422988	hCoV-19	2020-03-18	USA
EPI_ISL_421309	hCoV-19	2020-03-20	USA
EPI_ISL_425251	hCoV-19	2020-03-31	England
EPI_ISL_424522	hCoV-19	2020-03-21	Iceland
EPI_ISL_419698	hCoV-19	2020-03-18	USA
EPI_ISL_416572	hCoV-19	2020-02-15	Japan
EPI_ISL_419999	hCoV-19	2020-03-23	Australia
EPI_ISL_418192	hCoV-19	2020-03-16	USA
EPI_ISL_418858	hCoV-19	2020-03-13	Canada
EPI_ISL_421888	hCoV-19	2020-03-27	England
EPI_ISL_422064	hCoV-19	2020-03-25	Wales
EPI_ISL_422727	hCoV-19	2020-03-24	Netherlands
EPI_ISL_426311	hCoV-19	2020-03-08	USA
EPI_ISL_417246	hCoV-19	2020-03-03	England
EPI_ISL_422944	hCoV-19	2020-03-26	Netherlands
EPI_ISL_425232	hCoV-19	2020-03-30	England
EPI_ISL_413601	hCoV-19	2020-03-02	USA
EPI_ISL_423483	hCoV-19	2020-04-01	England
EPI_ISL_422583	hCoV-19	2020-03-30	Netherlands
EPI_ISL_422560	hCoV-19	2020-03-22	USA
EPI_ISL_419849	hCoV-19	2020-03-17	Australia
