strain	virus	date	country
EPI_ISL_420406	hCoV-19	2020-03-24	Belgium
EPI_ISL_417819	hCoV-19	2020-03-15	Iceland
EPI_ISL_419990	hCoV-19	2020-03-23	Australia
EPI_ISL_422167	hCoV-19	2020-03-27	Wales
EPI_ISL_424531	hCoV-19	2020-03-20	Iceland
EPI_ISL_423704	hCoV-19	2020-03-23	England
EPI_ISL_423804	hCoV-19	2020-03-24	England
EPI_ISL_418422	hCoV-19	2020-03-17	France
EPI_ISL_423241	hCoV-19	2020-03-24	England
EPI_ISL_425948	hCoV-19	2020-03-26	Scotland
EPI_ISL_421877	hCoV-19	2020-03-27	England
EPI_ISL_415630	hCoV-19	2020-03-09	Scotland
EPI_ISL_420221	hCoV-19	2020-03-29	England
EPI_ISL_424575	hCoV-19	2020-03-28	Iceland
EPI_ISL_423928	hCoV-19	2020-03-19	England
EPI_ISL_417622	hCoV-19	2020-03-18	Iceland
EPI_ISL_423170	hCoV-19	2020-03-24	England
EPI_ISL_420064	hCoV-19	2020-03-23	France
EPI_ISL_424567	hCoV-19	2020-03-28	Iceland
EPI_ISL_423829	hCoV-19	2020-03-23	England
EPI_ISL_420188	hCoV-19	2020-03-27	England
EPI_ISL_423761	hCoV-19	2020-03-23	England
EPI_ISL_413854	hCoV-19	2020-01-30	China
EPI_ISL_423591	hCoV-19	2020-04-02	England
EPI_ISL_418817	hCoV-19	2020-03-13	Canada
EPI_ISL_426013	hCoV-19	2020-04-01	Scotland
EPI_ISL_417796	hCoV-19	2020-03-13	Iceland
EPI_ISL_422009	hCoV-19	2020-04-02	England
EPI_ISL_420322	hCoV-19	2020-03-05	Belgium
EPI_ISL_414641	hCoV-19	2020-03-05	Finland
EPI_ISL_420259	hCoV-19	2020-03-24	England
EPI_ISL_418349	hCoV-19	2020-03-07	Canada
EPI_ISL_420728	hCoV-19	2020-03-28	England
EPI_ISL_423358	hCoV-19	2020-03-28	England
EPI_ISL_425849	hCoV-19	2020-03-14	Scotland
EPI_ISL_416595	hCoV-19	2020-02-16	Japan
EPI_ISL_426180	hCoV-19	2020-02-05	South Korea
EPI_ISL_416597	hCoV-19	2020-02-16	Japan
EPI_ISL_418822	hCoV-19	2020-03-10	Canada
EPI_ISL_422642	hCoV-19	2020-03-09	Netherlands
EPI_ISL_415588	hCoV-19	2020-03-05	Canada
EPI_ISL_417815	hCoV-19	2020-03-16	Iceland
EPI_ISL_425830	hCoV-19	2020-03-12	Scotland
EPI_ISL_421460	hCoV-19	2020-03-20	Portugal
EPI_ISL_419578	hCoV-19	2020-03-08	Luxembourg
EPI_ISL_420013	hCoV-19	2020-03-24	Australia
EPI_ISL_417712	hCoV-19	2020-03-15	Iceland
EPI_ISL_422847	hCoV-19	2020-03-16	Netherlands
EPI_ISL_419752	hCoV-19	2020-03-10	Australia
EPI_ISL_416743	hCoV-19	2020-03-XX	Czech Republic
EPI_ISL_425918	hCoV-19	2020-03-24	Scotland
EPI_ISL_417743	hCoV-19	2020-03-16	Iceland
EPI_ISL_413602	hCoV-19	2020-03-03	Finland
EPI_ISL_418219	hCoV-19	2020-02-26	France
EPI_ISL_419948	hCoV-19	2020-03-21	Australia
EPI_ISL_421741	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_417564	hCoV-19	2020-03-17	Iceland
EPI_ISL_418246	hCoV-19	2020-03-01	Spain
EPI_ISL_419954	hCoV-19	2020-03-21	Australia
EPI_ISL_425525	hCoV-19	2020-03-21	England
EPI_ISL_422951	hCoV-19	2020-03-27	Netherlands
EPI_ISL_417979	hCoV-19	2020-03-03	Spain
EPI_ISL_420218	hCoV-19	2020-03-27	England
EPI_ISL_417818	hCoV-19	2020-03-16	Iceland
EPI_ISL_424401	hCoV-19	2020-03-19	Iceland
EPI_ISL_416730	hCoV-19	2020-03-03	England
EPI_ISL_408430	hCoV-19	2020-01-29	France
EPI_ISL_417792	hCoV-19	2020-03-13	Iceland
EPI_ISL_421463	hCoV-19	2020-03-20	Portugal
EPI_ISL_425452	hCoV-19	2020-03-31	England
EPI_ISL_420430	hCoV-19	2020-03-24	Belgium
EPI_ISL_403932	hCoV-19	2020-01-14	China
EPI_ISL_425138	hCoV-19	2020-03-19	Germany
EPI_ISL_417830	hCoV-19	2020-03-16	Iceland
EPI_ISL_416412	hCoV-19	2020-03-02	Australia
EPI_ISL_425181	hCoV-19	2020-03-10	Spain
EPI_ISL_411957	hCoV-19	2020-01-08	China
EPI_ISL_417654	hCoV-19	2020-03-18	Iceland
EPI_ISL_419903	hCoV-19	2020-03-20	Australia
EPI_ISL_416624	hCoV-19	2020-02-17	Japan
EPI_ISL_416748	hCoV-19	2020-03-04	France
EPI_ISL_418834	hCoV-19	2020-03-11	Canada
EPI_ISL_422736	hCoV-19	2020-03-24	Netherlands
EPI_ISL_425611	hCoV-19	2020-03-29	England
EPI_ISL_421744	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_418809	hCoV-19	2020-02-01	Japan
EPI_ISL_424480	hCoV-19	2020-03-20	Iceland
EPI_ISL_421470	hCoV-19	2020-03-21	Portugal
EPI_ISL_417528	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_418366	hCoV-19	2020-03-05	Canada
EPI_ISL_417771	hCoV-19	2020-03-12	Iceland
EPI_ISL_418354	hCoV-19	2020-03-15	Canada
EPI_ISL_420605	hCoV-19	2020-03-22	France
EPI_ISL_418857	hCoV-19	2020-03-13	Canada
EPI_ISL_425242	hCoV-19	2020-03-31	England
EPI_ISL_417764	hCoV-19	2020-03-16	Iceland
EPI_ISL_424537	hCoV-19	2020-03-XX	Iceland
EPI_ISL_425277	hCoV-19	2020-03-30	England
EPI_ISL_421737	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_421448	hCoV-19	2020-03-18	Portugal
EPI_ISL_422799	hCoV-19	2020-03-13	Netherlands
EPI_ISL_413599	hCoV-19	2020-03-04	Australia
EPI_ISL_425132	hCoV-19	2020-03-23	Germany
EPI_ISL_422722	hCoV-19	2020-03-23	Netherlands
EPI_ISL_420532	hCoV-19	2020-03-13	Australia
EPI_ISL_420254	hCoV-19	2020-03-25	England
EPI_ISL_419531	hCoV-19	2020-03-11	Germany
EPI_ISL_414425	hCoV-19	2020-03-03	Netherlands
EPI_ISL_425921	hCoV-19	2020-03-23	Scotland
EPI_ISL_420189	hCoV-19	2020-03-27	England
EPI_ISL_424429	hCoV-19	2020-03-19	Iceland
EPI_ISL_417864	hCoV-19	2020-03-15	Iceland
EPI_ISL_419975	hCoV-19	2020-03-22	Australia
EPI_ISL_419592	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_420616	hCoV-19	2020-03-23	France
EPI_ISL_418218	hCoV-19	2020-02-21	France
EPI_ISL_419748	hCoV-19	2020-03-10	Australia
EPI_ISL_419798	hCoV-19	2020-03-15	Australia
EPI_ISL_416317	hCoV-19	2020-01-25	China
EPI_ISL_425263	hCoV-19	2020-04-01	England
EPI_ISL_414456	hCoV-19	2020-03-04	Netherlands
EPI_ISL_419551	hCoV-19	2020-03-16	Germany
EPI_ISL_425131	hCoV-19	2020-03-20	Germany
EPI_ISL_418224	hCoV-19	2020-03-08	France
EPI_ISL_424462	hCoV-19	2020-03-20	Iceland
EPI_ISL_417645	hCoV-19	2020-03-18	Iceland
EPI_ISL_425233	hCoV-19	2020-03-30	England
EPI_ISL_420372	hCoV-19	2020-03-23	Belgium
EPI_ISL_425481	hCoV-19	2020-03-16	England
EPI_ISL_422611	hCoV-19	2020-04-01	Netherlands
EPI_ISL_420452	hCoV-19	2020-03-09	Belgium
EPI_ISL_419911	hCoV-19	2020-03-20	Australia
EPI_ISL_418233	hCoV-19	2020-03-15	France
EPI_ISL_413600	hCoV-19	2020-03-03	Australia
EPI_ISL_420276	hCoV-19	2020-03-21	England
EPI_ISL_421496	hCoV-19	2020-03-24	Portugal
EPI_ISL_417809	hCoV-19	2020-03-15	Iceland
EPI_ISL_422433	hCoV-19	2020-03-31	Singapore
EPI_ISL_425633	hCoV-19	2020-03-29	England
EPI_ISL_417772	hCoV-19	2020-03-14	Iceland
EPI_ISL_420410	hCoV-19	2020-03-25	Belgium
EPI_ISL_420074	hCoV-19	2020-03-20	Senegal
EPI_ISL_425870	hCoV-19	2020-03-20	Scotland
EPI_ISL_425218	hCoV-19	2020-03-17	Spain
EPI_ISL_418270	hCoV-19	2020-03-04	Belgium
EPI_ISL_418001	hCoV-19	2020-03-10	Portugal
EPI_ISL_418364	hCoV-19	2020-03-13	Canada
EPI_ISL_417833	hCoV-19	2020-03-16	Iceland
EPI_ISL_421240	hCoV-19	2020-02-05	China
EPI_ISL_425815	hCoV-19	2020-03-12	Scotland
EPI_ISL_424411	hCoV-19	2020-03-19	Iceland
EPI_ISL_413214	hCoV-19	2020-02-29	Australia
EPI_ISL_421200	hCoV-19	2020-03-31	Belgium
EPI_ISL_425210	hCoV-19	2020-03-25	Spain
EPI_ISL_413694	hCoV-19	2020-01-XX	China
EPI_ISL_422695	hCoV-19	2020-03-21	Netherlands
EPI_ISL_418628	hCoV-19	2020-03-16	Belgium
EPI_ISL_422816	hCoV-19	2020-03-15	Netherlands
EPI_ISL_419736	hCoV-19	2020-03-07	Australia
EPI_ISL_419843	hCoV-19	2020-03-17	Australia
EPI_ISL_420319	hCoV-19	2020-03-04	Belgium
EPI_ISL_420537	hCoV-19	2020-03-13	Australia
EPI_ISL_418509	hCoV-19	2020-01-23	China
EPI_ISL_417031	hCoV-19	2020-03-11	Australia
EPI_ISL_415470	hCoV-19	2020-03-10	Netherlands
EPI_ISL_417532	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_425704	hCoV-19	2020-03-17	Scotland
EPI_ISL_418206	hCoV-19	2020-02-28	Senegal
EPI_ISL_425663	hCoV-19	2020-03-10	Scotland
EPI_ISL_414566	hCoV-19	2020-03-06	Netherlands
EPI_ISL_420404	hCoV-19	2020-03-25	Belgium
EPI_ISL_419836	hCoV-19	2020-03-15	Australia
EPI_ISL_420397	hCoV-19	2020-03-23	Belgium
EPI_ISL_420055	hCoV-19	2020-03-17	France
EPI_ISL_419299	hCoV-19	2020-03-09	Japan
EPI_ISL_420241	hCoV-19	2020-03-26	England
EPI_ISL_420441	hCoV-19	2020-03-06	Belgium
EPI_ISL_419811	hCoV-19	2020-03-16	Australia
EPI_ISL_424355	hCoV-19	2020-01-24	China
EPI_ISL_414470	hCoV-19	2020-03-06	Netherlands
EPI_ISL_425861	hCoV-19	2020-03-18	Scotland
EPI_ISL_421487	hCoV-19	2020-03-22	Portugal
EPI_ISL_425880	hCoV-19	2020-03-21	Scotland
EPI_ISL_420363	hCoV-19	2020-03-20	Belgium
EPI_ISL_421745	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_419568	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_425881	hCoV-19	2020-03-21	Scotland
EPI_ISL_419749	hCoV-19	2020-03-10	Australia
EPI_ISL_425536	hCoV-19	2020-03-21	England
EPI_ISL_420318	hCoV-19	2020-03-07	Belgium
EPI_ISL_418842	hCoV-19	2020-03-11	Canada
EPI_ISL_415468	hCoV-19	2020-03-10	Netherlands
EPI_ISL_417595	hCoV-19	2020-03-17	Iceland
EPI_ISL_416739	hCoV-19	2020-03-09	England
EPI_ISL_417386	hCoV-19	2020-03-04	Australia
EPI_ISL_417998	hCoV-19	2020-03-08	Portugal
EPI_ISL_420424	hCoV-19	2020-03-24	Belgium
EPI_ISL_420369	hCoV-19	2020-03-19	Belgium
EPI_ISL_420217	hCoV-19	2020-03-27	England
EPI_ISL_402120	hCoV-19	2020-01-01	China
EPI_ISL_425754	hCoV-19	2020-03-20	Scotland
EPI_ISL_424626	hCoV-19	2020-03-15	Mexico
EPI_ISL_422576	hCoV-19	2020-03-30	Netherlands
EPI_ISL_422883	hCoV-19	2020-XX-XX	Netherlands
EPI_ISL_425439	hCoV-19	2020-XX-XX	England
EPI_ISL_418442	hCoV-19	2020-01-21	China
EPI_ISL_424508	hCoV-19	2020-03-20	Iceland
EPI_ISL_422595	hCoV-19	2020-03-31	Netherlands
EPI_ISL_422752	hCoV-19	2020-03-26	Netherlands
EPI_ISL_420315	hCoV-19	2020-03-06	Belgium
EPI_ISL_419594	hCoV-19	2020-03-16	Luxembourg
EPI_ISL_422603	hCoV-19	2020-04-01	Netherlands
EPI_ISL_419300	hCoV-19	2020-03-20	Japan
EPI_ISL_422619	hCoV-19	2020-04-02	Netherlands
EPI_ISL_419590	hCoV-19	2020-03-11	Luxembourg
EPI_ISL_424448	hCoV-19	2020-03-20	Iceland
EPI_ISL_425440	hCoV-19	2020-XX-XX	England
EPI_ISL_414430	hCoV-19	2020-03-05	Netherlands
EPI_ISL_419187	hCoV-19	2020-03-22	France
EPI_ISL_417526	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_425872	hCoV-19	2020-03-20	Scotland
EPI_ISL_425427	hCoV-19	2020-03-31	England
EPI_ISL_416575	hCoV-19	2020-02-15	Japan
EPI_ISL_419979	hCoV-19	2020-03-22	Australia
EPI_ISL_420043	hCoV-19	2020-03-18	France
EPI_ISL_420534	hCoV-19	2020-03-04	Australia
EPI_ISL_416377	hCoV-19	2020-02-07	China
EPI_ISL_421192	hCoV-19	2020-03-30	Belgium
EPI_ISL_425532	hCoV-19	2020-03-21	England
EPI_ISL_425812	hCoV-19	2020-03-09	Scotland
EPI_ISL_420901	hCoV-19	2020-03-12	Germany
EPI_ISL_420391	hCoV-19	2020-03-24	Belgium
EPI_ISL_422940	hCoV-19	2020-03-24	Netherlands
EPI_ISL_417597	hCoV-19	2020-03-17	Iceland
EPI_ISL_420001	hCoV-19	2020-03-23	Australia
EPI_ISL_419809	hCoV-19	2020-03-15	Australia
EPI_ISL_417860	hCoV-19	2020-03-08	Iceland
EPI_ISL_425848	hCoV-19	2020-03-12	Scotland
EPI_ISL_425656	hCoV-19	2020-03-14	Scotland
EPI_ISL_414628	hCoV-19	2020-03-02	France
EPI_ISL_425937	hCoV-19	2020-03-25	Scotland
EPI_ISL_413587	hCoV-19	2020-03-03	Netherlands
EPI_ISL_419875	hCoV-19	2020-03-18	Australia
EPI_ISL_419742	hCoV-19	2020-03-09	Australia
EPI_ISL_419839	hCoV-19	2020-03-16	Australia
EPI_ISL_425819	hCoV-19	2020-03-05	Scotland
EPI_ISL_425570	hCoV-19	2020-03-23	England
EPI_ISL_414436	hCoV-19	2020-03-03	Netherlands
EPI_ISL_422608	hCoV-19	2020-04-01	Netherlands
EPI_ISL_424359	hCoV-19	2020-01-27	China
EPI_ISL_422721	hCoV-19	2020-03-23	Netherlands
EPI_ISL_416397	hCoV-19	2020-02-02	China
EPI_ISL_419882	hCoV-19	2020-03-19	Australia
EPI_ISL_425373	hCoV-19	2020-03-19	England
EPI_ISL_418991	hCoV-19	2020-02-04	China
EPI_ISL_421446	hCoV-19	2020-03-18	Portugal
EPI_ISL_417611	hCoV-19	2020-03-17	Iceland
EPI_ISL_425763	hCoV-19	2020-03-12	Scotland
EPI_ISL_420321	hCoV-19	2020-03-06	Belgium
EPI_ISL_421202	hCoV-19	2020-03-30	Belgium
EPI_ISL_419978	hCoV-19	2020-03-22	Australia
EPI_ISL_415514	hCoV-19	2020-03-11	Netherlands
EPI_ISL_425950	hCoV-19	2020-03-26	Scotland
EPI_ISL_420224	hCoV-19	2020-03-26	England
EPI_ISL_418337	hCoV-19	2020-03-12	Canada
EPI_ISL_418851	hCoV-19	2020-03-13	Canada
EPI_ISL_420213	hCoV-19	2020-03-29	England
EPI_ISL_421451	hCoV-19	2020-03-18	Portugal
EPI_ISL_418655	hCoV-19	2020-03-22	Belgium
EPI_ISL_425635	hCoV-19	2020-03-30	England
EPI_ISL_424406	hCoV-19	2020-03-19	Iceland
EPI_ISL_421478	hCoV-19	2020-03-21	Portugal
EPI_ISL_416571	hCoV-19	2020-02-15	Japan
EPI_ISL_415458	hCoV-19	2020-03-01	Switzerland
EPI_ISL_418213	hCoV-19	2020-03-12	Senegal
EPI_ISL_425964	hCoV-19	2020-03-27	Scotland
EPI_ISL_425359	hCoV-19	2020-03-17	England
EPI_ISL_420012	hCoV-19	2020-03-24	Australia
EPI_ISL_424407	hCoV-19	2020-03-19	Iceland
EPI_ISL_425311	hCoV-19	2020-03-27	England
EPI_ISL_419908	hCoV-19	2020-03-20	Australia
EPI_ISL_412968	hCoV-19	2020-02-10	Japan
EPI_ISL_414471	hCoV-19	2020-03-05	Netherlands
EPI_ISL_421497	hCoV-19	2020-03-24	Portugal
EPI_ISL_416511	hCoV-19	2020-03-07	France
EPI_ISL_424460	hCoV-19	2020-03-20	Iceland
EPI_ISL_419818	hCoV-19	2020-03-17	Australia
EPI_ISL_425551	hCoV-19	2020-03-22	England
EPI_ISL_426415	hCoV-19	2020-04-05	India
EPI_ISL_419658	hCoV-19	2020-03-06	Austria
EPI_ISL_425326	hCoV-19	2020-03-29	England
EPI_ISL_416606	hCoV-19	2020-02-16	Japan
EPI_ISL_424467	hCoV-19	2020-03-20	Iceland
EPI_ISL_421210	hCoV-19	2020-03-31	Belgium
EPI_ISL_420340	hCoV-19	2020-03-06	Belgium
EPI_ISL_425259	hCoV-19	2020-XX-XX	England
EPI_ISL_416752	hCoV-19	2020-03-04	France
EPI_ISL_418317	hCoV-19	2020-03-23	England
EPI_ISL_422884	hCoV-19	2020-XX-XX	Netherlands
EPI_ISL_414017	hCoV-19	2020-03-04	Brazil
EPI_ISL_425785	hCoV-19	2020-03-12	Scotland
EPI_ISL_419813	hCoV-19	2020-03-16	Australia
EPI_ISL_418370	hCoV-19	2020-03-11	Canada
EPI_ISL_422821	hCoV-19	2020-03-09	Netherlands
EPI_ISL_422594	hCoV-19	2020-03-31	Netherlands
EPI_ISL_422795	hCoV-19	2020-03-30	Netherlands
EPI_ISL_420447	hCoV-19	2020-03-04	Belgium
EPI_ISL_418630	hCoV-19	2020-03-17	Belgium
EPI_ISL_420083	hCoV-19	2020-03-18	Taiwan
EPI_ISL_424627	hCoV-19	2020-03-16	Mexico
EPI_ISL_422810	hCoV-19	2020-03-09	Netherlands
EPI_ISL_417680	hCoV-19	2020-03-15	Iceland
EPI_ISL_419606	hCoV-19	2020-03-11	Luxembourg
EPI_ISL_422606	hCoV-19	2020-04-01	Netherlands
EPI_ISL_419829	hCoV-19	2020-03-22	Australia
EPI_ISL_417608	hCoV-19	2020-03-17	Iceland
EPI_ISL_422569	hCoV-19	2020-03-27	Netherlands
EPI_ISL_421205	hCoV-19	2020-03-31	Belgium
EPI_ISL_425231	hCoV-19	2020-03-30	England
EPI_ISL_414439	hCoV-19	2020-03-02	Netherlands
EPI_ISL_422609	hCoV-19	2020-04-01	Netherlands
EPI_ISL_420344	hCoV-19	2020-03-05	Belgium
EPI_ISL_419237	hCoV-19	2020-03-07	Spain
EPI_ISL_425762	hCoV-19	2020-03-13	Scotland
EPI_ISL_417425	hCoV-19	2020-03-06	Belgium
EPI_ISL_424572	hCoV-19	2020-03-26	Iceland
EPI_ISL_412974	hCoV-19	2020-01-29	Italy
EPI_ISL_413692	hCoV-19	2020-01-XX	China
EPI_ISL_416584	hCoV-19	2020-02-15	Japan
EPI_ISL_417391	hCoV-19	2020-03-08	Australia
EPI_ISL_421203	hCoV-19	2020-03-30	Belgium
EPI_ISL_425776	hCoV-19	2020-03-13	Scotland
EPI_ISL_417670	hCoV-19	2020-03-15	Iceland
EPI_ISL_419997	hCoV-19	2020-03-23	Australia
EPI_ISL_417395	hCoV-19	2020-03-10	Australia
EPI_ISL_415460	hCoV-19	2020-03-09	Netherlands
EPI_ISL_424616	hCoV-19	2020-03-28	Iceland
EPI_ISL_418988	hCoV-19	2020-03-04	Belgium
EPI_ISL_415105	hCoV-19	2020-03-04	Brazil
EPI_ISL_425261	hCoV-19	2020-XX-XX	England
EPI_ISL_416997	hCoV-19	2020-03-05	Belgium
EPI_ISL_415654	hCoV-19	2020-03-09	France
EPI_ISL_419924	hCoV-19	2020-03-21	Australia
EPI_ISL_419228	hCoV-19	2020-02-17	Hong Kong
EPI_ISL_421186	hCoV-19	2020-03-30	Belgium
EPI_ISL_420199	hCoV-19	2020-03-28	England
EPI_ISL_421456	hCoV-19	2020-03-19	Portugal
EPI_ISL_417033	hCoV-19	2020-03-11	Australia
EPI_ISL_422856	hCoV-19	2020-03-18	Netherlands
EPI_ISL_416747	hCoV-19	2020-03-04	France
EPI_ISL_425987	hCoV-19	2020-03-30	Scotland
EPI_ISL_418986	hCoV-19	2020-03-02	Belgium
EPI_ISL_417798	hCoV-19	2020-03-13	Iceland
EPI_ISL_425186	hCoV-19	2020-03-10	Spain
EPI_ISL_424437	hCoV-19	2020-03-19	Iceland
EPI_ISL_422735	hCoV-19	2020-03-25	Netherlands
EPI_ISL_414642	hCoV-19	2020-03-08	Finland
EPI_ISL_418378	hCoV-19	2020-03-13	Canada
EPI_ISL_419234	hCoV-19	2020-03-03	Spain
EPI_ISL_419940	hCoV-19	2020-03-21	Australia
EPI_ISL_422861	hCoV-19	2020-03-21	Netherlands
EPI_ISL_418989	hCoV-19	2020-03-04	Belgium
EPI_ISL_416626	hCoV-19	2020-02-17	Japan
EPI_ISL_420622	hCoV-19	2020-03-24	France
EPI_ISL_417655	hCoV-19	2020-03-14	Iceland
EPI_ISL_420423	hCoV-19	2020-03-25	Belgium
EPI_ISL_425942	hCoV-19	2020-03-26	Scotland
EPI_ISL_422867	hCoV-19	2020-03-11	Netherlands
EPI_ISL_424483	hCoV-19	2020-03-20	Iceland
EPI_ISL_420567	hCoV-19	2020-03-21	Italy
EPI_ISL_419214	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_425893	hCoV-19	2020-03-22	Scotland
EPI_ISL_424434	hCoV-19	2020-03-19	Iceland
EPI_ISL_417876	hCoV-19	2020-03-10	Iceland
EPI_ISL_420282	hCoV-19	2020-03-21	England
EPI_ISL_422748	hCoV-19	2020-03-25	Netherlands
EPI_ISL_425489	hCoV-19	2020-03-18	England
EPI_ISL_414428	hCoV-19	2020-03-02	Netherlands
EPI_ISL_425823	hCoV-19	2020-03-14	Scotland
EPI_ISL_419922	hCoV-19	2020-03-20	Australia
EPI_ISL_425238	hCoV-19	2020-03-30	England
EPI_ISL_417810	hCoV-19	2020-03-13	Iceland
EPI_ISL_417404	hCoV-19	2020-03-12	Australia
EPI_ISL_414638	hCoV-19	2020-03-04	France
EPI_ISL_422628	hCoV-19	2020-03-31	Netherlands
EPI_ISL_418235	hCoV-19	2020-03-16	France
EPI_ISL_416751	hCoV-19	2020-03-05	France
EPI_ISL_425527	hCoV-19	2020-03-19	England
EPI_ISL_417678	hCoV-19	2020-03-16	Iceland
EPI_ISL_425684	hCoV-19	2020-03-16	Scotland
EPI_ISL_422954	hCoV-19	2020-03-27	Netherlands
EPI_ISL_424574	hCoV-19	2020-03-27	Iceland
EPI_ISL_413997	hCoV-19	2020-02-26	Switzerland
EPI_ISL_418226	hCoV-19	2020-03-09	France
EPI_ISL_417385	hCoV-19	2020-03-06	Australia
EPI_ISL_425331	hCoV-19	2020-03-29	England
EPI_ISL_419987	hCoV-19	2020-03-23	Australia
EPI_ISL_417009	hCoV-19	2020-03-07	Belgium
EPI_ISL_417582	hCoV-19	2020-03-17	Iceland
EPI_ISL_416340	hCoV-19	2020-02-02	China
EPI_ISL_416600	hCoV-19	2020-02-16	Japan
EPI_ISL_425475	hCoV-19	2020-03-14	England
EPI_ISL_420327	hCoV-19	2020-03-07	Belgium
EPI_ISL_418010	hCoV-19	2020-03-03	Portugal
EPI_ISL_425952	hCoV-19	2020-03-27	Scotland
EPI_ISL_424590	hCoV-19	2020-03-28	Iceland
EPI_ISL_416756	hCoV-19	2020-03-06	France
EPI_ISL_417187	hCoV-19	2020-02-08	Hong Kong
EPI_ISL_425682	hCoV-19	2020-03-16	Scotland
EPI_ISL_415155	hCoV-19	2020-03-01	Belgium
EPI_ISL_417997	hCoV-19	2020-03-07	Portugal
EPI_ISL_406716	hCoV-19	2020-01-02	China
EPI_ISL_425494	hCoV-19	2020-03-18	England
EPI_ISL_421506	hCoV-19	2020-03-21	France
EPI_ISL_417388	hCoV-19	2020-03-05	Australia
EPI_ISL_425283	hCoV-19	2020-03-20	England
EPI_ISL_419909	hCoV-19	2020-03-20	Australia
EPI_ISL_420111	hCoV-19	2020-03-12	Singapore
EPI_ISL_420197	hCoV-19	2020-03-28	England
EPI_ISL_417034	hCoV-19	2020-03-16	Brazil
EPI_ISL_424499	hCoV-19	2020-03-20	Iceland
EPI_ISL_425262	hCoV-19	2020-03-31	England
EPI_ISL_419784	hCoV-19	2020-03-12	Australia
EPI_ISL_417536	hCoV-19	2020-03-16	Iceland
EPI_ISL_424556	hCoV-19	2020-03-29	Iceland
EPI_ISL_421508	hCoV-19	2020-03-23	France
EPI_ISL_421651	hCoV-19	2020-03-22	Taiwan
EPI_ISL_421204	hCoV-19	2020-03-31	Belgium
EPI_ISL_418424	hCoV-19	2020-03-17	France
EPI_ISL_421754	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_413647	hCoV-19	2020-03-01	Portugal
EPI_ISL_419714	hCoV-19	2020-03-18	Australia
EPI_ISL_420162	hCoV-19	2020-03-26	England
EPI_ISL_419303	hCoV-19	2020-03-12	Japan
EPI_ISL_425433	hCoV-19	2020-03-30	England
EPI_ISL_422817	hCoV-19	2020-03-15	Netherlands
EPI_ISL_425799	hCoV-19	2020-03-09	Scotland
EPI_ISL_419896	hCoV-19	2020-03-19	Australia
EPI_ISL_417603	hCoV-19	2020-03-17	Iceland
EPI_ISL_425325	hCoV-19	2020-03-29	England
EPI_ISL_421457	hCoV-19	2020-03-18	Portugal
EPI_ISL_422747	hCoV-19	2020-03-24	Netherlands
EPI_ISL_422432	hCoV-19	2020-03-31	Singapore
EPI_ISL_425772	hCoV-19	2020-03-13	Scotland
EPI_ISL_417632	hCoV-19	2020-03-18	Iceland
EPI_ISL_418661	hCoV-19	2020-03-22	Belgium
EPI_ISL_425203	hCoV-19	2020-03-20	Spain
EPI_ISL_419959	hCoV-19	2020-03-22	Australia
EPI_ISL_425280	hCoV-19	2020-XX-XX	England
EPI_ISL_420538	hCoV-19	2020-03-14	Australia
EPI_ISL_424534	hCoV-19	2020-03-XX	Iceland
EPI_ISL_416633	hCoV-19	2020-02-17	Japan
EPI_ISL_415486	hCoV-19	2020-03-13	Netherlands
EPI_ISL_425692	hCoV-19	2020-03-12	Scotland
EPI_ISL_420053	hCoV-19	2020-03-19	France
EPI_ISL_418385	hCoV-19	2020-03-13	Finland
EPI_ISL_420208	hCoV-19	2020-03-28	England
EPI_ISL_420443	hCoV-19	2020-03-04	Belgium
EPI_ISL_417975	hCoV-19	2020-03-09	Spain
EPI_ISL_418833	hCoV-19	2020-03-11	Canada
EPI_ISL_425361	hCoV-19	2020-03-19	England
EPI_ISL_422636	hCoV-19	2020-03-08	Czech Republic
EPI_ISL_407976	hCoV-19	2020-02-03	Belgium
EPI_ISL_418646	hCoV-19	2020-03-21	Belgium
EPI_ISL_417996	hCoV-19	2020-03-08	Portugal
EPI_ISL_417665	hCoV-19	2020-03-14	Iceland
EPI_ISL_422729	hCoV-19	2020-03-23	Netherlands
EPI_ISL_420166	hCoV-19	2020-03-25	England
EPI_ISL_422901	hCoV-19	2020-03-18	Netherlands
EPI_ISL_422759	hCoV-19	2020-03-26	Netherlands
EPI_ISL_422865	hCoV-19	2020-03-02	Netherlands
EPI_ISL_419231	hCoV-19	2020-02-19	Hong Kong
EPI_ISL_413574	hCoV-19	2020-02-29	Netherlands
EPI_ISL_420550	hCoV-19	2020-XX-XX	India
EPI_ISL_417460	hCoV-19	2020-03-11	Germany
EPI_ISL_420040	hCoV-19	2020-03-12	France
EPI_ISL_425713	hCoV-19	2020-03-17	Scotland
