name,date,location,area
EPI_ISL_417801,2020-03-13,Iceland,Reykjavik
EPI_ISL_421462,2020-03-20,Portugal,
EPI_ISL_420420,2020-03-24,Belgium,Forchies-la-marche
EPI_ISL_407988,2020-02-01,Singapore,
EPI_ISL_425167,2020-03-31,USA,Wisconsin
EPI_ISL_417023,2020-03-15,Belgium,Liège
EPI_ISL_426558,2020-03-25,USA,Arizona
EPI_ISL_423288,2020-03-26,United Kingdom,England
EPI_ISL_425993,2020-03-30,Scotland,
EPI_ISL_414560,2020-03-03,Netherlands,Zuid Holland
EPI_ISL_423696,2020-03-21,United Kingdom,England
EPI_ISL_412029,2020-01-30,Hong Kong,
EPI_ISL_422988,2020-03-18,USA,Washington
EPI_ISL_421309,2020-03-20,USA,Wisconsin
EPI_ISL_425251,2020-03-31,England,
EPI_ISL_424522,2020-03-21,Iceland,Reykjavik
EPI_ISL_419698,2020-03-18,USA,New York
EPI_ISL_416572,2020-02-15,Japan,unknown
EPI_ISL_419999,2020-03-23,Australia,Victoria
EPI_ISL_418192,2020-03-16,USA,New York
EPI_ISL_418858,2020-03-13,Canada,British Columbia
EPI_ISL_421888,2020-03-27,United Kingdom,England
EPI_ISL_422064,2020-03-25,United Kingdom,Wales
EPI_ISL_422727,2020-03-24,Netherlands,
EPI_ISL_426311,2020-03-08,USA,New York
EPI_ISL_417246,2020-03-03,United Kingdom,England
EPI_ISL_422944,2020-03-26,Netherlands,Zuid Holland
EPI_ISL_425232,2020-03-30,England,
EPI_ISL_413601,2020-03-02,USA,Washington
EPI_ISL_423483,2020-04-01,United Kingdom,England
EPI_ISL_422583,2020-03-30,Netherlands,
EPI_ISL_422560,2020-03-22,USA,New York
EPI_ISL_419849,2020-03-17,Australia,Victoria
EPI_ISL_416452,2020-03-10,USA,Washington
EPI_ISL_415608,2020-03-08,USA,Washington
EPI_ISL_421348,2020-03-17,USA,New York
EPI_ISL_410715,2020-02-04,Singapore,
EPI_ISL_415483,2020-03-09,Netherlands,
EPI_ISL_420000,2020-03-23,Australia,Victoria
EPI_ISL_417468,2020-03-16,Germany,Duesseldorf
EPI_ISL_424084,2020-03-11,United Kingdom,England
EPI_ISL_423228,2020-03-25,United Kingdom,England
EPI_ISL_419712,2020-03-10,USA,Virginia
EPI_ISL_422138,2020-03-24,United Kingdom,Wales
EPI_ISL_416634,2020-02-17,Japan,unknown
EPI_ISL_425487,2020-03-17,England,
EPI_ISL_425631,2020-03-29,England,
EPI_ISL_421239,2020-01-26,China,Jiangxi
EPI_ISL_422615,2020-04-01,Netherlands,
EPI_ISL_418076,2020-03-15,USA,Washington
EPI_ISL_408515,2020-01-01,China,Hubei
EPI_ISL_422915,2020-03-19,Netherlands,Zuid Holland
EPI_ISL_425163,2020-03-30,USA,Wisconsin
EPI_ISL_425978,2020-03-30,Scotland,
EPI_ISL_426127,2020-03-25,USA,Washington
EPI_ISL_423001,2020-03-19,USA,Washington
EPI_ISL_417517,2020-03-13,USA,Wisconsin
EPI_ISL_422751,2020-03-26,Netherlands,
EPI_ISL_417280,2020-03-07,United Kingdom,England
EPI_ISL_424951,2020-04-01,USA,New York
EPI_ISL_419434,2020-03-17,United Kingdom,Wales
EPI_ISL_417668,2020-03-15,Iceland,Reykjavik
EPI_ISL_416753,2020-03-06,France,ARA
EPI_ISL_423354,2020-03-29,United Kingdom,England
EPI_ISL_417740,2020-03-15,Iceland,Reykjavik
EPI_ISL_417763,2020-03-16,Iceland,Reykjavik
EPI_ISL_413748,2020-02-XX,China,
EPI_ISL_418720,2020-03-17,United Kingdom,England
EPI_ISL_418778,2020-03-13,USA,Washington
EPI_ISL_413022,2020-02-29,Switzerland,Zurich
EPI_ISL_422549,2020-03-20,USA,New York
EPI_ISL_426549,2020-03-26,USA,Arizona
EPI_ISL_421585,2020-03-18,USA,New Jersey
EPI_ISL_421411,2020-03-18,USA,New York
EPI_ISL_417591,2020-03-17,Iceland,Reykjavik
EPI_ISL_419905,2020-03-20,Australia,Victoria
EPI_ISL_418007,2020-03-13,Portugal,
EPI_ISL_419729,2020-03-20,Australia,Victoria
EPI_ISL_420722,2020-03-28,United Kingdom,England
EPI_ISL_420453,2020-03-05,Belgium,Wevelgem
EPI_ISL_419947,2020-03-21,Australia,Victoria
EPI_ISL_414635,2020-03-04,France,Hauts de France
EPI_ISL_421774,2020-03-25,United Kingdom,England
EPI_ISL_420210,2020-03-27,England,South Yorkshire
EPI_ISL_421584,2020-03-18,USA,New Jersey
EPI_ISL_419298,2020-03-10,Japan,Chiba
EPI_ISL_425759,2020-03-13,Scotland,
EPI_ISL_416491,2020-03-15,USA,Wisconsin
EPI_ISL_414625,2020-02-26,France,Pays de la Loire
EPI_ISL_420244,2020-03-26,England,South Yorkshire
EPI_ISL_417958,2020-03-10,USA,Utah
EPI_ISL_417475,2020-03-12,USA,Minnesota
EPI_ISL_414414,2020-02-29,Australia,Queensland
EPI_ISL_423639,2020-03-21,United Kingdom,England
EPI_ISL_418014,2020-03-09,Portugal,
EPI_ISL_421669,2020-03-12,India,
EPI_ISL_419704,2020-03-18,USA,New York
EPI_ISL_419958,2020-03-22,Australia,Victoria
EPI_ISL_417122,2020-03-05,USA,Washington
EPI_ISL_419785,2020-03-14,Australia,Victoria
EPI_ISL_426171,2020-02-05,South Korea,
EPI_ISL_422039,2020-03-24,United Kingdom,Wales
EPI_ISL_417538,2020-03-17,Iceland,Reykjavik
EPI_ISL_416657,2020-03-11,USA,Washington
EPI_ISL_423798,2020-03-23,United Kingdom,England
EPI_ISL_420796,2020-02-29,USA,Texas
EPI_ISL_421357,2020-03-17,USA,New York
EPI_ISL_422559,2020-03-22,USA,New York
EPI_ISL_417188,2020-02-08,Hong Kong,
EPI_ISL_419604,2020-03-15,Luxembourg,
EPI_ISL_416456,2020-03-06,USA,Washington
EPI_ISL_422920,2020-03-19,Netherlands,Zuid Holland
EPI_ISL_424414,2020-03-19,Iceland,Reykjavik
EPI_ISL_425309,2020-03-30,England,
EPI_ISL_417390,2020-03-08,Australia,New South Wales
EPI_ISL_413999,2020-02-27,Switzerland,Argovie
EPI_ISL_419222,2020-02-11,Hong Kong,
EPI_ISL_421759,2020-03-17,Luxembourg,
EPI_ISL_417201,2020-03-21,USA,Wisconsin
EPI_ISL_422516,2020-03-20,USA,New York
EPI_ISL_415485,2020-03-12,Netherlands,
EPI_ISL_424492,2020-03-21,Iceland,Reykjavik
EPI_ISL_414510,2020-02-02,China,Shanghai
EPI_ISL_423074,2020-03-24,United Kingdom,England
EPI_ISL_424890,2020-03-07,USA,Utah
EPI_ISL_425335,2020-03-28,England,
EPI_ISL_416662,2020-03-12,USA,Washington
EPI_ISL_424525,2020-03-21,Iceland,Reykjavik
EPI_ISL_419585,2020-03-14,Luxembourg,
EPI_ISL_416665,2020-03-12,USA,Washington
EPI_ISL_420746,2020-03-25,United Kingdom,England
EPI_ISL_418987,2020-03-01,Belgium,Eupen
EPI_ISL_417621,2020-03-18,Iceland,Reykjavik
EPI_ISL_418182,2020-03-12,Spain,Madrid
EPI_ISL_418824,2020-03-03,Canada,British Columbia
EPI_ISL_426299,2020-03-28,USA,New York
EPI_ISL_423113,2020-03-24,United Kingdom,England
EPI_ISL_420151,2020-03-17,Norway,
EPI_ISL_417158,2020-02-28,USA,Washington
EPI_ISL_417967,2020-03-12,Spain,Madrid
EPI_ISL_424391,2020-03-19,Iceland,Reykjavik
EPI_ISL_424863,2020-03-XX,USA,Georgia
EPI_ISL_418390,2020-03-13,Finland,
EPI_ISL_415704,2020-03-04,Switzerland,
EPI_ISL_425561,2020-03-25,England,
EPI_ISL_417466,2020-03-14,Germany,Duesseldorf
EPI_ISL_420152,2020-03-17,Norway,
EPI_ISL_420611,2020-03-23,France,ARA
EPI_ISL_416754,2020-03-06,France,ARA
EPI_ISL_422492,2020-03-19,USA,New York
EPI_ISL_422995,2020-03-17,USA,Washington
EPI_ISL_421417,2020-03-17,USA,New York
EPI_ISL_422653,2020-03-18,Netherlands,
EPI_ISL_422582,2020-03-30,Netherlands,
EPI_ISL_418341,2020-03-12,Canada,Ontario
EPI_ISL_423488,2020-03-31,United Kingdom,England
EPI_ISL_413931,2020-03-05,USA,California
EPI_ISL_417437,2020-03-17,Democratic Republic of the Congo,Kinshasa
EPI_ISL_414463,2020-03-04,Netherlands,Utrecht
EPI_ISL_416628,2020-02-17,Japan,unknown
EPI_ISL_414520,2020-03-02,Germany,Munich
EPI_ISL_423498,2020-03-31,United Kingdom,England
EPI_ISL_417289,2020-03-06,United Kingdom,England
EPI_ISL_411927,2020-01-28,Taiwan,Taipei
EPI_ISL_423134,2020-03-23,United Kingdom,England
EPI_ISL_417550,2020-03-16,Iceland,Reykjavik
EPI_ISL_417822,2020-03-16,Iceland,Reykjavik
EPI_ISL_418187,2020-03-23,USA,Wisconsin
EPI_ISL_418223,2020-03-05,France,Hauts de France
EPI_ISL_419544,2020-03-15,Germany,Duesseldorf
EPI_ISL_419682,2020-03-10,Spain,Comunitat Valenciana
EPI_ISL_421188,2020-03-30,Belgium,Liège
EPI_ISL_420734,2020-03-27,United Kingdom,England
EPI_ISL_415620,2020-03-09,USA,Washington
EPI_ISL_422623,2020-04-02,Netherlands,
EPI_ISL_420795,2020-03-01,USA,Rhode Island
EPI_ISL_417562,2020-03-17,Iceland,Reykjavik
EPI_ISL_426096,2020-03-25,USA,Washington
EPI_ISL_418216,2020-03-13,Senegal,Dakar
EPI_ISL_406594,2020-01-16,China,Guandong
EPI_ISL_416599,2020-02-16,Japan,unknown
EPI_ISL_423605,2020-03-22,United Kingdom,England
EPI_ISL_420399,2020-03-24,Belgium,Zoutleeuw
EPI_ISL_424209,2020-03-20,USA,Washington
EPI_ISL_415473,2020-03-09,Netherlands,
EPI_ISL_424557,2020-03-27,Iceland,Reykjavik
EPI_ISL_420140,2020-03-28,Georgia,Tbilisi
EPI_ISL_424282,2020-03-23,USA,Washington
EPI_ISL_423708,2020-03-23,United Kingdom,England
EPI_ISL_413697,2020-02-XX,China,
EPI_ISL_417007,2020-03-07,Spain,Galicia
EPI_ISL_422635,2020-03-31,Netherlands,Zuid Holland
EPI_ISL_417411,2020-03-17,Australia,New South Wales
EPI_ISL_425751,2020-03-19,Scotland,
EPI_ISL_414368,2020-03-05,USA,Washington
EPI_ISL_417492,2020-03-13,USA,Minnesota
EPI_ISL_413579,2020-03-03,Netherlands,Nootdorp
EPI_ISL_422115,2020-03-30,United Kingdom,Wales
EPI_ISL_425758,2020-03-11,Scotland,
EPI_ISL_416363,2020-02-08,China,Shanghai
EPI_ISL_419897,2020-03-19,Australia,Victoria
EPI_ISL_417746,2020-03-16,Iceland,Reykjavik
EPI_ISL_424308,2020-03-22,USA,Oregon
EPI_ISL_423787,2020-03-23,United Kingdom,England
EPI_ISL_423771,2020-03-24,United Kingdom,England
EPI_ISL_418702,2020-03-16,United Kingdom,England
EPI_ISL_422587,2020-03-31,Netherlands,
EPI_ISL_425985,2020-03-30,Scotland,
EPI_ISL_420587,2020-03-18,USA,New York
EPI_ISL_421399,2020-03-17,USA,New York
EPI_ISL_424400,2020-03-19,Iceland,Reykjavik
EPI_ISL_420342,2020-03-06,Belgium,Temploux
EPI_ISL_420016,2020-03-24,Australia,Victoria
EPI_ISL_422028,2020-03-27,United Kingdom,Wales
EPI_ISL_424510,2020-03-20,Iceland,Reykjavik
EPI_ISL_418903,2020-03-16,USA,Washington
EPI_ISL_423796,2020-03-23,United Kingdom,England
EPI_ISL_420564,2020-03-19,Italy,Castel di Sangro
EPI_ISL_419878,2020-03-19,Australia,Victoria
EPI_ISL_419766,2020-03-12,Australia,Victoria
EPI_ISL_417588,2020-03-17,Iceland,Reykjavik
EPI_ISL_415530,2020-03-09,Netherlands,Zuid Holland
EPI_ISL_420076,2020-03-20,Senegal,Dakar
EPI_ISL_417347,2020-03-12,USA,Washington
EPI_ISL_423662,2020-02-23,United Kingdom,England
EPI_ISL_417132,2020-03-05,USA,Washington
EPI_ISL_412870,2020-01-30,South Korea,Seoul
EPI_ISL_421809,2020-03-25,United Kingdom,England
EPI_ISL_423628,2020-03-22,United Kingdom,England
EPI_ISL_415523,2020-XX-XX,Netherlands,Noord Brabant
EPI_ISL_420389,2020-03-24,Belgium,Mons
EPI_ISL_426534,2020-03-27,USA,Arizona
EPI_ISL_415622,2020-03-09,USA,Washington
EPI_ISL_417096,2020-02-27,USA,Washington
EPI_ISL_426462,2020-03-29,USA,Virginia
EPI_ISL_421709,2020-03-18,USA,New York
EPI_ISL_421173,2020-03-08,Spain,Madrid
EPI_ISL_414454,2020-03-05,Netherlands,Noord Brabant
EPI_ISL_417732,2020-03-10,Iceland,Reykjavik
EPI_ISL_419301,2020-03-11,Japan,Saitama
EPI_ISL_425171,2020-03-30,USA,Wisconsin
EPI_ISL_420128,2020-03-12,Spain,Comunitat Valenciana
EPI_ISL_418323,2020-03-14,Canada,Ontario
EPI_ISL_424255,2020-03-16,USA,
EPI_ISL_423613,2020-03-23,United Kingdom,England
EPI_ISL_414554,2020-03-08,Netherlands,Utrecht
EPI_ISL_416472,2020-03-02,Belgium,Kessel-Lo
EPI_ISL_421465,2020-03-19,Portugal,
EPI_ISL_419675,2020-03-20,Spain,Comunitat Valenciana
EPI_ISL_425737,2020-03-18,Scotland,
EPI_ISL_417829,2020-03-16,Iceland,Reykjavik
EPI_ISL_419892,2020-03-19,Australia,Victoria
EPI_ISL_422528,2020-03-21,USA,New York
EPI_ISL_420297,2020-03-18,USA,New York
EPI_ISL_423867,2020-03-18,United Kingdom,England
EPI_ISL_424870,2020-03-06,USA,Missouri
EPI_ISL_425779,2020-03-13,Scotland,
EPI_ISL_416676,2020-03-11,USA,
EPI_ISL_420427,2020-03-24,Belgium,Boussu
EPI_ISL_420278,2020-03-21,England,South Yorkshire
EPI_ISL_423806,2020-03-23,United Kingdom,England
EPI_ISL_416602,2020-02-16,Japan,unknown
EPI_ISL_423238,2020-03-24,United Kingdom,England
EPI_ISL_417024,2020-03-15,Belgium,Liège
EPI_ISL_420855,2020-03-23,Australia,Victoria
EPI_ISL_423105,2020-03-23,United Kingdom,England
EPI_ISL_418831,2020-03-11,Canada,British Columbia
EPI_ISL_417030,2020-01-24,Australia,New South Wales
EPI_ISL_423583,2020-03-31,United Kingdom,England
EPI_ISL_416604,2020-02-16,Japan,unknown
EPI_ISL_417993,2020-03-08,Portugal,
EPI_ISL_421258,2020-02-08,China,Jiangxi
EPI_ISL_419412,2020-03-17,United Kingdom,Wales
EPI_ISL_418027,2020-03-17,Portugal,
EPI_ISL_418807,2020-03-19,Australia,Queensland
EPI_ISL_416487,2020-03-04,Spain,Comunitat Valenciana
EPI_ISL_408479,2020-01-23,China,Chongqing
EPI_ISL_420373,2020-03-23,Belgium,Couillet
EPI_ISL_422707,2020-03-22,Netherlands,
EPI_ISL_419904,2020-03-20,Australia,Victoria
EPI_ISL_420370,2020-03-19,Belgium,Namur
EPI_ISL_419587,2020-03-11,Luxembourg,
EPI_ISL_419961,2020-03-22,Australia,Victoria
EPI_ISL_416482,2020-03-13,Georgia,Tbilisi
EPI_ISL_423365,2020-03-29,United Kingdom,England
EPI_ISL_415476,2020-03-10,Netherlands,
EPI_ISL_416352,2020-01-30,China,Shanghai
EPI_ISL_417267,2020-03-05,United Kingdom,England
EPI_ISL_422640,2020-03-20,Netherlands,Gelderland
EPI_ISL_417266,2020-03-05,United Kingdom,England
