dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.151,0.262,1,0.068,0.128,1,0.192,0.322
SEIR015_sl1000_mr0125_nv10_10,1,0.158,0.273,1,0.105,0.19,1,0.316,0.48
SEIR015_sl1000_mr0125_nv10_11,1,0.231,0.375,1,0.077,0.143,1,0.231,0.375
SEIR015_sl1000_mr0125_nv10_12,1,0.071,0.133,1,0.214,0.353,1,0.357,0.526
SEIR015_sl1000_mr0125_nv10_13,1,0.46,0.63,1,0.22,0.361,0.967,0.58,0.725
SEIR015_sl1000_mr0125_nv10_14,1,0.154,0.267,1,0.192,0.323,1,0.25,0.4
SEIR015_sl1000_mr0125_nv10_15,1,0.156,0.269,0.833,0.111,0.196,0.909,0.222,0.357
SEIR015_sl1000_mr0125_nv10_16,1,0.159,0.274,1,0.143,0.25,1,0.302,0.463
SEIR015_sl1000_mr0125_nv10_17,1,0.038,0.074,0,0,0,1,0.038,0.074
SEIR015_sl1000_mr0125_nv10_18,1,0.1,0.182,1,0.1,0.182,1,0.1,0.182
SEIR015_sl1000_mr0125_nv10_19,1,0.161,0.278,1,0.161,0.278,1,0.258,0.41
SEIR015_sl1000_mr0125_nv10_2,1,0.375,0.545,1,0.25,0.4,0.857,0.375,0.522
SEIR015_sl1000_mr0125_nv10_20,1,0.195,0.327,1,0.073,0.136,1,0.195,0.327
SEIR015_sl1000_mr0125_nv10_3,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr0125_nv10_4,1,0.3,0.462,1,0.1,0.182,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_5,1,0.294,0.455,1,0.098,0.179,1,0.392,0.563
SEIR015_sl1000_mr0125_nv10_6,1,0.086,0.158,1,0.057,0.108,1,0.114,0.205
SEIR015_sl1000_mr0125_nv10_7,1,0.162,0.278,1,0.103,0.187,1,0.206,0.341
SEIR015_sl1000_mr0125_nv10_8,1,0.389,0.56,1,0.167,0.286,1,0.389,0.56
SEIR015_sl1000_mr0125_nv10_9,1,0.048,0.091,0,0,0,1,0.048,0.091
SEIR015_sl1000_mr025_nv10_1,1,0.2,0.333,1,0.3,0.462,1,0.4,0.571
SEIR015_sl1000_mr025_nv10_10,1,0.182,0.308,0,0,0,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,1,0.304,0.466,1,0.179,0.303,1,0.304,0.466
SEIR015_sl1000_mr025_nv10_12,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,1,0.1,0.182,1,0.1,0.182
SEIR015_sl1000_mr025_nv10_14,1,0.32,0.485,1,0.16,0.276,1,0.36,0.529
SEIR015_sl1000_mr025_nv10_15,1,0.155,0.269,1,0.034,0.067,0,0,0
SEIR015_sl1000_mr025_nv10_16,1,0.071,0.133,1,0.143,0.25,1,0.214,0.353
SEIR015_sl1000_mr025_nv10_17,1,0.342,0.51,1,0.237,0.383,1,0.395,0.566
SEIR015_sl1000_mr025_nv10_18,1,0.162,0.279,1,0.216,0.356,1,0.297,0.458
SEIR015_sl1000_mr025_nv10_19,1,0.053,0.1,1,0.158,0.273,1,0.158,0.273
SEIR015_sl1000_mr025_nv10_2,1,0.25,0.4,1,0.071,0.133,1,0.268,0.423
SEIR015_sl1000_mr025_nv10_20,1,0.125,0.222,1,0.125,0.222,1,0.125,0.222
