4->90,100
4->92,99
4->13,99
4->89,97
4->28,96
4->6,87
4->16,82
4->25,68
90->4,61
90->92,55
90->13,46
90->28,42
92->13,39
13->92,39
92->4,33
89->90,32
92->90,26
13->90,26
25->16,24
89->4,23
90->89,22
92->28,21
13->4,20
90->25,20
28->92,18
90->16,18
89->92,15
89->6,13
89->13,13
13->28,12
28->90,12
92->89,12
16->25,11
13->89,10
28->4,10
28->13,9
89->16,7
92->6,7
6->89,6
25->4,5
25->90,5
90->6,3
89->25,3
13->6,3
16->4,3
89->28,2
92->16,2
6->4,2
16->90,2
92->25,2
6->90,1
28->25,1
13->25,1
13->16,1
25->92,1
16->28,1
28->16,1
6->13,1
6->92,1
