224->38,100
38->141,100
36->104,100
36->572,100
747->110,100
894->107,100
173->101,99
36->753,98
36->337,98
224->641,97
305->476,97
148->255,97
148->297,97
160->545,97
31->118,96
36->478,96
38->133,95
38->207,95
279->211,94
36->305,92
173->894,92
173->726,92
173->142,88
224->279,87
402->90,84
31->175,80
224->323,79
173->67,77
224->31,74
31->295,74
36->239,74
173->160,73
36->148,70
36->224,68
303->488,56
402->173,55
357->402,53
402->159,49
90->159,42
173->357,40
173->159,34
402->357,27
357->159,21
148->116,20
173->402,17
323->224,14
36->323,14
357->173,12
173->747,11
402->545,11
36->173,11
173->32,9
90->402,8
224->211,8
224->175,8
173->90,7
32->138,7
175->31,7
279->224,7
173->545,5
36->279,5
545->160,4
148->303,4
572->36,4
148->408,4
173->138,4
31->224,4
116->303,4
303->408,3
175->295,3
104->36,3
159->173,3
173->36,3
211->279,2
32->747,2
36->211,2
116->408,2
747->32,2
408->303,2
138->32,2
67->159,1
36->402,1
303->116,1
211->224,1
36->476,1
476->305,1
36->31,1
239->148,1
36->255,1
408->116,1
175->118,1
295->175,1
90->173,1
138->747,1
159->402,1
159->357,1
90->545,1
67->160,1
