22->21,99
28->35,97
28->20,94
28->10,94
21->22,93
2->8,92
28->7,91
28->1,88
28->16,87
2->4,83
35->28,75
2->21,70
28->15,68
8->2,67
20->1,67
22->2,65
7->28,64
12->4,63
35->7,62
7->1,62
21->34,62
9->13,60
34->21,59
35->1,59
28->34,59
2->22,56
28->2,55
21->13,55
10->28,54
35->10,54
35->16,53
28->12,53
28->21,52
1->20,51
7->16,51
35->20,51
28->9,51
10->7,51
4->8,50
1->28,49
9->4,49
7->35,49
20->28,49
10->35,47
4->2,45
8->4,43
10->16,41
21->2,41
20->16,41
10->20,41
7->10,40
1->7,40
21->10,40
9->10,40
34->27,40
34->13,38
16->7,38
1->35,37
1->10,37
7->20,37
35->9,37
10->34,36
10->1,36
16->20,35
10->21,33
28->13,33
10->22,32
16->10,32
13->34,32
10->9,31
20->35,30
20->10,30
13->9,30
9->21,29
7->34,29
13->21,29
34->18,29
21->16,29
16->21,28
28->18,28
13->27,27
34->7,27
20->34,27
28->22,26
35->34,26
20->7,26
10->12,26
9->35,26
2->34,25
34->10,25
34->20,25
16->35,25
9->27,24
10->18,24
7->21,23
35->21,23
34->2,23
9->28,23
16->28,23
2->12,22
2->13,22
27->9,22
7->9,22
7->2,21
27->4,21
1->21,21
34->28,21
27->21,21
35->15,21
9->16,21
21->27,20
12->18,20
22->10,20
10->15,20
27->2,19
12->27,19
18->12,18
2->28,18
35->12,18
21->1,18
1->9,18
21->7,17
34->12,17
27->13,17
10->13,17
9->7,17
16->1,16
1->16,16
20->21,16
9->34,16
35->18,16
35->2,16
1->34,16
10->2,15
34->35,15
12->34,15
21->20,15
21->28,14
1->2,14
34->16,14
34->1,14
9->12,14
2->16,14
9->20,14
35->22,14
9->1,14
20->22,13
21->35,13
16->9,13
27->34,13
35->13,13
2->10,13
18->34,13
9->18,13
18->16,12
34->4,12
16->12,12
20->9,12
20->15,12
7->12,12
27->12,12
7->22,11
34->9,11
7->18,11
4->12,11
20->18,11
9->2,11
1->18,11
18->35,10
28->4,10
16->18,10
16->34,10
21->9,10
2->35,10
2->7,10
7->15,10
28->27,10
12->28,9
2->15,9
20->2,9
12->2,9
1->12,9
16->2,9
13->35,9
18->28,8
2->20,8
21->4,8
1->15,8
12->9,8
13->20,8
15->28,7
13->2,7
22->20,7
34->22,7
4->9,7
2->1,7
4->27,7
13->4,7
7->13,7
1->22,7
2->9,7
22->12,7
13->10,7
22->28,6
22->7,6
12->1,6
18->20,6
4->34,6
12->16,6
21->12,6
2->27,6
16->13,6
18->10,6
20->13,6
4->18,5
20->12,5
22->35,5
16->22,5
18->1,5
18->4,5
16->15,5
18->7,5
18->9,5
12->21,5
9->15,5
13->7,5
21->15,5
22->4,5
18->21,5
13->12,5
1->13,5
22->1,4
27->20,4
15->35,4
27->35,4
4->21,4
15->20,4
12->20,4
12->13,4
12->35,4
1->27,4
27->10,4
34->15,4
22->34,4
22->13,4
12->7,4
12->10,4
15->10,4
13->18,4
13->1,4
20->27,4
20->4,4
22->16,3
22->9,3
27->1,3
27->7,3
7->27,3
10->4,3
13->28,3
9->22,3
13->22,3
15->13,2
18->22,2
18->15,2
15->16,2
12->22,2
27->28,2
15->34,2
35->27,2
4->22,2
27->8,2
13->16,2
27->18,2
27->15,2
22->15,2
18->13,2
21->18,2
10->27,2
15->7,1
15->18,1
4->7,1
15->9,1
22->18,1
16->4,1
27->16,1
2->18,1
18->2,1
13->8,1
12->15,1
27->22,1
22->27,1
15->1,1
