dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR01_sl1000_mr025_nv20_15,0.882,0.652,0.75,0.826,0.826,0.826,0.913,0.913,0.913,0.957,0.957,0.957
SIR01_sl1000_mr075_nv10_4,1,0.553,0.712,0.789,0.789,0.789,0.795,0.816,0.805,0.895,0.895,0.895
SIR003_sl1000_mr05_nv20_5,0.882,0.625,0.732,0.708,0.708,0.708,0.625,0.625,0.625,0.708,0.708,0.708
SIR01_sl1000_mr075_nv10_2,1,0.545,0.706,0.636,0.636,0.636,0.545,0.545,0.545,0.636,0.636,0.636
SEIR015_sl1000_mr05_nv10_18,0.704,0.463,0.559,0.682,0.732,0.706,0.622,0.683,0.651,0.756,0.829,0.791
SIR01_sl1000_mr15_nv5_7,1,0.5,0.667,0.875,0.875,0.875,0.5,0.5,0.5,0.5,0.5,0.5
SIR01_sl1000_mr075_nv10_13,1,0.286,0.444,0.571,0.571,0.571,0.643,0.643,0.643,0.643,0.643,0.643
SEIR015_sl1000_mr0125_nv10_6,0.812,0.371,0.51,0.676,0.714,0.694,0.737,0.8,0.767,0.895,0.971,0.932
SEIR015_sl1000_mr0125_nv10_20,0.929,0.634,0.754,0.833,0.854,0.843,0.778,0.854,0.814,0.841,0.902,0.871
SIR01_sl1000_mr075_nv10_6,1,0.25,0.4,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl1000_mr3_nv10_17,1,0.6,0.75,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,0.556,0.556,0.556,0.778,0.778,0.778,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_10,1,0.512,0.677,0.707,0.707,0.707,0.805,0.805,0.805,0.78,0.78,0.78
SEIR01_sl1000_mr05_nv10_15,0.917,0.688,0.786,0.812,0.812,0.812,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv10_4,0.917,0.635,0.75,0.75,0.75,0.75,0.796,0.827,0.811,0.906,0.923,0.914
SIR01_sl1000_mr3_nv10_18,1,0.667,0.8,0.75,0.75,0.75,0.792,0.792,0.792,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv20_16,0.333,0.286,0.308,0.556,0.714,0.625,0.364,0.571,0.444,0.6,0.857,0.706
SIR01_sl250_mr15_nv10_11,0.571,0.5,0.533,0.48,0.5,0.49,0.5,0.542,0.52,0.538,0.583,0.56
SEIR01_sl250_mr025_nv10_7,0.733,0.786,0.759,0.706,0.857,0.774,0.706,0.857,0.774,0.706,0.857,0.774
SEIR015_sl1000_mr025_nv10_15,0.586,0.293,0.391,0.441,0.517,0.476,0.391,0.466,0.425,0.594,0.707,0.646
SEIR01_sl500_mr025_nv10_8,0.812,0.812,0.812,0.737,0.875,0.8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl1000_mr0125_nv10_16,0.667,0.286,0.4,0.857,0.857,0.857,0.571,0.571,0.571,0.857,0.857,0.857
SEIR015_sl1000_mr0125_nv10_11,0.833,0.385,0.526,0.538,0.538,0.538,0.692,0.692,0.692,0.692,0.692,0.692
SEIR01_sl1000_mr0125_nv10_1,0.846,0.611,0.71,0.789,0.833,0.811,0.684,0.722,0.703,0.684,0.722,0.703
SIR003_sl1000_mr1_nv10_1,0.889,0.471,0.615,0.765,0.765,0.765,0.778,0.824,0.8,0.765,0.765,0.765
SIR003_sl500_mr05_nv10_15,1,0.737,0.848,0.895,0.895,0.895,0.842,0.842,0.842,1,1,1
SEIR01_sl250_mr025_nv10_6,0.619,0.591,0.605,0.643,0.818,0.72,0.548,0.773,0.642,0.607,0.773,0.68
SEIR01_sl250_mr025_nv10_3,0.692,0.667,0.679,0.645,0.741,0.69,0.625,0.741,0.678,0.71,0.815,0.759
SEIR01_sl1000_mr025_nv5_1,0.923,0.585,0.716,0.61,0.61,0.61,0.762,0.78,0.771,0.756,0.756,0.756
SEIR015_sl1000_mr05_nv10_17,0.681,0.464,0.552,0.667,0.754,0.707,0.642,0.754,0.693,0.808,0.913,0.857
SIR003_sl250_mr05_nv10_17,0.694,0.556,0.617,0.638,0.667,0.652,0.633,0.689,0.66,0.646,0.689,0.667
SIR003_sl1000_mr05_nv20_15,0.857,0.632,0.727,0.684,0.684,0.684,0.737,0.737,0.737,0.737,0.737,0.737
SEIR01_sl250_mr025_nv10_13,0.5,0.333,0.4,0.571,0.667,0.615,0.571,0.667,0.615,0.571,0.667,0.615
SEIR015_sl1000_mr05_nv10_13,0.927,0.623,0.745,0.754,0.754,0.754,0.803,0.803,0.803,0.951,0.951,0.951
SEIR015_sl1000_mr025_nv5_6,0.346,0.145,0.205,0.299,0.323,0.31,0.29,0.323,0.305,0.379,0.403,0.391
SIR01_sl1000_mr3_nv10_6,0.871,0.5,0.635,0.667,0.667,0.667,0.648,0.648,0.648,0.636,0.648,0.642
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.6,0.857,0.706,0.6,0.857,0.706,0.6,0.857,0.706
SEIR015_sl1000_mr025_nv10_8,1,0.65,0.788,0.9,0.9,0.9,0.8,0.8,0.8,1,1,1
SEIR015_sl1000_mr05_nv10_10,0.875,0.778,0.824,0.8,0.889,0.842,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr025_nv10_13,0.286,0.2,0.235,0.308,0.4,0.348,0.214,0.3,0.25,0.308,0.4,0.348
SEIR015_sl1000_mr0125_nv10_4,1,0.6,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl250_mr15_nv10_13,0.667,0.308,0.421,0.643,0.692,0.667,0.353,0.462,0.4,0.294,0.385,0.333
SEIR015_sl1000_mr05_nv10_19,0.556,0.469,0.508,0.611,0.688,0.647,0.5,0.625,0.556,0.553,0.656,0.6
SEIR01_sl1000_mr0125_nv10_18,0.921,0.778,0.843,0.844,0.844,0.844,0.787,0.822,0.804,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_9,1,0.917,0.957,1,1,1,1,1,1,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_12,0.78,0.744,0.762,0.75,0.837,0.791,0.74,0.86,0.796,0.792,0.884,0.835
SIR003_sl500_mr05_nv10_17,0.833,0.5,0.625,0.9,0.9,0.9,0.7,0.7,0.7,0.636,0.7,0.667
