dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,1,0.333,0.5,1,0.333,0.5,0.632,0.571,0.6
SEIR015_sl250_mr025_nv10_2,0.3,0.273,0.286,0.357,0.227,0.278,0.304,0.318,0.311
SEIR015_sl1000_mr025_nv10_3,1,0.717,0.835,1,0.609,0.757,0.88,0.957,0.917
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,0.929,0.65,0.765,0.929,0.65,0.765,0.95,0.95,0.95
SIR01_sl500_mr15_nv10_15,0.833,0.5,0.625,0.833,0.5,0.625,0.731,0.633,0.679
SEIR01_sl1000_mr0125_nv10_9,0.968,0.638,0.769,0.968,0.638,0.769,0.917,0.936,0.926
SEIR015_sl1000_mr025_nv20_12,0.733,0.55,0.629,0.733,0.55,0.629,0.722,0.65,0.684
SIR01_sl1000_mr15_nv20_5,0.857,0.6,0.706,0.857,0.6,0.706,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.833,0.357,0.5,0.833,0.357,0.5,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.429,0.6,1,0.429,0.6,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_3,0.562,0.6,0.581,0.583,0.467,0.519,0.611,0.733,0.667
SEIR015_sl500_mr025_nv10_2,0.5,0.25,0.333,0.5,0.25,0.333,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.842,0.471,0.604,0.886,0.456,0.602,0.84,0.926,0.881
SIR003_sl1000_mr1_nv10_20,0.973,0.522,0.679,0.973,0.522,0.679,0.731,0.71,0.721
SIR01_sl1000_mr15_nv5_5,1,0.364,0.533,1,0.364,0.533,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.857,0.545,0.667,0.833,0.455,0.588,0.6,0.545,0.571
SIR003_sl1000_mr05_nv5_17,1,0.417,0.588,1,0.417,0.588,0.646,0.646,0.646
SIR01_sl500_mr15_nv10_7,0.75,0.429,0.545,0.75,0.429,0.545,0.833,0.714,0.769
SIR01_sl1000_mr075_nv10_18,1,0.727,0.842,1,0.727,0.842,0.9,0.818,0.857
SIR01_sl1000_mr3_nv10_14,0.895,0.607,0.723,0.895,0.607,0.723,0.88,0.786,0.83
SIR01_sl500_mr15_nv10_20,0.882,0.6,0.714,0.882,0.6,0.714,0.84,0.84,0.84
SEIR015_sl1000_mr0125_nv10_15,0.8,0.267,0.4,0.8,0.267,0.4,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_7,0.75,0.375,0.5,0.75,0.375,0.5,0.643,0.562,0.6
SEIR015_sl250_mr025_nv10_9,0.526,0.667,0.588,0.5,0.2,0.286,0.8,0.8,0.8
SEIR015_sl250_mr025_nv10_10,0.541,0.559,0.55,0.641,0.424,0.51,0.543,0.644,0.589
SEIR01_sl1000_mr025_nv10_11,0.926,0.714,0.806,0.923,0.686,0.787,0.914,0.914,0.914
SIR01_sl1000_mr075_nv10_17,0.939,0.437,0.596,0.939,0.437,0.596,0.75,0.761,0.755
SEIR01_sl1000_mr025_nv10_13,0.625,0.25,0.357,0.625,0.25,0.357,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,1,0.467,0.636,1,0.467,0.636,0.727,0.533,0.615
SEIR01_sl500_mr025_nv10_10,0.7,0.5,0.583,0.778,0.5,0.609,0.688,0.786,0.733
SIR003_sl1000_mr05_nv5_18,1,0.5,0.667,1,0.5,0.667,0.812,0.812,0.812
SIR01_sl500_mr15_nv10_14,0.826,0.487,0.613,0.826,0.487,0.613,0.629,0.564,0.595
SIR003_sl500_mr05_nv10_6,0.909,0.476,0.625,0.909,0.476,0.625,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_7,1,0.625,0.769,1,0.625,0.769,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.925,0.712,0.804,0.925,0.712,0.804,0.904,0.904,0.904
SIR003_sl250_mr05_nv10_4,0.818,0.75,0.783,0.818,0.75,0.783,0.769,0.833,0.8
SEIR01_sl500_mr025_nv10_3,0.9,0.857,0.878,0.895,0.81,0.85,0.857,0.857,0.857
SIR003_sl1000_mr05_nv5_19,0.833,0.441,0.577,0.933,0.412,0.571,0.543,0.559,0.551
SEIR015_sl1000_mr025_nv20_4,0.778,0.424,0.549,0.778,0.424,0.549,0.882,0.909,0.896
SIR003_sl1000_mr025_nv10_5,0.833,0.714,0.769,0.833,0.714,0.769,0.833,0.714,0.769
SEIR015_sl250_mr025_nv10_5,0.833,0.625,0.714,0.833,0.625,0.714,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_18,0.846,0.44,0.579,0.846,0.44,0.579,0.609,0.56,0.583
SIR01_sl1000_mr3_nv10_5,0.938,0.536,0.682,0.938,0.536,0.682,0.84,0.75,0.792
SEIR015_sl1000_mr0125_nv10_19,0.882,0.484,0.625,0.882,0.484,0.625,0.783,0.581,0.667
SIR003_sl500_mr05_nv10_10,0.938,0.385,0.545,0.933,0.359,0.519,0.667,0.564,0.611
SEIR015_sl1000_mr025_nv20_11,0.8,0.615,0.696,0.8,0.615,0.696,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.5,0.429,0.462,0.5,0.429,0.462,0.524,0.629,0.571
SIR003_sl1000_mr05_nv20_3,1,0.538,0.7,1,0.538,0.7,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_1,0.833,0.333,0.476,0.833,0.333,0.476,0.9,0.6,0.72
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,0.714,0.556,0.625,0.778,0.778,0.778
SIR01_sl1000_mr15_nv5_12,0.778,0.304,0.438,0.778,0.304,0.438,0.524,0.478,0.5
SIR003_sl1000_mr05_nv10_3,1,0.6,0.75,1,0.6,0.75,0.875,0.7,0.778
SEIR01_sl1000_mr025_nv10_17,0.897,0.578,0.703,0.897,0.578,0.703,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.938,0.577,0.714,0.933,0.538,0.683,0.655,0.731,0.691
SEIR015_sl1000_mr025_nv5_14,0.8,0.533,0.64,0.889,0.533,0.667,0.667,0.8,0.727
SIR01_sl1000_mr3_nv10_13,1,0.556,0.714,1,0.556,0.714,0.857,0.667,0.75
SEIR015_sl1000_mr05_nv10_15,0.333,0.091,0.143,0.333,0.091,0.143,0.75,0.818,0.783
SEIR015_sl250_mr025_nv10_4,0.727,0.64,0.681,0.727,0.64,0.681,0.643,0.72,0.679
SEIR015_sl1000_mr025_nv20_6,0.786,0.579,0.667,0.778,0.553,0.646,0.81,0.895,0.85
SEIR015_sl1000_mr05_nv10_14,0.588,0.435,0.5,0.81,0.37,0.507,0.848,0.848,0.848
SEIR01_sl250_mr025_nv10_5,0.667,0.634,0.65,0.667,0.634,0.65,0.633,0.756,0.689
SIR003_sl1000_mr05_nv20_4,1,0.656,0.792,1,0.656,0.792,0.844,0.844,0.844
SEIR01_sl500_mr025_nv10_5,1,0.8,0.889,1,0.6,0.75,1,0.8,0.889
SIR003_sl1000_mr05_nv5_9,0.688,0.458,0.55,0.688,0.458,0.55,0.52,0.542,0.531
SEIR015_sl250_mr025_nv10_16,0.2,0.407,0.268,0.211,0.148,0.174,0.243,0.333,0.281
SEIR015_sl250_mr025_nv10_18,0.2,0.182,0.19,0.2,0.182,0.19,0.333,0.545,0.414
SEIR015_sl1000_mr025_nv5_5,0.833,0.238,0.37,0.833,0.238,0.37,0.75,0.714,0.732
SEIR015_sl1000_mr025_nv20_7,1,0.75,0.857,1,0.75,0.857,0.943,0.917,0.93
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.833,0.909,1,0.833,0.909
SEIR01_sl250_mr025_nv10_17,0.333,0.25,0.286,0.333,0.125,0.182,0.444,0.5,0.471
SIR01_sl1000_mr15_nv5_8,0.75,0.375,0.5,0.75,0.375,0.5,0.375,0.375,0.375
SIR01_sl500_mr15_nv10_5,0.909,0.577,0.706,0.933,0.538,0.683,0.712,0.712,0.712
SEIR01_sl1000_mr025_nv5_20,0.684,0.542,0.605,0.765,0.542,0.634,0.625,0.625,0.625
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,0.25,0.2,0.222
