dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_19,0.278,0.455,0.345,0.333,0.455,0.385
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.667,0.8,0.889,0.842
SEIR015_sl1000_mr025_nv5_20,0.674,0.707,0.69,0.721,0.756,0.738
SEIR015_sl1000_mr025_nv5_3,0.483,0.519,0.5,0.714,0.556,0.625
SEIR015_sl1000_mr025_nv5_4,0.736,0.78,0.757,0.86,0.86,0.86
SEIR015_sl1000_mr025_nv5_5,0.565,0.619,0.591,0.652,0.714,0.682
SEIR015_sl1000_mr025_nv5_6,0.382,0.419,0.4,0.51,0.403,0.45
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846,0.846,0.846,0.846
SEIR015_sl1000_mr025_nv5_8,0.792,0.826,0.809,0.826,0.826,0.826
SEIR015_sl1000_mr025_nv5_9,0.489,0.55,0.518,0.568,0.625,0.595
SEIR015_sl1000_mr05_nv10_1,0.647,0.647,0.647,0.647,0.647,0.647
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353,0.333,0.375,0.353
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.951,0.951,0.951,0.951,0.951,0.951
SEIR015_sl1000_mr05_nv10_14,0.78,0.848,0.812,0.824,0.913,0.866
SEIR015_sl1000_mr05_nv10_15,0.75,0.818,0.783,0.75,0.818,0.783
SEIR015_sl1000_mr05_nv10_16,0.787,0.902,0.841,0.83,0.951,0.886
SEIR015_sl1000_mr05_nv10_17,0.795,0.899,0.844,0.808,0.913,0.857
SEIR015_sl1000_mr05_nv10_18,0.696,0.78,0.736,0.756,0.829,0.791
SEIR015_sl1000_mr05_nv10_19,0.73,0.844,0.783,0.75,0.844,0.794
SEIR015_sl1000_mr05_nv10_2,0.929,0.929,0.929,0.952,0.952,0.952
SEIR015_sl1000_mr05_nv10_20,0.385,0.488,0.43,0.535,0.561,0.548
SEIR015_sl1000_mr05_nv10_3,0.814,0.857,0.835,0.814,0.857,0.835
SEIR015_sl1000_mr05_nv10_4,0.5,0.594,0.543,0.595,0.688,0.638
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.906,0.967,0.935,0.906,0.967,0.935
SEIR015_sl1000_mr05_nv10_7,0.4,0.615,0.485,0.526,0.769,0.625
SEIR015_sl1000_mr05_nv10_8,0.775,0.861,0.816,0.821,0.889,0.853
SEIR015_sl1000_mr05_nv10_9,0.625,0.667,0.645,0.688,0.733,0.71
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651,0.6,0.882,0.714
SEIR015_sl250_mr025_nv10_10,0.476,0.678,0.559,0.531,0.729,0.614
SEIR015_sl250_mr025_nv10_11,0.5,0.647,0.564,0.571,0.706,0.632
SEIR015_sl250_mr025_nv10_12,0.54,0.791,0.642,0.531,0.791,0.636
SEIR015_sl250_mr025_nv10_13,0.611,0.688,0.647,0.706,0.75,0.727
