None	624	0.000000
624	28	0.222099
28	311	2.828607
28	68	2.984593
28	39	4.042522
39	39	4.311679
28	135	4.460178
311	263	4.771013
28	36	5.189042
135	286	5.213034
28	984	5.265518
135	927	5.435073
68	18	5.639378
28	363	5.679442
135	786	5.726743
927	314	5.844341
28	35	5.961597
28	710	6.124867
18	921	6.239938
35	0	6.253476
36	23	6.273703
135	708	6.469513
311	311	6.729848
28	596	6.729971
0	24	6.808784
363	440	6.958445
18	110	7.027913
24	693	7.156844
18	106	7.214968
23	23	7.250433
927	927	7.368444
0	488	7.460998
36	371	7.570312
24	682	7.762393
0	16	7.811984
110	166	7.960179
363	780	8.081547
0	13	8.201316
35	559	8.204334
921	103	8.489243
106	679	8.536447
28	219	8.566437
780	342	8.567448
106	638	8.574886
559	559	8.651503
36	36	8.804862
624	81	8.851833
103	76	8.896873
682	226	9.012251
342	342	9.049579
13	145	9.096685
682	21	9.118738
786	786	9.197472
18	18	9.206907
708	630	9.229975
24	122	9.233304
21	248	9.252370
16	739	9.396621
24	6	9.464666
679	679	9.471825
624	624	9.627511
24	419	9.674360
0	55	9.714030
13	37	9.736354
145	776	9.737759
145	591	9.787633
263	382	9.809786
21	354	9.813485
21	19	9.828578
16	4	9.895813
6	562	9.904645
21	50	9.911930
354	582	9.946381
76	10	9.950566
710	389	9.963810
