dataset,single,10,20,30,40,50,60,70,80,90,100
SEIR015_sl1000_mr0125_nv10_1,0.76,0.716,0.71,0.749,0.841,0.855,0.848,0.718,0.661,0.624,0.624
SEIR015_sl1000_mr0125_nv10_10,0.821,0.75,0.739,0.762,0.842,0.865,0.857,0.857,0.824,0.824,0.824
SEIR015_sl1000_mr0125_nv10_11,0.692,0.529,0.529,0.581,0.75,0.75,0.75,0.636,0.5,0.5,0.5
SEIR015_sl1000_mr0125_nv10_12,0.786,0.632,0.632,0.629,0.69,0.769,0.667,0.636,0.5,0.5,0.5
SEIR015_sl1000_mr0125_nv10_13,0.84,0.772,0.764,0.797,0.875,0.891,0.879,0.786,0.771,0.771,0.771
SEIR015_sl1000_mr0125_nv10_14,0.792,0.744,0.744,0.726,0.833,0.849,0.865,0.837,0.783,0.783,0.769
SEIR015_sl1000_mr0125_nv10_15,0.644,0.646,0.639,0.71,0.809,0.843,0.785,0.629,0.476,0.476,0.476
SEIR015_sl1000_mr0125_nv10_16,0.752,0.707,0.707,0.721,0.754,0.767,0.769,0.733,0.729,0.729,0.729
SEIR015_sl1000_mr0125_nv10_17,0.69,0.657,0.657,0.667,0.678,0.691,0.691,0.654,0.654,0.654,0.654
SEIR015_sl1000_mr0125_nv10_18,0.667,0.667,0.667,0.667,0.727,0.7,0.737,0.588,0.588,0.588,0.588
SEIR015_sl1000_mr0125_nv10_19,0.581,0.512,0.519,0.514,0.576,0.593,0.627,0.627,0.627,0.627,0.627
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75,0.737,0.828,0.786,0.786,0.786,0.786,0.786,0.786
SEIR015_sl1000_mr0125_nv10_20,0.857,0.757,0.757,0.776,0.824,0.864,0.835,0.767,0.761,0.761,0.761
SEIR015_sl1000_mr0125_nv10_3,0.6,0.667,0.667,0.667,0.7,0.7,0.7,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_4,0.7,0.75,0.75,0.696,0.8,0.8,0.8,0.706,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_5,0.588,0.57,0.552,0.504,0.578,0.578,0.6,0.526,0.466,0.466,0.466
SEIR015_sl1000_mr0125_nv10_6,0.757,0.673,0.673,0.667,0.735,0.781,0.762,0.607,0.607,0.607,0.607
SEIR015_sl1000_mr0125_nv10_7,0.671,0.677,0.667,0.697,0.818,0.821,0.812,0.69,0.643,0.631,0.631
SEIR015_sl1000_mr0125_nv10_8,0.579,0.604,0.6,0.565,0.703,0.629,0.667,0.581,0.571,0.593,0.593
SEIR015_sl1000_mr0125_nv10_9,0.391,0.438,0.438,0.433,0.455,0.488,0.5,0.412,0.375,0.375,0.375
SEIR015_sl1000_mr025_nv10_1,0.9,0.857,0.857,0.857,0.857,0.8,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr025_nv10_10,0.727,0.667,0.667,0.643,0.8,0.8,0.8,0.588,0.5,0.5,0.5
SEIR015_sl1000_mr025_nv10_11,0.73,0.68,0.685,0.704,0.821,0.822,0.843,0.703,0.644,0.644,0.644
SEIR015_sl1000_mr025_nv10_12,0.696,0.625,0.69,0.69,0.87,0.952,0.842,0.706,0.706,0.706,0.706
SEIR015_sl1000_mr025_nv10_13,0.25,0.333,0.333,0.357,0.32,0.333,0.348,0.3,0.222,0.222,0.222
SEIR015_sl1000_mr025_nv10_14,0.815,0.639,0.657,0.667,0.717,0.745,0.735,0.683,0.683,0.683,0.683
SEIR015_sl1000_mr025_nv10_15,0.488,0.474,0.482,0.491,0.576,0.571,0.574,0.49,0.452,0.457,0.462
SEIR015_sl1000_mr025_nv10_16,0.733,0.703,0.703,0.706,0.759,0.741,0.769,0.769,0.769,0.769,0.769
SEIR015_sl1000_mr025_nv10_17,0.597,0.667,0.653,0.646,0.747,0.732,0.743,0.623,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv10_18,0.55,0.621,0.6,0.63,0.691,0.693,0.743,0.677,0.613,0.613,0.613
SEIR015_sl1000_mr025_nv10_19,0.75,0.679,0.679,0.694,0.789,0.833,0.8,0.71,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv10_2,0.707,0.675,0.675,0.648,0.772,0.804,0.781,0.71,0.588,0.588,0.595
SEIR015_sl1000_mr025_nv10_20,0.556,0.538,0.538,0.522,0.588,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv10_3,0.894,0.779,0.771,0.792,0.866,0.891,0.921,0.857,0.815,0.815,0.815
SEIR015_sl1000_mr025_nv10_4,0.622,0.661,0.655,0.697,0.778,0.81,0.8,0.685,0.648,0.629,0.629
SEIR015_sl1000_mr025_nv10_5,0.825,0.72,0.72,0.763,0.816,0.857,0.818,0.75,0.744,0.711,0.693
SEIR015_sl1000_mr025_nv10_6,0.761,0.763,0.763,0.783,0.86,0.857,0.857,0.737,0.73,0.73,0.73
SEIR015_sl1000_mr025_nv10_7,0.889,0.8,0.8,0.8,0.889,0.889,0.889,0.824,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_8,0.8,0.776,0.809,0.8,0.85,0.895,0.865,0.824,0.824,0.824,0.824
SEIR015_sl1000_mr025_nv10_9,0.842,0.761,0.748,0.788,0.895,0.901,0.889,0.788,0.71,0.71,0.71
SEIR015_sl1000_mr025_nv20_1,0.667,0.683,0.683,0.667,0.774,0.774,0.828,0.692,0.64,0.64,0.64
SEIR015_sl1000_mr025_nv20_10,0.476,0.538,0.538,0.56,0.455,0.381,0.381,0.353,0.353,0.353,0.375
SEIR015_sl1000_mr025_nv20_11,0.889,0.727,0.727,0.645,0.741,0.8,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv20_12,0.591,0.5,0.5,0.51,0.578,0.591,0.619,0.585,0.564,0.564,0.564
SEIR015_sl1000_mr025_nv20_13,0.727,0.667,0.667,0.667,0.696,0.696,0.727,0.762,0.762,0.762,0.762
SEIR015_sl1000_mr025_nv20_14,0.636,0.69,0.69,0.727,0.829,0.8,0.8,0.667,0.588,0.588,0.588
SEIR015_sl1000_mr025_nv20_15,0.552,0.541,0.556,0.559,0.691,0.679,0.692,0.583,0.596,0.609,0.609
SEIR015_sl1000_mr025_nv20_16,0.787,0.789,0.789,0.812,0.833,0.847,0.847,0.815,0.792,0.792,0.792
SEIR015_sl1000_mr025_nv20_17,0.8,0.738,0.738,0.761,0.87,0.885,0.883,0.708,0.622,0.622,0.622
SEIR015_sl1000_mr025_nv20_18,0.614,0.585,0.585,0.614,0.713,0.721,0.706,0.597,0.548,0.548,0.548
SEIR015_sl1000_mr025_nv20_19,0.56,0.452,0.452,0.483,0.462,0.48,0.5,0.4,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv20_2,0.808,0.71,0.71,0.733,0.846,0.846,0.846,0.844,0.762,0.762,0.762
SEIR015_sl1000_mr025_nv20_20,0.632,0.609,0.609,0.591,0.632,0.611,0.611,0.588,0.625,0.625,0.625
SEIR015_sl1000_mr025_nv20_3,0.607,0.557,0.575,0.589,0.643,0.672,0.677,0.64,0.634,0.634,0.634
SEIR015_sl1000_mr025_nv20_4,0.687,0.659,0.619,0.59,0.677,0.678,0.69,0.655,0.655,0.655,0.655
SEIR015_sl1000_mr025_nv20_5,0.744,0.755,0.755,0.753,0.868,0.892,0.877,0.719,0.677,0.677,0.677
SEIR015_sl1000_mr025_nv20_6,0.723,0.727,0.727,0.722,0.825,0.81,0.821,0.732,0.725,0.725,0.725
SEIR015_sl1000_mr025_nv20_7,0.861,0.867,0.867,0.9,0.914,0.941,0.925,0.892,0.892,0.892,0.892
SEIR015_sl1000_mr025_nv20_8,0.609,0.539,0.543,0.588,0.662,0.667,0.687,0.656,0.661,0.667,0.667
SEIR015_sl1000_mr025_nv20_9,0.541,0.549,0.549,0.596,0.625,0.645,0.645,0.552,0.552,0.552,0.552
SEIR015_sl1000_mr025_nv5_1,0.552,0.488,0.488,0.526,0.6,0.621,0.571,0.2,0.118,0.118,0.118
SEIR015_sl1000_mr025_nv5_10,0.613,0.542,0.559,0.523,0.59,0.595,0.611,0.563,0.517,0.517,0.517
SEIR015_sl1000_mr025_nv5_11,0.727,0.538,0.531,0.567,0.694,0.667,0.736,0.575,0.478,0.478,0.478
SEIR015_sl1000_mr025_nv5_12,0.273,0.323,0.333,0.308,0.381,0.4,0.316,0.375,0.375,0.375,0.375
SEIR015_sl1000_mr025_nv5_13,0.794,0.667,0.667,0.709,0.812,0.881,0.842,0.681,0.652,0.652,0.652
SEIR015_sl1000_mr025_nv5_14,0.647,0.6,0.6,0.649,0.629,0.625,0.621,0.643,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv5_15,0.657,0.591,0.6,0.638,0.716,0.762,0.77,0.655,0.604,0.569,0.554
SEIR015_sl1000_mr025_nv5_16,0.808,0.765,0.765,0.769,0.926,0.96,0.939,0.762,0.632,0.632,0.632
SEIR015_sl1000_mr025_nv5_17,0.667,0.727,0.727,0.777,0.829,0.861,0.831,0.727,0.677,0.656,0.656
SEIR015_sl1000_mr025_nv5_18,0.6,0.564,0.611,0.631,0.618,0.667,0.688,0.614,0.598,0.598,0.598
SEIR015_sl1000_mr025_nv5_19,0.385,0.303,0.323,0.333,0.37,0.4,0.435,0.435,0.455,0.455,0.455
SEIR015_sl1000_mr025_nv5_2,0.556,0.593,0.5,0.545,0.706,0.75,0.75,0.571,0.571,0.571,0.571
SEIR015_sl1000_mr025_nv5_20,0.571,0.538,0.53,0.571,0.642,0.675,0.667,0.585,0.441,0.441,0.441
SEIR015_sl1000_mr025_nv5_3,0.545,0.462,0.5,0.492,0.545,0.549,0.596,0.533,0.5,0.465,0.465
SEIR015_sl1000_mr025_nv5_4,0.588,0.583,0.607,0.623,0.727,0.753,0.756,0.659,0.553,0.533,0.533
SEIR015_sl1000_mr025_nv5_5,0.558,0.533,0.533,0.561,0.667,0.714,0.683,0.545,0.357,0.357,0.357
SEIR015_sl1000_mr025_nv5_6,0.406,0.349,0.365,0.355,0.446,0.467,0.45,0.351,0.286,0.286,0.286
SEIR015_sl1000_mr025_nv5_7,0.769,0.629,0.629,0.667,0.731,0.75,0.667,0.6,0.526,0.526,0.526
SEIR015_sl1000_mr025_nv5_8,0.638,0.646,0.635,0.727,0.818,0.762,0.762,0.684,0.588,0.588,0.588
SEIR015_sl1000_mr025_nv5_9,0.488,0.491,0.471,0.48,0.529,0.568,0.538,0.563,0.5,0.5,0.5
SEIR015_sl1000_mr05_nv10_1,0.588,0.5,0.444,0.5,0.606,0.6,0.571,0.519,0.462,0.462,0.462
SEIR015_sl1000_mr05_nv10_10,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.381,0.381,0.4,0.353,0.353,0.353,0.375,0.4,0.4,0.4
SEIR015_sl1000_mr05_nv10_12,0.737,0.696,0.696,0.762,0.842,0.842,0.842,0.706,0.706,0.706,0.625
SEIR015_sl1000_mr05_nv10_13,0.836,0.795,0.792,0.797,0.889,0.897,0.887,0.847,0.781,0.781,0.781
SEIR015_sl1000_mr05_nv10_14,0.694,0.623,0.621,0.629,0.705,0.682,0.683,0.633,0.587,0.595,0.595
SEIR015_sl1000_mr05_nv10_15,0.435,0.625,0.625,0.625,0.667,0.571,0.526,0.353,0.353,0.353,0.353
SEIR015_sl1000_mr05_nv10_16,0.764,0.734,0.734,0.75,0.791,0.815,0.825,0.757,0.767,0.767,0.767
SEIR015_sl1000_mr05_nv10_17,0.658,0.66,0.652,0.686,0.726,0.748,0.756,0.703,0.661,0.661,0.661
SEIR015_sl1000_mr05_nv10_18,0.651,0.692,0.692,0.72,0.783,0.773,0.81,0.685,0.588,0.588,0.588
