225->769,100
225->32,100
828->380,100
120->581,100
109->164,100
109->174,100
56->221,100
56->60,100
150->939,100
353->970,99
546->59,99
59->500,99
56->179,99
977->339,97
56->647,97
63->615,95
546->243,95
150->52,95
386->835,94
775->64,94
54->828,93
380->120,93
117->977,93
63->481,92
54->998,92
117->63,91
159->85,91
116->250,90
150->511,88
264->546,86
117->58,86
20->689,85
150->159,84
929->15,79
56->646,78
150->550,74
54->780,70
968->284,70
264->116,69
720->617,69
109->838,69
109->56,65
54->720,64
54->968,62
54->318,58
264->54,57
318->225,55
828->54,54
775->303,52
353->76,52
109->386,51
109->150,51
353->901,49
64->303,49
56->929,44
54->67,43
353->20,41
264->117,41
929->206,40
318->67,40
264->109,37
56->206,34
264->353,31
54->284,30
353->775,29
284->54,28
511->150,28
284->968,27
54->617,27
56->386,27
20->901,26
617->720,25
780->54,24
264->775,23
206->929,22
20->76,22
511->550,22
56->109,21
386->56,20
54->225,20
977->58,17
15->206,16
264->780,16
775->353,14
54->116,12
109->646,12
386->109,12
58->977,11
264->838,11
968->54,11
76->20,11
646->386,10
15->929,10
901->20,9
225->318,9
353->117,9
150->85,9
828->120,9
117->481,8
838->109,7
109->511,7
206->15,7
225->67,7
386->929,7
264->150,7
56->15,7
481->63,7
117->775,6
264->250,6
67->225,6
264->386,6
689->901,6
511->52,6
386->150,6
109->264,5
109->929,5
109->159,5
353->546,5
117->615,5
780->720,5
386->206,5
56->150,5
117->353,5
386->646,5
689->20,5
511->159,5
116->54,5
780->968,5
303->64,4
109->206,4
481->117,4
76->689,4
109->54,4
64->775,4
117->116,4
56->838,4
998->54,4
67->318,4
264->243,4
386->838,4
54->109,4
54->546,4
775->901,3
386->54,3
689->76,3
500->59,3
901->76,3
116->264,3
117->54,3
76->901,3
85->159,3
353->780,3
20->353,3
977->117,3
150->109,3
780->117,3
54->117,3
117->339,3
60->647,3
646->56,3
617->54,3
159->150,3
56->835,2
109->835,2
380->54,2
968->780,2
511->838,2
20->970,2
546->353,2
546->117,2
780->116,2
116->109,2
550->159,2
353->54,2
264->56,2
353->689,2
109->775,2
109->117,2
52->150,2
929->646,2
318->54,2
386->511,2
720->318,2
318->720,2
20->150,2
901->689,2
54->250,2
150->56,2
159->550,2
54->264,2
828->998,2
109->550,2
353->64,2
54->353,2
998->67,2
264->968,1
150->386,1
775->150,1
116->968,1
221->386,1
159->511,1
835->54,1
780->225,1
780->998,1
780->67,1
264->720,1
838->775,1
546->500,1
901->353,1
775->117,1
117->64,1
64->76,1
64->20,1
64->901,1
32->769,1
386->15,1
838->150,1
56->117,1
56->264,1
720->54,1
116->546,1
109->116,1
109->780,1
109->353,1
109->76,1
109->901,1
109->689,1
109->20,1
264->511,1
20->775,1
116->720,1
838->117,1
838->353,1
838->264,1
838->386,1
116->318,1
780->318,1
353->116,1
353->150,1
250->116,1
386->264,1
150->117,1
647->56,1
646->838,1
646->150,1
646->109,1
386->179,1
54->56,1
54->386,1
780->76,1
284->353,1
264->67,1
353->264,1
838->116,1
775->20,1
20->54,1
617->968,1
720->67,1
150->264,1
159->386,1
116->828,1
116->386,1
318->968,1
353->318,1
615->63,1
54->775,1
550->150,1
550->511,1
968->617,1
264->63,1
109->15,1
120->380,1
780->264,1
116->780,1
998->225,1
