host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,31,complex,99,100,99/100,99
1,41,complex,65,100,65/100,81
1,41,none,15,100,15/100,81
29,31,complex,44,100,44/100,62
29,31,none,12,100,12/100,62
29,31,trans,1,100,1/100,62
29,41,complex,45,100,45/100,68
29,41,none,9,100,9/100,68
29,44,complex,47,100,47/100,56
29,45,complex,96,100,96/100,97
29,45,none,1,100,1/100,97
31,29,trans,5,100,5/100,62
31,41,complex,98,100,98/100,100
31,41,none,2,100,2/100,100
41,1,trans,1,100,1/100,81
41,29,trans,14,100,14/100,68
41,44,complex,49,100,49/100,51
41,44,none,2,100,2/100,51
41,45,complex,62,100,62/100,66
41,45,none,4,100,4/100,66
42,44,complex,72,100,72/100,95
42,44,none,8,100,8/100,95
42,44,trans,2,100,2/100,95
42,45,complex,92,100,92/100,98
42,45,none,1,100,1/100,98
44,29,trans,9,100,9/100,56
44,42,trans,13,100,13/100,95
44,45,complex,84,100,84/100,84
45,42,trans,5,100,5/100,98
