strain	date	division	division_exposure
EPI_ISL_426569	2020-04-02	Arizona	Arizona
EPI_ISL_491299	2020-06-27	Arizona	Arizona
EPI_ISL_406223	2020-01-22	Arizona	Hubei
EPI_ISL_420784	2020-03-02	Arizona	Arizona
EPI_ISL_424848	2020-03-09	Arizona	Arizona
EPI_ISL_424849	2020-03-09	Arizona	Arizona
EPI_ISL_483178	2020-04-02	California	California
EPI_ISL_483207	2020-05-04	California	California
EPI_ISL_483217	2020-05-07	California	California
EPI_ISL_483218	2020-05-11	California	California
EPI_ISL_483285	2020-04-29	California	California
EPI_ISL_483300	2020-03-30	California	California
EPI_ISL_483308	2020-03-26	California	California
EPI_ISL_483310	2020-03-28	California	California
EPI_ISL_483311	2020-03-28	California	California
EPI_ISL_483318	2020-03-30	California	California
EPI_ISL_483320	2020-03-28	California	California
EPI_ISL_483321	2020-03-27	California	California
EPI_ISL_483334	2020-05-01	California	California
EPI_ISL_483358	2020-04-07	California	California
EPI_ISL_483398	2020-05-14	Louisiana	Louisiana
EPI_ISL_483399	2020-05-14	Louisiana	Louisiana
EPI_ISL_483419	2020-05-01	California	California
EPI_ISL_483464	2020-04-23	California	California
EPI_ISL_483476	2020-06-21	California	California
EPI_ISL_483477	2020-06-21	California	California
EPI_ISL_483482	2020-06-21	California	California
EPI_ISL_483485	2020-06-21	California	California
EPI_ISL_483486	2020-06-23	California	California
EPI_ISL_483492	2020-06-20	California	California
EPI_ISL_483494	2020-06-20	California	California
EPI_ISL_483495	2020-06-22	California	California
EPI_ISL_483498	2020-06-15	California	California
EPI_ISL_483502	2020-06-23	California	California
EPI_ISL_483504	2020-06-22	California	California
EPI_ISL_483508	2020-06-23	California	California
EPI_ISL_483509	2020-06-22	California	California
EPI_ISL_483514	2020-06-02	California	California
EPI_ISL_483517	2020-06-15	California	California
EPI_ISL_483521	2020-06-19	California	California
EPI_ISL_483522	2020-06-18	California	California
EPI_ISL_483523	2020-06-18	California	California
EPI_ISL_483525	2020-06-17	California	California
EPI_ISL_483530	2020-06-14	California	California
EPI_ISL_483531	2020-06-25	California	California
EPI_ISL_475582	2020-04-02	California	California
EPI_ISL_475613	2020-03-26	California	California
EPI_ISL_436656	2020-04-09	California	California
EPI_ISL_436667	2020-04-11	California	California
EPI_ISL_444070	2020-04-30	California	California
EPI_ISL_445177	2020-03-31	California	California
EPI_ISL_447892	2020-04-04	California	California
EPI_ISL_450454	2020-03-24	California	California
EPI_ISL_454672	2020-05-12	California	California
EPI_ISL_454687	2020-05-12	California	California
EPI_ISL_454638	2020-03-31	California	California
EPI_ISL_468349	2020-05-05	California	California
EPI_ISL_468354	2020-05-20	California	California
EPI_ISL_468356	2020-05-21	California	California
EPI_ISL_468383	2020-04-20	California	California
EPI_ISL_468394	2020-03-20	California	California
EPI_ISL_468401	2020-03-24	California	California
EPI_ISL_468431	2020-05-01	California	California
EPI_ISL_468432	2020-05-01	California	California
EPI_ISL_468436	2020-05-06	California	California
EPI_ISL_468440	2020-03-24	California	California
EPI_ISL_468464	2020-05-12	California	California
EPI_ISL_468471	2020-05-06	California	California
EPI_ISL_468502	2020-04-05	California	California
EPI_ISL_468509	2020-03-18	California	California
EPI_ISL_468522	2020-03-26	California	California
EPI_ISL_468539	2020-04-08	California	California
EPI_ISL_468552	2020-05-07	California	California
EPI_ISL_468631	2020-04-02	California	California
EPI_ISL_486209	2020-04-22	California	California
EPI_ISL_486224	2020-05-05	California	California
EPI_ISL_486226	2020-05-05	California	California
EPI_ISL_486238	2020-05-06	California	California
EPI_ISL_486239	2020-05-06	California	California
EPI_ISL_486241	2020-05-06	California	California
EPI_ISL_486249	2020-05-06	California	California
EPI_ISL_486250	2020-05-06	California	California
EPI_ISL_486251	2020-05-07	California	California
EPI_ISL_486265	2020-04-30	California	California
EPI_ISL_486270	2020-05-01	California	California
EPI_ISL_486286	2020-05-15	California	California
EPI_ISL_486323	2020-05-04	California	California
EPI_ISL_486326	2020-05-04	California	California
EPI_ISL_486345	2020-05-13	California	California
EPI_ISL_486356	2020-05-22	California	California
EPI_ISL_417935	2020-03-18	California	California
EPI_ISL_429012	2020-03-25	California	California
EPI_ISL_429045	2020-03-25	California	California
EPI_ISL_428994	2020-03-23	California	California
EPI_ISL_429033	2020-03-28	California	California
EPI_ISL_467946	2020-05-15	California	California
EPI_ISL_444455	2020-03-13	California	California
EPI_ISL_435583	2020-02-29	California	California
EPI_ISL_435586	2020-03-01	California	California
EPI_ISL_445118	2020-05-04	California	California
EPI_ISL_437554	2020-03-19	California	California
EPI_ISL_458252	2020-04-05	California	California
EPI_ISL_467972	2020-04-18	California	California
EPI_ISL_491300	2020-06-26	California	California
EPI_ISL_491301	2020-06-27	California	California
EPI_ISL_408009	2020-01-29	California	California
EPI_ISL_411954	2020-02-06	California	Hubei
EPI_ISL_419554	2020-02-26	California	California
EPI_ISL_491481	2020-04-03	South Carolina	South Carolina
EPI_ISL_454642	2020-04-07	Connecticut	Connecticut
EPI_ISL_430401	2020-04-10	Connecticut	Connecticut
EPI_ISL_477673	2020-03-28	Connecticut	Connecticut
EPI_ISL_477675	2020-03-29	Connecticut	Connecticut
EPI_ISL_485920	2020-03-29	Connecticut	Connecticut
EPI_ISL_485923	2020-03-30	Connecticut	Connecticut
EPI_ISL_485926	2020-03-27	Connecticut	Connecticut
EPI_ISL_490979	2020-03-27	Connecticut	Connecticut
EPI_ISL_485936	2020-03-27	Connecticut	Connecticut
EPI_ISL_485938	2020-03-27	Connecticut	Connecticut
EPI_ISL_490980	2020-03-27	Connecticut	Connecticut
EPI_ISL_490983	2020-03-26	Connecticut	Connecticut
EPI_ISL_490987	2020-03-26	Connecticut	Connecticut
EPI_ISL_427163	2020-03-31	Connecticut	Connecticut
EPI_ISL_427165	2020-03-30	Connecticut	Connecticut
EPI_ISL_426052	2020-03-30	Connecticut	Connecticut
EPI_ISL_426055	2020-03-30	Connecticut	Connecticut
EPI_ISL_429646	2020-04-06	Connecticut	Connecticut
EPI_ISL_484885	2020-06-08	Connecticut	Connecticut
EPI_ISL_461435	2020-04-05	Connecticut	Connecticut
EPI_ISL_430908	2020-04-07	Connecticut	Connecticut
EPI_ISL_430917	2020-04-04	Connecticut	Connecticut
EPI_ISL_430919	2020-04-05	Connecticut	Connecticut
EPI_ISL_430921	2020-04-06	Connecticut	Connecticut
EPI_ISL_430923	2020-04-05	Connecticut	Connecticut
EPI_ISL_430926	2020-04-04	Connecticut	Connecticut
EPI_ISL_430960	2020-04-01	Connecticut	Connecticut
EPI_ISL_430961	2020-04-01	Connecticut	Connecticut
EPI_ISL_430965	2020-04-01	Connecticut	Connecticut
EPI_ISL_476912	2020-03-13	Connecticut	Connecticut
