strain	date	division	division_exposure
EPI_ISL_451253	2020-05-06	Louisiana	Louisiana
EPI_ISL_451254	2020-05-07	Louisiana	Louisiana
EPI_ISL_451255	2020-05-06	Louisiana	Louisiana
EPI_ISL_451257	2020-05-06	Louisiana	Louisiana
EPI_ISL_451259	2020-05-08	Louisiana	Louisiana
EPI_ISL_451265	2020-05-06	Louisiana	Louisiana
EPI_ISL_451268	2020-05-07	Louisiana	Louisiana
EPI_ISL_451270	2020-05-06	Louisiana	Louisiana
EPI_ISL_451271	2020-05-06	Louisiana	Louisiana
EPI_ISL_451272	2020-05-06	Louisiana	Louisiana
EPI_ISL_451278	2020-05-06	Louisiana	Louisiana
EPI_ISL_451279	2020-05-06	Louisiana	Louisiana
EPI_ISL_451287	2020-05-07	Louisiana	Louisiana
EPI_ISL_455981	2020-03-28	Louisiana	Louisiana
EPI_ISL_455982	2020-03-28	Louisiana	Louisiana
EPI_ISL_455983	2020-03-28	Louisiana	Louisiana
EPI_ISL_455984	2020-03-30	Louisiana	Louisiana
EPI_ISL_455988	2020-03-25	Louisiana	Louisiana
EPI_ISL_455990	2020-03-25	Louisiana	Louisiana
EPI_ISL_455991	2020-03-26	Louisiana	Louisiana
EPI_ISL_455993	2020-03-28	Louisiana	Louisiana
EPI_ISL_456002	2020-04-01	Louisiana	Louisiana
EPI_ISL_485009	2020-04-11	Louisiana	Louisiana
EPI_ISL_485105	2020-04-22	Louisiana	Louisiana
EPI_ISL_485142	2020-04-17	Louisiana	Louisiana
EPI_ISL_485895	2020-04-21	Louisiana	Louisiana
EPI_ISL_485281	2020-04-11	Louisiana	Louisiana
EPI_ISL_485289	2020-04-10	Louisiana	Louisiana
EPI_ISL_485290	2020-04-10	Louisiana	Louisiana
EPI_ISL_485300	2020-04-10	Louisiana	Louisiana
EPI_ISL_485322	2020-04-10	Louisiana	Louisiana
EPI_ISL_485340	2020-04-09	Louisiana	Louisiana
EPI_ISL_485375	2020-04-06	Louisiana	Louisiana
EPI_ISL_485380	2020-04-04	Louisiana	Louisiana
EPI_ISL_435445	2020-03-31	Louisiana	Louisiana
EPI_ISL_435448	2020-03-27	Louisiana	Louisiana
EPI_ISL_435449	2020-03-27	Louisiana	Louisiana
EPI_ISL_435450	2020-03-28	Louisiana	Louisiana
EPI_ISL_435453	2020-03-30	Louisiana	Louisiana
EPI_ISL_435465	2020-03-31	Louisiana	Louisiana
EPI_ISL_435467	2020-03-31	Louisiana	Louisiana
EPI_ISL_437547	2020-03-31	Louisiana	Louisiana
EPI_ISL_437546	2020-03-27	Louisiana	Louisiana
EPI_ISL_445124	2020-04-02	Louisiana	Louisiana
EPI_ISL_445126	2020-03-31	Louisiana	Louisiana
EPI_ISL_445130	2020-03-31	Louisiana	Louisiana
EPI_ISL_445131	2020-03-31	Louisiana	Louisiana
EPI_ISL_445134	2020-03-31	Louisiana	Louisiana
EPI_ISL_445136	2020-03-31	Louisiana	Louisiana
EPI_ISL_445137	2020-04-01	Louisiana	Louisiana
EPI_ISL_445138	2020-03-31	Louisiana	Louisiana
EPI_ISL_445141	2020-03-31	Louisiana	Louisiana
EPI_ISL_445145	2020-04-01	Louisiana	Louisiana
EPI_ISL_445147	2020-04-07	Louisiana	Louisiana
EPI_ISL_450231	2020-03-31	Louisiana	Louisiana
EPI_ISL_450175	2020-04-04	Louisiana	Louisiana
EPI_ISL_490998	2020-03-18	Louisiana	Louisiana
EPI_ISL_460311	2020-03-09	Massachusetts	Massachusetts
EPI_ISL_460319	2020-03-25	Massachusetts	Massachusetts
EPI_ISL_460102	2020-03-25	Massachusetts	Massachusetts
EPI_ISL_460206	2020-03-25	Massachusetts	Massachusetts
EPI_ISL_460348	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460170	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460331	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460238	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460107	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460183	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460457	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460124	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460221	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460372	2020-03-26	Massachusetts	Massachusetts
EPI_ISL_460242	2020-03-27	Massachusetts	Massachusetts
EPI_ISL_460365	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460100	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460133	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460265	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460430	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460418	2020-04-05	Massachusetts	Massachusetts
EPI_ISL_460395	2020-03-07	Massachusetts	Massachusetts
EPI_ISL_460198	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460352	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460383	2020-04-04	Massachusetts	Massachusetts
EPI_ISL_460177	2020-04-04	Massachusetts	Massachusetts
EPI_ISL_460230	2020-04-04	Massachusetts	Massachusetts
EPI_ISL_460392	2020-04-04	Massachusetts	Massachusetts
EPI_ISL_460400	2020-03-27	Massachusetts	Massachusetts
EPI_ISL_460350	2020-03-27	Massachusetts	Massachusetts
EPI_ISL_460376	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460344	2020-03-18	Massachusetts	Massachusetts
EPI_ISL_460138	2020-03-20	Massachusetts	Massachusetts
EPI_ISL_460363	2020-03-20	Massachusetts	Massachusetts
EPI_ISL_460349	2020-03-20	Massachusetts	Massachusetts
EPI_ISL_460380	2020-03-22	Massachusetts	Massachusetts
EPI_ISL_460125	2020-03-22	Massachusetts	Massachusetts
EPI_ISL_460140	2020-03-22	Massachusetts	Massachusetts
EPI_ISL_460211	2020-03-17	Massachusetts	Massachusetts
EPI_ISL_460115	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460279	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460396	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460289	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460137	2020-03-28	Massachusetts	Massachusetts
EPI_ISL_460282	2020-04-01	Massachusetts	Massachusetts
EPI_ISL_460419	2020-04-02	Massachusetts	Massachusetts
EPI_ISL_460386	2020-04-02	Massachusetts	Massachusetts
EPI_ISL_460153	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460257	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460187	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460403	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460191	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460422	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460268	2020-04-06	Massachusetts	Massachusetts
EPI_ISL_460123	2020-04-08	Massachusetts	Massachusetts
EPI_ISL_460277	2020-04-08	Massachusetts	Massachusetts
EPI_ISL_467859	2020-03-15	Massachusetts	Massachusetts
EPI_ISL_467860	2020-03-15	Massachusetts	Massachusetts
EPI_ISL_467863	2020-03-15	Massachusetts	Massachusetts
EPI_ISL_491316	2020-06-27	Massachusetts	Massachusetts
EPI_ISL_491317	2020-06-26	Massachusetts	Massachusetts
EPI_ISL_409067	2020-01-29	Massachusetts	Hubei
EPI_ISL_424915	2020-03-06	Massachusetts	Massachusetts
EPI_ISL_424909	2020-03-05	Massachusetts	Massachusetts
EPI_ISL_447843	2020-03-04	Maryland	Maryland
EPI_ISL_434689	2020-03-15	Maryland	Maryland
EPI_ISL_434682	2020-03-21	Maryland	Maryland
EPI_ISL_457790	2020-03-20	Maryland	Maryland
EPI_ISL_434683	2020-03-14	Maryland	Maryland
EPI_ISL_434685	2020-03-20	Maryland	Maryland
EPI_ISL_438222	2020-03-17	Maryland	Maryland
EPI_ISL_438224	2020-03-26	Maryland	Maryland
EPI_ISL_457752	2020-03-17	Maryland	Maryland
EPI_ISL_434686	2020-03-20	Maryland	Maryland
EPI_ISL_457789	2020-03-16	Maryland	Maryland
EPI_ISL_438225	2020-03-21	Maryland	Maryland
EPI_ISL_438226	2020-03-16	Maryland	Maryland
EPI_ISL_434586	2020-03-19	Maryland	Maryland
EPI_ISL_434587	2020-03-24	Maryland	Maryland
EPI_ISL_457754	2020-03-16	Maryland	Maryland
EPI_ISL_434638	2020-03-19	Maryland	Maryland
EPI_ISL_434640	2020-03-24	Maryland	Maryland
EPI_ISL_457791	2020-03-17	Maryland	Maryland
EPI_ISL_457792	2020-03-15	Maryland	Maryland
EPI_ISL_457795	2020-03-19	Maryland	Maryland
EPI_ISL_457798	2020-03-20	Maryland	Maryland
EPI_ISL_457799	2020-03-11	Maryland	Maryland
EPI_ISL_457800	2020-03-19	Maryland	Maryland
EPI_ISL_457803	2020-03-16	Maryland	Maryland
EPI_ISL_457806	2020-03-16	Maryland	Maryland
EPI_ISL_457807	2020-03-15	Maryland	Maryland
EPI_ISL_457808	2020-03-11	Maryland	Maryland
EPI_ISL_438233	2020-03-08	Maryland	Maryland
EPI_ISL_438234	2020-03-11	Maryland	Maryland
EPI_ISL_438235	2020-03-23	Maryland	Maryland
EPI_ISL_438240	2020-03-26	Maryland	Maryland
EPI_ISL_438246	2020-03-18	Maryland	Maryland
EPI_ISL_457766	2020-03-25	Maryland	Maryland
EPI_ISL_457768	2020-03-14	Maryland	Maryland
EPI_ISL_457769	2020-03-24	Maryland	Maryland
EPI_ISL_457811	2020-03-29	Maryland	Maryland
EPI_ISL_457812	2020-03-18	Maryland	Maryland
EPI_ISL_457813	2020-03-19	Maryland	Maryland
EPI_ISL_457816	2020-03-24	Maryland	Maryland
EPI_ISL_457817	2020-03-24	Maryland	Maryland
EPI_ISL_457818	2020-03-30	Maryland	Maryland
EPI_ISL_457819	2020-03-18	Maryland	Maryland
EPI_ISL_457820	2020-03-16	Maryland	Maryland
EPI_ISL_457821	2020-03-30	Maryland	Maryland
EPI_ISL_457783	2020-03-29	Maryland	Maryland
EPI_ISL_457787	2020-03-30	Maryland	Maryland
EPI_ISL_481265	2020-03-31	Maryland	Maryland
EPI_ISL_481266	2020-04-01	Maryland	Maryland
EPI_ISL_486912	2020-04-01	Maryland	Maryland
EPI_ISL_481267	2020-04-01	Maryland	Maryland
EPI_ISL_481268	2020-04-01	Maryland	Maryland
EPI_ISL_486913	2020-04-01	Maryland	Maryland
EPI_ISL_481270	2020-04-01	Maryland	Maryland
EPI_ISL_486914	2020-04-01	Maryland	Maryland
EPI_ISL_481271	2020-04-02	Maryland	Maryland
EPI_ISL_481272	2020-04-03	Maryland	Maryland
EPI_ISL_481273	2020-04-04	Maryland	Maryland
EPI_ISL_481274	2020-04-04	Maryland	Maryland
EPI_ISL_486915	2020-04-07	Maryland	Maryland
EPI_ISL_481275	2020-04-06	Maryland	Maryland
EPI_ISL_481276	2020-04-07	Maryland	Maryland
EPI_ISL_481277	2020-04-07	Maryland	Maryland
EPI_ISL_481278	2020-04-07	Maryland	Maryland
EPI_ISL_481279	2020-04-07	Maryland	Maryland
EPI_ISL_481280	2020-04-07	Maryland	Maryland
EPI_ISL_481281	2020-04-07	Maryland	Maryland
EPI_ISL_486916	2020-04-07	Maryland	Maryland
EPI_ISL_486917	2020-04-09	Maryland	Maryland
EPI_ISL_481282	2020-04-08	Maryland	Maryland
EPI_ISL_467867	2020-03-13	Maryland	Maryland
EPI_ISL_454431	2020-03-13	Maryland	Maryland
EPI_ISL_454435	2020-03-16	Maryland	Maryland
EPI_ISL_424869	2020-03-04	Maryland	Maryland
EPI_ISL_426425	2020-03-04	Maryland	Maryland
EPI_ISL_491907	2020-04-06	Maryland	Maryland
EPI_ISL_491909	2020-04-16	Maryland	Maryland
EPI_ISL_424985	2020-03-10	Michigan	Michigan
EPI_ISL_424990	2020-03-11	Michigan	Michigan
EPI_ISL_424984	2020-03-11	Michigan	Michigan
EPI_ISL_436884	2020-03-25	Michigan	Michigan
EPI_ISL_436822	2020-03-18	Michigan	Michigan
EPI_ISL_436812	2020-03-13	Michigan	Michigan
EPI_ISL_436853	2020-03-24	Michigan	Michigan
EPI_ISL_436856	2020-03-24	Michigan	Michigan
EPI_ISL_436842	2020-03-23	Michigan	Michigan
EPI_ISL_436803	2020-03-10	Michigan	Michigan
EPI_ISL_447168	2020-03-23	Michigan	Michigan
EPI_ISL_447193	2020-03-22	Michigan	Michigan
EPI_ISL_447196	2020-03-17	Michigan	Michigan
EPI_ISL_447212	2020-03-23	Michigan	Michigan
EPI_ISL_447228	2020-03-17	Michigan	Michigan
EPI_ISL_447093	2020-03-14	Michigan	Michigan
EPI_ISL_447105	2020-04-02	Michigan	Michigan
EPI_ISL_447107	2020-03-14	Michigan	Michigan
EPI_ISL_447115	2020-04-06	Michigan	Michigan
EPI_ISL_452272	2020-03-24	Michigan	Michigan
EPI_ISL_452284	2020-05-01	Michigan	Michigan
EPI_ISL_452305	2020-03-19	Michigan	Michigan
EPI_ISL_452322	2020-03-16	Michigan	Michigan
EPI_ISL_459998	2020-05-06	Michigan	Michigan
EPI_ISL_460018	2020-03-31	Michigan	Michigan
EPI_ISL_460026	2020-03-31	Michigan	Michigan
EPI_ISL_460034	2020-05-06	Michigan	Michigan
EPI_ISL_460573	2020-05-07	Michigan	Michigan
EPI_ISL_460582	2020-05-14	Michigan	Michigan
EPI_ISL_460583	2020-05-12	Michigan	Michigan
EPI_ISL_462686	2020-04-29	Michigan	Michigan
EPI_ISL_462691	2020-04-30	Michigan	Michigan
EPI_ISL_462694	2020-04-29	Michigan	Michigan
EPI_ISL_462731	2020-04-23	Michigan	Michigan
EPI_ISL_471685	2020-04-29	Michigan	Michigan
EPI_ISL_471695	2020-05-14	Michigan	Michigan
EPI_ISL_471712	2020-05-16	Michigan	Michigan
EPI_ISL_471713	2020-05-19	Michigan	Michigan
EPI_ISL_471714	2020-05-20	Michigan	Michigan
EPI_ISL_471717	2020-05-20	Michigan	Michigan
EPI_ISL_471739	2020-04-14	Michigan	Michigan
EPI_ISL_471740	2020-04-14	Michigan	Michigan
EPI_ISL_471789	2020-04-20	Michigan	Michigan
EPI_ISL_471820	2020-05-19	Michigan	Michigan
EPI_ISL_471821	2020-05-19	Michigan	Michigan
EPI_ISL_471823	2020-05-19	Michigan	Michigan
EPI_ISL_471826	2020-05-18	Michigan	Michigan
EPI_ISL_471838	2020-05-13	Michigan	Michigan
EPI_ISL_471839	2020-05-13	Michigan	Michigan
EPI_ISL_471842	2020-05-13	Michigan	Michigan
EPI_ISL_471852	2020-04-17	Michigan	Michigan
EPI_ISL_471853	2020-04-17	Michigan	Michigan
EPI_ISL_471856	2020-04-17	Michigan	Michigan
EPI_ISL_471857	2020-04-21	Michigan	Michigan
EPI_ISL_471873	2020-05-08	Michigan	Michigan
EPI_ISL_471878	2020-04-29	Michigan	Michigan
EPI_ISL_471880	2020-04-29	Michigan	Michigan
EPI_ISL_471881	2020-04-29	Michigan	Michigan
EPI_ISL_471887	2020-05-05	Michigan	Michigan
EPI_ISL_471890	2020-04-29	Michigan	Michigan
EPI_ISL_471899	2020-05-15	Michigan	Michigan
EPI_ISL_471900	2020-05-14	Michigan	Michigan
EPI_ISL_471903	2020-05-16	Michigan	Michigan
EPI_ISL_471905	2020-05-15	Michigan	Michigan
EPI_ISL_471906	2020-05-18	Michigan	Michigan
EPI_ISL_471908	2020-05-18	Michigan	Michigan
EPI_ISL_476030	2020-05-22	Michigan	Michigan
EPI_ISL_476048	2020-04-29	Michigan	Michigan
EPI_ISL_476051	2020-05-26	Michigan	Michigan
EPI_ISL_476062	2020-05-25	Michigan	Michigan
EPI_ISL_476063	2020-05-28	Michigan	Michigan
EPI_ISL_484724	2020-03-27	Michigan	Michigan
EPI_ISL_484733	2020-03-24	Michigan	Michigan
EPI_ISL_484789	2020-04-08	Michigan	Michigan
EPI_ISL_484794	2020-03-31	Michigan	Michigan
EPI_ISL_484796	2020-04-03	Michigan	Michigan
EPI_ISL_452108	2020-03-10	Minnesota	Minnesota
EPI_ISL_452113	2020-03-10	Minnesota	Minnesota
EPI_ISL_489900	2020-06-23	Minnesota	Minnesota
EPI_ISL_489903	2020-07-05	Minnesota	Minnesota
EPI_ISL_462845	2020-04-30	Minnesota	Minnesota
EPI_ISL_462850	2020-04-30	Minnesota	Minnesota
EPI_ISL_462854	2020-04-30	Minnesota	Minnesota
EPI_ISL_462855	2020-04-30	Minnesota	Minnesota
EPI_ISL_462860	2020-04-30	Minnesota	Minnesota
EPI_ISL_462886	2020-05-08	Minnesota	Minnesota
EPI_ISL_462902	2020-05-14	Minnesota	Minnesota
EPI_ISL_462904	2020-05-14	Minnesota	Minnesota
EPI_ISL_462905	2020-05-14	Minnesota	Minnesota
EPI_ISL_462911	2020-05-14	Minnesota	Minnesota
EPI_ISL_470748	2020-05-21	Minnesota	Minnesota
EPI_ISL_470751	2020-06-03	Minnesota	Minnesota
EPI_ISL_470760	2020-06-03	Minnesota	Minnesota
EPI_ISL_470761	2020-06-03	Minnesota	Minnesota
EPI_ISL_470766	2020-06-03	Minnesota	Minnesota
EPI_ISL_470768	2020-06-03	Minnesota	Minnesota
EPI_ISL_470775	2020-06-03	Minnesota	Minnesota
EPI_ISL_470777	2020-06-03	Minnesota	Minnesota
EPI_ISL_470778	2020-06-03	Minnesota	Minnesota
EPI_ISL_470780	2020-06-03	Minnesota	Minnesota
EPI_ISL_470789	2020-06-03	Minnesota	Minnesota
EPI_ISL_476709	2020-04-23	Minnesota	Minnesota
EPI_ISL_476711	2020-04-23	Minnesota	Minnesota
EPI_ISL_476712	2020-04-23	Minnesota	Minnesota
EPI_ISL_476719	2020-04-26	Minnesota	Minnesota
EPI_ISL_476720	2020-04-28	Minnesota	Minnesota
EPI_ISL_476729	2020-04-28	Minnesota	Minnesota
EPI_ISL_476732	2020-04-30	Minnesota	Minnesota
EPI_ISL_476753	2020-05-14	Minnesota	Minnesota
EPI_ISL_476754	2020-05-14	Minnesota	Minnesota
EPI_ISL_476765	2020-06-03	Minnesota	Minnesota
EPI_ISL_477273	2020-05-20	Minnesota	Minnesota
EPI_ISL_477277	2020-04-29	Minnesota	Minnesota
EPI_ISL_477283	2020-05-05	Minnesota	Minnesota
EPI_ISL_481241	2020-05-23	Minnesota	Minnesota
EPI_ISL_477292	2020-03-19	Minnesota	Minnesota
EPI_ISL_477293	2020-04-20	Minnesota	Minnesota
EPI_ISL_477294	2020-04-30	Minnesota	Minnesota
EPI_ISL_477299	2020-05-20	Minnesota	Minnesota
EPI_ISL_477300	2020-05-20	Minnesota	Minnesota
EPI_ISL_477303	2020-05-22	Minnesota	Minnesota
EPI_ISL_477305	2020-05-26	Minnesota	Minnesota
EPI_ISL_477307	2020-05-29	Minnesota	Minnesota
EPI_ISL_482946	2020-05-08	Minnesota	Minnesota
EPI_ISL_482947	2020-05-18	Minnesota	Minnesota
EPI_ISL_482950	2020-05-18	Minnesota	Minnesota
EPI_ISL_482952	2020-05-18	Minnesota	Minnesota
EPI_ISL_482955	2020-05-18	Minnesota	Minnesota
EPI_ISL_482970	2020-05-27	Minnesota	Minnesota
EPI_ISL_460050	2020-03-15	Minnesota	Minnesota
EPI_ISL_482973	2020-06-09	Minnesota	Minnesota
EPI_ISL_482976	2020-06-09	Minnesota	Minnesota
EPI_ISL_482977	2020-06-09	Minnesota	Minnesota
EPI_ISL_482978	2020-06-09	Minnesota	Minnesota
EPI_ISL_482980	2020-06-09	Minnesota	Minnesota
EPI_ISL_482983	2020-06-09	Minnesota	Minnesota
EPI_ISL_482984	2020-06-09	Minnesota	Minnesota
EPI_ISL_482985	2020-06-09	Minnesota	Minnesota
EPI_ISL_482986	2020-06-09	Minnesota	Minnesota
EPI_ISL_482999	2020-03-15	Minnesota	Minnesota
EPI_ISL_483008	2020-03-23	Minnesota	Minnesota
EPI_ISL_483012	2020-03-24	Minnesota	Minnesota
EPI_ISL_483014	2020-03-24	Minnesota	Minnesota
EPI_ISL_483017	2020-03-24	Minnesota	Minnesota
EPI_ISL_427281	2020-03-18	Minnesota	Minnesota
EPI_ISL_427286	2020-03-23	Minnesota	Minnesota
EPI_ISL_427287	2020-03-23	Minnesota	Minnesota
EPI_ISL_460058	2020-03-23	Minnesota	Minnesota
EPI_ISL_460059	2020-03-23	Minnesota	Minnesota
EPI_ISL_450754	2020-03-30	Minnesota	Minnesota
EPI_ISL_437361	2020-03-29	Minnesota	Minnesota
EPI_ISL_450759	2020-03-30	Minnesota	Minnesota
EPI_ISL_450762	2020-03-30	Minnesota	Minnesota
EPI_ISL_450765	2020-03-26	Minnesota	Minnesota
EPI_ISL_450768	2020-03-30	Minnesota	Minnesota
EPI_ISL_450770	2020-03-20	Minnesota	Minnesota
EPI_ISL_450772	2020-03-30	Minnesota	Minnesota
EPI_ISL_450773	2020-03-30	Minnesota	Minnesota
EPI_ISL_437364	2020-04-02	Minnesota	Minnesota
EPI_ISL_437368	2020-04-08	Minnesota	Minnesota
EPI_ISL_437374	2020-04-10	Minnesota	Minnesota
EPI_ISL_460068	2020-03-15	Minnesota	Minnesota
EPI_ISL_460078	2020-03-16	Minnesota	Minnesota
EPI_ISL_443183	2020-04-05	Minnesota	Minnesota
EPI_ISL_443254	2020-04-02	Minnesota	Minnesota
EPI_ISL_443256	2020-04-03	Minnesota	Minnesota
EPI_ISL_476909	2020-03-11	Minnesota	Minnesota
EPI_ISL_491318	2020-06-26	Minnesota	Minnesota
EPI_ISL_418049	2020-03-13	Minnesota	Minnesota
EPI_ISL_421683	2020-03-15	Minnesota	Minnesota
EPI_ISL_421686	2020-03-17	Minnesota	Minnesota
EPI_ISL_417194	2020-03-12	Minnesota	Minnesota
EPI_ISL_417196	2020-03-11	Minnesota	Minnesota
EPI_ISL_417469	2020-03-12	Minnesota	Minnesota
EPI_ISL_417475	2020-03-12	Minnesota	Minnesota
EPI_ISL_493069	2020-06-19	Missouri	Missouri
EPI_ISL_476021	2020-06-19	Missouri	Missouri
EPI_ISL_467301	2020-06-08	Missouri	Missouri
EPI_ISL_493070	2020-06-19	Missouri	Missouri
EPI_ISL_467302	2020-06-08	Missouri	Missouri
EPI_ISL_493071	2020-06-19	Missouri	Missouri
EPI_ISL_493072	2020-06-19	Missouri	Missouri
EPI_ISL_493073	2020-06-19	Missouri	Missouri
EPI_ISL_493074	2020-06-19	Missouri	Missouri
EPI_ISL_493075	2020-06-19	Missouri	Missouri
EPI_ISL_493076	2020-06-19	Missouri	Missouri
EPI_ISL_493077	2020-06-19	Missouri	Missouri
EPI_ISL_467304	2020-06-08	Missouri	Missouri
EPI_ISL_493079	2020-06-19	Missouri	Missouri
EPI_ISL_493080	2020-06-19	Missouri	Missouri
EPI_ISL_493081	2020-06-19	Missouri	Missouri
EPI_ISL_493082	2020-06-19	Missouri	Missouri
EPI_ISL_493083	2020-06-19	Missouri	Missouri
EPI_ISL_476019	2020-06-19	Missouri	Missouri
EPI_ISL_493084	2020-06-19	Missouri	Missouri
EPI_ISL_493085	2020-06-19	Missouri	Missouri
EPI_ISL_476018	2020-06-19	Missouri	Missouri
EPI_ISL_424870	2020-03-06	Missouri	Missouri
EPI_ISL_424872	2020-03-08	North Carolina	North Carolina
EPI_ISL_426428	2020-03-08	North Carolina	North Carolina
EPI_ISL_424873	2020-03-07	North Carolina	North Carolina
EPI_ISL_424353	2020-03-10	North Carolina	North Carolina
EPI_ISL_424987	2020-03-11	North Carolina	North Carolina
EPI_ISL_424354	2020-03-10	North Carolina	North Carolina
EPI_ISL_454414	2020-03-14	North Carolina	North Carolina
EPI_ISL_454415	2020-03-14	North Carolina	North Carolina
EPI_ISL_454796	2020-03-15	North Carolina	North Carolina
EPI_ISL_458007	2020-03-22	North Carolina	North Carolina
EPI_ISL_454829	2020-04-19	North Carolina	North Carolina
EPI_ISL_454798	2020-03-15	North Carolina	North Carolina
EPI_ISL_454799	2020-03-15	North Carolina	North Carolina
EPI_ISL_454800	2020-03-15	North Carolina	North Carolina
EPI_ISL_454803	2020-03-15	North Carolina	North Carolina
EPI_ISL_454804	2020-03-15	North Carolina	North Carolina
EPI_ISL_454825	2020-03-18	North Carolina	North Carolina
EPI_ISL_454806	2020-03-15	North Carolina	North Carolina
EPI_ISL_454807	2020-03-15	North Carolina	North Carolina
EPI_ISL_454808	2020-03-15	North Carolina	North Carolina
EPI_ISL_454809	2020-04-15	North Carolina	North Carolina
EPI_ISL_454810	2020-04-15	North Carolina	North Carolina
EPI_ISL_454811	2020-04-17	North Carolina	North Carolina
EPI_ISL_454812	2020-04-17	North Carolina	North Carolina
EPI_ISL_454813	2020-04-17	North Carolina	North Carolina
EPI_ISL_454814	2020-03-17	North Carolina	North Carolina
EPI_ISL_454815	2020-03-17	North Carolina	North Carolina
EPI_ISL_454816	2020-03-17	North Carolina	North Carolina
EPI_ISL_454817	2020-03-17	North Carolina	North Carolina
EPI_ISL_454818	2020-03-17	North Carolina	North Carolina
EPI_ISL_454819	2020-03-18	North Carolina	North Carolina
EPI_ISL_454820	2020-03-18	North Carolina	North Carolina
EPI_ISL_454821	2020-03-18	North Carolina	North Carolina
EPI_ISL_454822	2020-03-18	North Carolina	North Carolina
EPI_ISL_454824	2020-03-19	North Carolina	North Carolina
EPI_ISL_454827	2020-03-19	North Carolina	North Carolina
EPI_ISL_454828	2020-03-19	North Carolina	North Carolina
EPI_ISL_458294	2020-04-08	North Carolina	North Carolina
EPI_ISL_458295	2020-04-08	North Carolina	North Carolina
EPI_ISL_458296	2020-04-11	North Carolina	North Carolina
EPI_ISL_458291	2020-04-03	North Carolina	North Carolina
EPI_ISL_458292	2020-05-07	North Carolina	North Carolina
EPI_ISL_458293	2020-05-08	North Carolina	North Carolina
EPI_ISL_458002	2020-04-20	North Carolina	North Carolina
EPI_ISL_458003	2020-04-21	North Carolina	North Carolina
EPI_ISL_458006	2020-04-22	North Carolina	North Carolina
EPI_ISL_466652	2020-05-05	Nebraska	Nebraska
EPI_ISL_475176	2020-05-02	Nebraska	Nebraska
EPI_ISL_475178	2020-05-04	Nebraska	Nebraska
EPI_ISL_475180	2020-05-04	Nebraska	Nebraska
EPI_ISL_475186	2020-05-04	Nebraska	Nebraska
EPI_ISL_466666	2020-05-04	Nebraska	Nebraska
EPI_ISL_466667	2020-05-04	Nebraska	Nebraska
EPI_ISL_466668	2020-05-04	Nebraska	Nebraska
EPI_ISL_466669	2020-05-04	Nebraska	Nebraska
EPI_ISL_475197	2020-05-04	Nebraska	Nebraska
EPI_ISL_475200	2020-05-04	Nebraska	Nebraska
EPI_ISL_475201	2020-05-04	Nebraska	Nebraska
EPI_ISL_466675	2020-05-04	Nebraska	Nebraska
EPI_ISL_475204	2020-05-04	Nebraska	Nebraska
EPI_ISL_466661	2020-05-04	Nebraska	Nebraska
EPI_ISL_475209	2020-05-03	Nebraska	Nebraska
EPI_ISL_475213	2020-05-05	Nebraska	Nebraska
EPI_ISL_475216	2020-05-04	Nebraska	Nebraska
EPI_ISL_475217	2020-05-05	Nebraska	Nebraska
EPI_ISL_475219	2020-05-05	Nebraska	Nebraska
EPI_ISL_475220	2020-05-05	Nebraska	Nebraska
EPI_ISL_475222	2020-05-05	Nebraska	Nebraska
EPI_ISL_466678	2020-05-05	Nebraska	Nebraska
EPI_ISL_475225	2020-05-05	Nebraska	Nebraska
EPI_ISL_475227	2020-05-05	Nebraska	Nebraska
EPI_ISL_475228	2020-05-05	Nebraska	Nebraska
EPI_ISL_475231	2020-05-05	Nebraska	Nebraska
EPI_ISL_475233	2020-05-05	Nebraska	Nebraska
EPI_ISL_466680	2020-05-05	Nebraska	Nebraska
EPI_ISL_424875	2020-03-07	Nebraska	Nebraska
EPI_ISL_452116	2020-03-03	New Jersey	New Jersey
