strain	date	country	country_exposure
EPI_ISL_416425	2020-02-03	China	China
EPI_ISL_402128	2019-12-30	China	China
EPI_ISL_457733	2020-02-08	Taiwan	Taiwan
EPI_ISL_455603	2020-01-30	Australia	Australia
EPI_ISL_402132	2019-12-30	China	China
EPI_ISL_413868	2020-02-28	China	China
EPI_ISL_406798	2019-12-26	China	China
EPI_ISL_402121	2019-12-30	China	China
EPI_ISL_402130	2019-12-30	China	China
EPI_ISL_403930	2019-12-30	China	China
EPI_ISL_402123	2019-12-24	China	China
EPI_ISL_450196	2020-01-23	Thailand	Thailand
EPI_ISL_437618	2020-01-29	Thailand	Thailand
EPI_ISL_402127	2019-12-30	China	China
EPI_ISL_412898	2019-12-30	China	China
EPI_ISL_434534	2019-12-30	China	China
EPI_ISL_413015	2020-01-23	Canada	China
EPI_ISL_408008	2020-01-29	USA	USA
EPI_ISL_408009	2020-01-29	USA	USA
EPI_ISL_425177	2020-01-23	Canada	Canada
EPI_ISL_413014	2020-01-25	Canada	China
EPI_ISL_418327	2020-01-25	Canada	Canada
EPI_ISL_450412	2020-01-30	Hong Kong	HongKong
EPI_ISL_416350	2020-01-29	China	China
EPI_ISL_451365	2020-01-26	China	China
EPI_ISL_412980	2020-01-18	China	China
EPI_ISL_455461	2020-02-06	China	China
EPI_ISL_455314	2020-02-28	Spain	Spain
EPI_ISL_419733	2020-01-31	Australia	Australia
EPI_ISL_412873	2020-02-06	South Korea	SouthKorea
EPI_ISL_407071	2020-01-29	United Kingdom	China
EPI_ISL_407073	2020-01-29	United Kingdom	China
EPI_ISL_416330	2020-02-02	China	China
EPI_ISL_455684	2020-01-22	China	China
EPI_ISL_413523	2020-01-31	India	China
EPI_ISL_434567	2020-01-27	Hong Kong	HongKong
EPI_ISL_434568	2020-01-29	Hong Kong	HongKong
EPI_ISL_421241	2020-01-30	China	China
EPI_ISL_426163	2020-02-23	South Korea	SouthKorea
EPI_ISL_425118	2020-01-30	South Korea	SouthKorea
EPI_ISL_412869	2020-01-30	South Korea	SouthKorea
EPI_ISL_411956	2020-02-11	USA	China
EPI_ISL_447918	2020-02-01	Thailand	Thailand
EPI_ISL_406223	2020-01-22	USA	China
