strain	date	country	country_exposure
EPI_ISL_417030	2020-01-24	Australia	Australia
EPI_ISL_408665	2020-01-29	Japan	Japan
EPI_ISL_408666	2020-01-31	Japan	Japan
EPI_ISL_408667	2020-01-31	Japan	Japan
EPI_ISL_451360	2020-01-24	China	China
EPI_ISL_437616	2020-02-07	Thailand	Thailand
EPI_ISL_435137	2020-01-29	United Arab Emirates	UnitedArabEmirates
EPI_ISL_416429	2020-02-11	Vietnam	Vietnam
EPI_ISL_406034	2020-01-23	USA	China
EPI_ISL_428443	2020-01-21	China	China
EPI_ISL_434571	2020-01-22	Hong Kong	HongKong
EPI_ISL_412028	2020-01-22	Hong Kong	HongKong
EPI_ISL_408668	2020-01-24	Vietnam	China
EPI_ISL_416427	2020-01-24	Vietnam	Vietnam
EPI_ISL_426183	2020-02-23	South Korea	SouthKorea
EPI_ISL_410045	2020-01-28	USA	China
EPI_ISL_464093	2020-04-02	Taiwan	Taiwan
EPI_ISL_463740	2020-03-30	United Arab Emirates	UnitedArabEmirates
EPI_ISL_426171	2020-02-05	South Korea	SouthKorea
EPI_ISL_412871	2020-01-31	South Korea	SouthKorea
EPI_ISL_430738	2020-02-05	China	China
EPI_ISL_426181	2020-02-23	South Korea	SouthKorea
EPI_ISL_426180	2020-02-05	South Korea	SouthKorea
EPI_ISL_407193	2020-01-25	South Korea	SouthKorea
EPI_ISL_413519	2020-01-28	China	China
EPI_ISL_424357	2020-01-28	China	China
EPI_ISL_412870	2020-01-30	South Korea	SouthKorea
EPI_ISL_413513	2020-02-27	South Korea	SouthKorea
EPI_ISL_413514	2020-02-27	South Korea	SouthKorea
EPI_ISL_413516	2020-02-27	South Korea	SouthKorea
EPI_ISL_427812	2020-02-19	South Korea	SouthKorea
EPI_ISL_416885	2020-01-30	Malaysia	Malaysia
EPI_ISL_455790	2020-01-30	Malaysia	Malaysia
EPI_ISL_437620	2020-01-25	Thailand	Thailand
EPI_ISL_447911	2020-01-24	Thailand	Thailand
EPI_ISL_447913	2020-01-31	Thailand	Thailand
EPI_ISL_447912	2020-01-25	Thailand	Thailand
EPI_ISL_437615	2020-02-22	Thailand	Thailand
EPI_ISL_437613	2020-02-25	Thailand	Thailand
EPI_ISL_437612	2020-01-23	Thailand	Thailand
EPI_ISL_447920	2020-02-25	Thailand	Thailand
EPI_ISL_455624	2020-03-12	Thailand	Thailand
EPI_ISL_437609	2020-03-12	Thailand	Thailand
EPI_ISL_447020	2020-04-01	Thailand	Thailand
EPI_ISL_455585	2020-03-14	Thailand	Thailand
EPI_ISL_455938	2020-03-15	Thailand	Thailand
EPI_ISL_447026	2020-04-03	Thailand	Thailand
EPI_ISL_429165	2020-03-13	Thailand	Thailand
EPI_ISL_429166	2020-03-13	Thailand	Thailand
EPI_ISL_455606	2020-03-13	Thailand	Thailand
EPI_ISL_455604	2020-03-13	Thailand	Thailand
EPI_ISL_455584	2020-03-18	Thailand	Thailand
EPI_ISL_408478	2020-01-21	China	China
EPI_ISL_418993	2020-01-29	Singapore	Singapore
EPI_ISL_404895	2020-01-19	USA	China
EPI_ISL_416886	2020-02-04	Malaysia	Malaysia
EPI_ISL_418826	2020-03-10	Canada	Canada
EPI_ISL_413557	2020-02-26	USA	USA
EPI_ISL_429649	2020-04-02	USA	USA
EPI_ISL_417083	2020-02-28	USA	USA
EPI_ISL_447592	2020-03-29	Taiwan	Taiwan
EPI_ISL_456334	2020-04-01	New Zealand	NewZealand
EPI_ISL_424673	2020-03-12	Mexico	Mexico
EPI_ISL_417100	2020-02-29	USA	USA
EPI_ISL_412970	2020-02-24	USA	USA
EPI_ISL_447593	2020-04-01	Taiwan	Taiwan
EPI_ISL_424627	2020-03-16	Mexico	Mexico
EPI_ISL_455439	2020-03-11	Mexico	Mexico
EPI_ISL_426364	2020-03-12	Mexico	Mexico
EPI_ISL_426363	2020-03-12	Mexico	Mexico
EPI_ISL_426482	2020-03-17	Uruguay	Uruguay
EPI_ISL_436101	2020-03-19	Taiwan	Taiwan
EPI_ISL_419741	2020-03-08	Australia	Australia
EPI_ISL_434127	2020-03-08	USA	USA
EPI_ISL_417135	2020-02-22	USA	USA
EPI_ISL_413455	2020-02-28	USA	USA
EPI_ISL_430272	2020-02-28	USA	USA
EPI_ISL_417155	2020-02-28	USA	USA
EPI_ISL_417152	2020-02-28	USA	USA
EPI_ISL_417093	2020-02-28	USA	USA
EPI_ISL_430273	2020-02-29	USA	USA
EPI_ISL_455598	2020-04-01	Australia	Australia
EPI_ISL_463633	2020-05-05	USA	USA
EPI_ISL_424849	2020-03-09	USA	USA
EPI_ISL_449880	2020-04-07	USA	USA
EPI_ISL_416637	2020-03-12	USA	USA
EPI_ISL_418052	2020-03-16	USA	USA
EPI_ISL_463659	2020-05-05	USA	USA
EPI_ISL_443253	2020-04-04	USA	USA
EPI_ISL_416485	2020-02-27	Spain	Spain
EPI_ISL_414623	2020-02-25	France	France
EPI_ISL_416477	2020-03-08	Georgia	Georgia
EPI_ISL_455351	2020-02-29	Spain	Spain
EPI_ISL_455336	2020-02-29	Spain	Spain
EPI_ISL_452367	2020-04-06	Spain	Spain
EPI_ISL_451140	2020-03-24	Australia	Australia
EPI_ISL_426856	2020-03-25	Australia	Australia
EPI_ISL_454520	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_452559	2020-03-24	Spain	Spain
EPI_ISL_416484	2020-02-27	Spain	Spain
EPI_ISL_452692	2020-02-29	Spain	Spain
EPI_ISL_425178	2020-02-28	Spain	Spain
EPI_ISL_436361	2020-02-29	Spain	Spain
EPI_ISL_418216	2020-03-13	Senegal	Senegal
EPI_ISL_419687	2020-02-27	Spain	Spain
EPI_ISL_452701	2020-03-11	Spain	Spain
EPI_ISL_420117	2020-03-09	Spain	Spain
EPI_ISL_420123	2020-03-09	Spain	Spain
EPI_ISL_452675	2020-03-25	Spain	Spain
EPI_ISL_454571	2020-03-25	Kazakhstan	Kazakhstan
EPI_ISL_454499	2020-04-16	Kazakhstan	Kazakhstan
EPI_ISL_435048	2020-04-21	Kazakhstan	Kazakhstan
EPI_ISL_454516	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454518	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454577	2020-04-15	Kazakhstan	Kazakhstan
EPI_ISL_454584	2020-04-21	Kazakhstan	Kazakhstan
EPI_ISL_454572	2020-03-25	Kazakhstan	Kazakhstan
EPI_ISL_454497	2020-05-14	Kazakhstan	Kazakhstan
EPI_ISL_451076	2020-02-08	China	China
EPI_ISL_437725	2020-04-16	Saudi Arabia	SaudiArabia
EPI_ISL_437495	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_407896	2020-01-30	Australia	Australia
EPI_ISL_416415	2020-02-08	Australia	Australia
EPI_ISL_410717	2020-02-05	Australia	Australia
EPI_ISL_407894	2020-01-28	Australia	China
EPI_ISL_410718	2020-02-05	Australia	Australia
EPI_ISL_411954	2020-02-06	USA	China
EPI_ISL_457938	2020-03-15	Oman	Oman
EPI_ISL_420841	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420078	2020-03-20	Senegal	Senegal
EPI_ISL_431081	2020-04-06	USA	USA
EPI_ISL_451183	2020-03-25	Uganda	Uganda
EPI_ISL_451184	2020-03-26	Uganda	Uganda
EPI_ISL_450188	2020-04-06	Jordan	Jordan
EPI_ISL_451194	2020-03-22	Uganda	Uganda
EPI_ISL_457991	2020-03-22	Oman	Oman
EPI_ISL_457993	2020-03-24	Oman	Oman
EPI_ISL_451199	2020-04-20	Uganda	Uganda
EPI_ISL_437465	2020-03-23	Saudi Arabia	SaudiArabia
EPI_ISL_437760	2020-04-01	Saudi Arabia	SaudiArabia
EPI_ISL_455426	2020-03-29	Nigeria	Nigeria
EPI_ISL_455422	2020-03-29	Nigeria	Nigeria
EPI_ISL_455423	2020-03-29	Nigeria	Nigeria
EPI_ISL_450341	2020-05-13	Bangladesh	Bangladesh
EPI_ISL_450342	2020-05-08	Bangladesh	Bangladesh
EPI_ISL_455424	2020-03-29	Nigeria	Nigeria
EPI_ISL_437705	2020-04-14	Saudi Arabia	SaudiArabia
EPI_ISL_437722	2020-04-16	Saudi Arabia	SaudiArabia
EPI_ISL_420077	2020-03-20	Senegal	Senegal
EPI_ISL_437466	2020-03-23	Saudi Arabia	SaudiArabia
EPI_ISL_437460	2020-03-23	Saudi Arabia	SaudiArabia
EPI_ISL_437459	2020-03-23	Saudi Arabia	SaudiArabia
EPI_ISL_412979	2020-01-18	China	China
EPI_ISL_414378	2020-02-17	Singapore	Singapore
EPI_ISL_418995	2020-02-28	Singapore	Singapore
EPI_ISL_413856	2020-02-07	China	China
EPI_ISL_418996	2020-01-27	Singapore	Singapore
EPI_ISL_410535	2020-02-03	Singapore	China
EPI_ISL_455770	2020-05-07	India	India
EPI_ISL_463024	2020-05-10	India	India
EPI_ISL_407893	2020-01-24	Australia	China
EPI_ISL_411926	2020-01-24	Taiwan	Taiwan
EPI_ISL_414379	2020-02-18	Singapore	Singapore
EPI_ISL_428718	2020-03-19	Turkey	SaudiArabia
EPI_ISL_462306	2020-02-14	Singapore	Singapore
EPI_ISL_418997	2020-02-06	Singapore	Singapore
EPI_ISL_419000	2020-02-13	Singapore	Singapore
EPI_ISL_418998	2020-02-14	Singapore	Singapore
EPI_ISL_428822	2020-02-16	Singapore	Singapore
EPI_ISL_463896	2020-01-31	China	China
EPI_ISL_408489	2020-01-31	Taiwan	China
EPI_ISL_407976	2020-02-03	Belgium	China
EPI_ISL_416333	2020-01-30	China	China
EPI_ISL_462433	2020-02-19	Singapore	Singapore
EPI_ISL_452535	2020-03-12	Spain	Spain
EPI_ISL_447836	2020-03-16	Greece	Greece
EPI_ISL_436263	2020-03-20	Spain	Spain
EPI_ISL_429998	2020-03-28	Jordan	Jordan
EPI_ISL_445358	2020-03-13	Chile	Chile
EPI_ISL_445267	2020-03-12	Chile	Chile
EPI_ISL_447757	2020-03-31	Colombia	Colombia
EPI_ISL_418245	2020-03-01	Spain	Spain
EPI_ISL_424670	2020-03-10	Mexico	Mexico
EPI_ISL_447520	2020-04-01	Spain	Spain
EPI_ISL_419834	2020-02-23	Australia	Australia
EPI_ISL_455456	2020-03-12	Mexico	Mexico
EPI_ISL_456117	2020-03-10	Colombia	Colombia
EPI_ISL_424667	2020-03-04	Mexico	Mexico
EPI_ISL_448209	2020-04-22	United Kingdom	UnitedKingdom
EPI_ISL_444493	2020-03-13	Uruguay	Uruguay
EPI_ISL_457965	2020-04-03	Uruguay	Uruguay
EPI_ISL_457952	2020-03-21	Uruguay	Uruguay
EPI_ISL_447916	2020-01-29	Thailand	Thailand
EPI_ISL_462283	2020-01-27	Singapore	Singapore
EPI_ISL_451319	2020-01-27	China	China
EPI_ISL_455392	2020-03-17	China	China
EPI_ISL_437614	2020-02-25	Thailand	Thailand
EPI_ISL_437608	2020-03-13	Thailand	Thailand
EPI_ISL_454979	2020-03-18	China	China
EPI_ISL_413018	2020-02-06	South Korea	SouthKorea
EPI_ISL_406031	2020-01-23	Taiwan	Taiwan
EPI_ISL_411951	2020-02-07	Sweden	Sweden
EPI_ISL_437622	2020-01-23	Thailand	Thailand
EPI_ISL_424352	2020-03-10	China	China
EPI_ISL_426629	2020-02-07	Taiwan	Taiwan
EPI_ISL_451299	2020-02-04	Italy	China
EPI_ISL_410546	2020-01-29	Italy	China
EPI_ISL_417486	2020-03-01	Norway	Norway
EPI_ISL_455452	2020-03-28	Poland	Poland
EPI_ISL_419241	2020-02-19	Hong Kong	HongKong
EPI_ISL_420455	2020-03-04	Hong Kong	HongKong
EPI_ISL_419250	2020-02-26	Hong Kong	HongKong
EPI_ISL_419252	2020-02-26	Hong Kong	HongKong
EPI_ISL_414569	2020-02-12	Hong Kong	HongKong
EPI_ISL_412029	2020-01-30	Hong Kong	HongKong
EPI_ISL_419249	2020-02-25	Hong Kong	HongKong
EPI_ISL_417193	2020-02-09	Hong Kong	HongKong
EPI_ISL_419221	2020-02-11	Hong Kong	HongKong
EPI_ISL_414517	2020-02-25	Hong Kong	HongKong
EPI_ISL_450405	2020-03-08	Hong Kong	HongKong
EPI_ISL_419214	2020-02-10	Hong Kong	HongKong
EPI_ISL_417187	2020-02-08	Hong Kong	HongKong
EPI_ISL_417188	2020-02-08	Hong Kong	HongKong
EPI_ISL_417179	2020-01-30	Hong Kong	HongKong
EPI_ISL_447917	2020-01-29	Thailand	Thailand
EPI_ISL_437624	2020-02-01	Thailand	Thailand
EPI_ISL_416410	2020-01-24	Australia	Australia
EPI_ISL_406596	2020-01-23	France	China
EPI_ISL_406597	2020-01-23	France	China
EPI_ISL_466907	2020-05-04	Germany	Germany
EPI_ISL_411219	2020-01-28	France	France
EPI_ISL_410713	2020-01-27	Singapore	Singapore
EPI_ISL_447915	2020-01-26	Thailand	Thailand
EPI_ISL_437619	2020-01-26	Thailand	Thailand
EPI_ISL_406036	2020-01-22	USA	China
EPI_ISL_416411	2020-01-25	Australia	Australia
EPI_ISL_408977	2020-01-25	Australia	China
EPI_ISL_410716	2020-02-04	Singapore	Singapore
EPI_ISL_410715	2020-02-04	Singapore	Singapore
EPI_ISL_410536	2020-02-06	Singapore	Singapore
EPI_ISL_425117	2020-02-23	South Korea	SouthKorea
EPI_ISL_454992	2020-02-27	China	China
EPI_ISL_454961	2020-03-19	China	China
EPI_ISL_457987	2020-03-20	Oman	Oman
EPI_ISL_402129	2019-12-30	China	China
EPI_ISL_412899	2019-12-30	China	China
EPI_ISL_417064	2020-01-21	Hong Kong	HongKong
EPI_ISL_434563	2020-01-23	Hong Kong	HongKong
EPI_ISL_434564	2020-01-24	Hong Kong	HongKong
EPI_ISL_413522	2020-01-27	India	China
EPI_ISL_451328	2020-02-02	China	China
EPI_ISL_410719	2020-02-02	Singapore	Singapore
EPI_ISL_408670	2020-01-31	USA	China
EPI_ISL_402124	2019-12-30	China	China
EPI_ISL_417178	2020-01-25	Hong Kong	HongKong
EPI_ISL_402125	2019-12-26	China	China
EPI_ISL_403929	2019-12-30	China	China
EPI_ISL_402119	2019-12-30	China	China
EPI_ISL_450410	2020-01-31	Hong Kong	HongKong
EPI_ISL_409067	2020-01-29	USA	China
EPI_ISL_445329	2020-03-23	Chile	Chile
EPI_ISL_435134	2020-02-08	United Arab Emirates	UnitedArabEmirates
EPI_ISL_408669	2020-01-29	Japan	Japan
EPI_ISL_454915	2020-02-24	China	China
EPI_ISL_418799	2020-02-28	Australia	Australia
EPI_ISL_435138	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_437623	2020-01-08	Thailand	Thailand
EPI_ISL_403962	2020-01-08	Thailand	China
EPI_ISL_428488	2020-01-31	Taiwan	Taiwan
EPI_ISL_428489	2020-01-31	Taiwan	Taiwan
EPI_ISL_416829	2020-01-24	Malaysia	Malaysia
EPI_ISL_430443	2020-01-28	Malaysia	Malaysia
EPI_ISL_416866	2020-01-24	Malaysia	Malaysia
EPI_ISL_407987	2020-01-25	Singapore	Singapore
EPI_ISL_422429	2020-02-16	Singapore	Singapore
EPI_ISL_410537	2020-02-09	Singapore	Singapore
EPI_ISL_422410	2020-03-13	Taiwan	Japan
EPI_ISL_434694	2020-01-22	Thailand	Thailand
EPI_ISL_455369	2020-03-02	China	China
EPI_ISL_455374	2020-02-10	China	China
EPI_ISL_450409	2020-01-30	Hong Kong	HongKong
EPI_ISL_408431	2020-01-29	France	France
EPI_ISL_455793	2020-02-29	Malaysia	Malaysia
EPI_ISL_421654	2020-03-25	Latvia	Latvia
EPI_ISL_410218	2020-02-05	Taiwan	China
EPI_ISL_459909	2020-03-02	China	China
EPI_ISL_404253	2020-01-21	USA	China
EPI_ISL_421233	2020-01-21	China	China
EPI_ISL_450489	2020-01-25	China	China
EPI_ISL_408010	2020-01-29	USA	China
EPI_ISL_429088	2020-02-01	China	China
EPI_ISL_454950	2020-03-20	China	China
EPI_ISL_429077	2020-02-07	China	China
EPI_ISL_429074	2020-02-07	China	China
EPI_ISL_462293	2020-02-09	Singapore	Singapore
EPI_ISL_429076	2020-02-07	China	China
EPI_ISL_403963	2020-01-13	Thailand	China
EPI_ISL_406973	2020-01-23	Singapore	China
EPI_ISL_418269	2020-01-22	Vietnam	Vietnam
EPI_ISL_418267	2020-01-22	Vietnam	Vietnam
EPI_ISL_456193	2020-03-20	New Zealand	NewZealand
EPI_ISL_416907	2020-02-06	Malaysia	Malaysia
EPI_ISL_430444	2020-02-12	Malaysia	Malaysia
EPI_ISL_455792	2020-02-09	Malaysia	Malaysia
EPI_ISL_455791	2020-02-08	Malaysia	Malaysia
EPI_ISL_430439	2020-03-05	Malaysia	Malaysia
EPI_ISL_420890	2020-03-09	Japan	Japan
EPI_ISL_438972	2020-03-27	Japan	Japan
EPI_ISL_463007	2020-04-12	Taiwan	Taiwan
EPI_ISL_455141	2020-04-03	Netherlands	Netherlands
EPI_ISL_454752	2020-02-28	Netherlands	Netherlands
EPI_ISL_461276	2020-04-29	Netherlands	Netherlands
EPI_ISL_422893	2020-03-19	Netherlands	Netherlands
EPI_ISL_461101	2020-02-29	Netherlands	Netherlands
EPI_ISL_438032	2020-03-13	Austria	Austria
EPI_ISL_422805	2020-03-08	Netherlands	Netherlands
EPI_ISL_455391	2020-02-04	China	China
EPI_ISL_410044	2020-01-27	USA	China
EPI_ISL_410532	2020-01-23	Japan	China
EPI_ISL_447914	2020-01-25	Thailand	Thailand
EPI_ISL_437621	2020-01-25	Thailand	Thailand
EPI_ISL_410531	2020-01-25	Japan	Japan
EPI_ISL_411915	2020-01-25	Taiwan	Taiwan
EPI_ISL_407079	2020-01-29	Finland	China
EPI_ISL_412872	2020-02-01	South Korea	SouthKorea
EPI_ISL_436583	2020-04-08	USA	USA
EPI_ISL_424396	2020-03-19	Iceland	Iceland
EPI_ISL_455435	2020-03-20	Mexico	Mexico
EPI_ISL_413561	2020-02-27	USA	USA
EPI_ISL_413559	2020-02-27	USA	USA
EPI_ISL_435142	2020-03-14	United Arab Emirates	UnitedArabEmirates
EPI_ISL_419228	2020-02-17	Hong Kong	HongKong
EPI_ISL_419554	2020-02-26	USA	USA
EPI_ISL_457726	2020-02-06	Taiwan	Taiwan
EPI_ISL_422428	2020-02-06	Singapore	Singapore
EPI_ISL_410486	2020-02-08	France	France
EPI_ISL_426169	2020-02-05	South Korea	SouthKorea
EPI_ISL_426166	2020-02-04	South Korea	SouthKorea
EPI_ISL_411927	2020-01-28	Taiwan	Taiwan
EPI_ISL_424577	2020-03-27	Iceland	Iceland
EPI_ISL_456393	2020-04-25	New Zealand	NewZealand
EPI_ISL_422053	2020-03-24	United Kingdom	UnitedKingdom
EPI_ISL_421656	2020-03-25	Latvia	Latvia
EPI_ISL_414509	2020-02-28	Germany	Germany
EPI_ISL_429814	2020-03-15	Canada	Canada
EPI_ISL_414574	2020-02-28	Germany	Germany
EPI_ISL_414499	2020-02-26	Germany	Germany
EPI_ISL_414506	2020-02-27	Germany	Germany
EPI_ISL_413488	2020-02-28	Germany	Germany
EPI_ISL_414508	2020-02-27	Germany	Germany
EPI_ISL_430848	2020-03-11	Sweden	Sweden
EPI_ISL_455975	2020-05-11	Belgium	Belgium
EPI_ISL_419655	2020-02-26	Austria	Austria
EPI_ISL_414505	2020-02-27	Germany	Germany
EPI_ISL_414504	2020-02-26	Germany	Germany
EPI_ISL_414498	2020-02-26	Germany	Germany
EPI_ISL_414497	2020-02-25	Germany	Germany
EPI_ISL_456186	2020-03-20	New Zealand	NewZealand
EPI_ISL_456221	2020-03-22	New Zealand	NewZealand
EPI_ISL_418328	2020-03-20	Canada	Canada
EPI_ISL_416488	2020-03-03	Poland	Poland
EPI_ISL_428959	2020-04-01	Luxembourg	Luxembourg
EPI_ISL_462154	2020-04-23	Belgium	Belgium
EPI_ISL_420069	2020-03-17	Senegal	Senegal
EPI_ISL_466905	2020-05-02	Germany	Germany
EPI_ISL_417459	2020-03-11	Germany	Germany
EPI_ISL_419242	2020-02-23	Hong Kong	HongKong
EPI_ISL_457986	2020-03-20	Oman	Oman
EPI_ISL_424703	2020-03-15	Sweden	Sweden
EPI_ISL_435133	2020-03-10	United Arab Emirates	UnitedArabEmirates
EPI_ISL_447767	2020-04-01	Colombia	Colombia
EPI_ISL_454942	2020-03-02	China	China
EPI_ISL_413596	2020-02-28	Australia	Australia
EPI_ISL_413594	2020-02-28	Australia	Australia
EPI_ISL_427643	2020-02-28	Australia	Australia
EPI_ISL_420789	2020-03-01	USA	USA
EPI_ISL_454955	2020-03-01	China	China
EPI_ISL_447253	2020-03-11	Taiwan	Taiwan
EPI_ISL_444849	2020-04-03	Denmark	Denmark
EPI_ISL_430442	2020-02-29	Malaysia	Malaysia
EPI_ISL_430441	2020-02-29	Malaysia	Malaysia
EPI_ISL_430440	2020-03-05	Malaysia	Malaysia
EPI_ISL_430297	2020-03-06	South Africa	SouthAfrica
EPI_ISL_454969	2020-03-16	China	China
EPI_ISL_437883	2020-03-15	Greece	Greece
EPI_ISL_435127	2020-03-15	United Arab Emirates	UnitedArabEmirates
EPI_ISL_447621	2020-04-13	Taiwan	Indonesia
EPI_ISL_457997	2020-03-28	Oman	Oman
EPI_ISL_420151	2020-03-17	Norway	Norway
EPI_ISL_455397	2020-03-16	China	China
EPI_ISL_439363	2020-05-01	United Kingdom	UnitedKingdom
EPI_ISL_416601	2020-02-16	Japan	Japan
EPI_ISL_416570	2020-02-15	Japan	Japan
EPI_ISL_408430	2020-01-29	France	China
EPI_ISL_419832	2020-02-21	Australia	Australia
EPI_ISL_419735	2020-02-24	Australia	Australia
EPI_ISL_421235	2020-01-20	China	China
EPI_ISL_434569	2020-01-27	Hong Kong	HongKong
EPI_ISL_434570	2020-01-29	Hong Kong	HongKong
EPI_ISL_435126	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_416373	2020-02-07	China	China
EPI_ISL_412981	2020-01-18	China	China
EPI_ISL_428713	2020-03-18	Turkey	Turkey
EPI_ISL_420142	2020-03-30	Georgia	Georgia
EPI_ISL_435135	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_452364	2020-02-05	China	China
EPI_ISL_447252	2020-02-25	Taiwan	Taiwan
EPI_ISL_415742	2020-02-27	Taiwan	Taiwan
EPI_ISL_444274	2020-02-29	Taiwan	Taiwan
EPI_ISL_415741	2020-02-26	Taiwan	Taiwan
EPI_ISL_417519	2020-03-05	Taiwan	Taiwan
EPI_ISL_415743	2020-02-27	Taiwan	Taiwan
EPI_ISL_414520	2020-03-02	Germany	China
EPI_ISL_437327	2020-03-19	Turkey	Iran
EPI_ISL_417524	2020-03-14	Taiwan	Taiwan
EPI_ISL_414414	2020-02-29	Australia	Australia
EPI_ISL_413214	2020-02-29	Australia	Australia
EPI_ISL_435121	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_434565	2020-01-24	Hong Kong	HongKong
EPI_ISL_450408	2020-01-24	Hong Kong	HongKong
EPI_ISL_434566	2020-01-27	Hong Kong	HongKong
EPI_ISL_418325	2020-02-20	Canada	Canada
EPI_ISL_412975	2020-02-28	Australia	Iran
EPI_ISL_430847	2020-02-27	Sweden	Sweden
EPI_ISL_447019	2020-04-01	Thailand	Thailand
EPI_ISL_447025	2020-04-02	Thailand	Thailand
EPI_ISL_435139	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_413490	2020-02-27	New Zealand	Iran
EPI_ISL_435131	2020-02-25	United Arab Emirates	UnitedArabEmirates
EPI_ISL_427133	2020-04-06	Australia	Australia
EPI_ISL_430619	2020-04-08	Australia	Australia
EPI_ISL_415644	2020-02-28	Georgia	Georgia
EPI_ISL_413595	2020-02-28	Australia	Australia
EPI_ISL_457704	2020-02-24	Oman	Oman
EPI_ISL_457706	2020-03-02	Oman	Oman
EPI_ISL_421665	2020-03-10	India	Iran
EPI_ISL_437324	2020-03-19	Turkey	Iran
EPI_ISL_437322	2020-03-19	Turkey	Turkey
EPI_ISL_437323	2020-03-19	Turkey	Taiwan
EPI_ISL_435122	2020-03-14	United Arab Emirates	UnitedArabEmirates
EPI_ISL_451193	2020-03-30	Uganda	Uganda
EPI_ISL_435120	2020-03-14	United Arab Emirates	UnitedArabEmirates
EPI_ISL_457937	2020-03-15	Oman	Oman
EPI_ISL_457701	2020-02-23	Oman	Oman
EPI_ISL_429872	2020-03-25	Turkey	Turkey
EPI_ISL_413213	2020-02-29	Australia	Iran
EPI_ISL_418383	2020-02-29	Canada	Canada
EPI_ISL_417484	2020-02-26	Norway	Norway
EPI_ISL_435045	2020-03-22	Kazakhstan	Kazakhstan
EPI_ISL_454505	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454510	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454599	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454594	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454590	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454591	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454504	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454598	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454507	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454509	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454513	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_454514	2020-04-26	Kazakhstan	Kazakhstan
EPI_ISL_421573	2020-03-31	South Africa	SouthAfrica
EPI_ISL_435084	2020-03-29	India	India
EPI_ISL_443188	2020-03-18	Singapore	Singapore
