strain	date	country
EPI_ISL_460211	2020-03-17	Massachusetts
EPI_ISL_460115	2020-03-28	Massachusetts
EPI_ISL_460279	2020-03-28	Massachusetts
EPI_ISL_460396	2020-03-28	Massachusetts
EPI_ISL_460289	2020-03-28	Massachusetts
EPI_ISL_460137	2020-03-28	Massachusetts
EPI_ISL_460282	2020-04-01	Massachusetts
EPI_ISL_460419	2020-04-02	Massachusetts
EPI_ISL_460386	2020-04-02	Massachusetts
EPI_ISL_460153	2020-04-06	Massachusetts
EPI_ISL_460257	2020-04-06	Massachusetts
EPI_ISL_460187	2020-04-06	Massachusetts
EPI_ISL_460403	2020-04-06	Massachusetts
EPI_ISL_460191	2020-04-06	Massachusetts
EPI_ISL_460422	2020-04-06	Massachusetts
EPI_ISL_460268	2020-04-06	Massachusetts
EPI_ISL_460123	2020-04-08	Massachusetts
EPI_ISL_460277	2020-04-08	Massachusetts
EPI_ISL_467859	2020-03-15	Massachusetts
EPI_ISL_467860	2020-03-15	Massachusetts
EPI_ISL_467863	2020-03-15	Massachusetts
EPI_ISL_491316	2020-06-27	Massachusetts
EPI_ISL_491317	2020-06-26	Massachusetts
EPI_ISL_409067	2020-01-29	Massachusetts
EPI_ISL_424915	2020-03-06	Massachusetts
EPI_ISL_424909	2020-03-05	Massachusetts
EPI_ISL_447843	2020-03-04	Maryland
EPI_ISL_434689	2020-03-15	Maryland
EPI_ISL_434682	2020-03-21	Maryland
EPI_ISL_457790	2020-03-20	Maryland
EPI_ISL_434683	2020-03-14	Maryland
EPI_ISL_434685	2020-03-20	Maryland
EPI_ISL_438222	2020-03-17	Maryland
EPI_ISL_438224	2020-03-26	Maryland
EPI_ISL_457752	2020-03-17	Maryland
EPI_ISL_434686	2020-03-20	Maryland
EPI_ISL_457789	2020-03-16	Maryland
EPI_ISL_438225	2020-03-21	Maryland
EPI_ISL_438226	2020-03-16	Maryland
EPI_ISL_434586	2020-03-19	Maryland
EPI_ISL_434587	2020-03-24	Maryland
EPI_ISL_457754	2020-03-16	Maryland
EPI_ISL_434638	2020-03-19	Maryland
EPI_ISL_434640	2020-03-24	Maryland
EPI_ISL_457791	2020-03-17	Maryland
EPI_ISL_457792	2020-03-15	Maryland
EPI_ISL_457795	2020-03-19	Maryland
EPI_ISL_457798	2020-03-20	Maryland
EPI_ISL_457799	2020-03-11	Maryland
EPI_ISL_457800	2020-03-19	Maryland
EPI_ISL_457803	2020-03-16	Maryland
EPI_ISL_457806	2020-03-16	Maryland
EPI_ISL_457807	2020-03-15	Maryland
EPI_ISL_457808	2020-03-11	Maryland
EPI_ISL_438233	2020-03-08	Maryland
EPI_ISL_438234	2020-03-11	Maryland
EPI_ISL_438235	2020-03-23	Maryland
EPI_ISL_438240	2020-03-26	Maryland
EPI_ISL_438246	2020-03-18	Maryland
EPI_ISL_457766	2020-03-25	Maryland
EPI_ISL_457768	2020-03-14	Maryland
EPI_ISL_457769	2020-03-24	Maryland
EPI_ISL_457811	2020-03-29	Maryland
EPI_ISL_457812	2020-03-18	Maryland
EPI_ISL_457813	2020-03-19	Maryland
EPI_ISL_457816	2020-03-24	Maryland
EPI_ISL_457817	2020-03-24	Maryland
EPI_ISL_457818	2020-03-30	Maryland
EPI_ISL_457819	2020-03-18	Maryland
EPI_ISL_457820	2020-03-16	Maryland
EPI_ISL_457821	2020-03-30	Maryland
EPI_ISL_457783	2020-03-29	Maryland
EPI_ISL_457787	2020-03-30	Maryland
EPI_ISL_481265	2020-03-31	Maryland
EPI_ISL_481266	2020-04-01	Maryland
EPI_ISL_486912	2020-04-01	Maryland
EPI_ISL_481267	2020-04-01	Maryland
EPI_ISL_481268	2020-04-01	Maryland
EPI_ISL_486913	2020-04-01	Maryland
EPI_ISL_481270	2020-04-01	Maryland
EPI_ISL_486914	2020-04-01	Maryland
EPI_ISL_481271	2020-04-02	Maryland
EPI_ISL_481272	2020-04-03	Maryland
EPI_ISL_481273	2020-04-04	Maryland
EPI_ISL_481274	2020-04-04	Maryland
EPI_ISL_486915	2020-04-07	Maryland
EPI_ISL_481275	2020-04-06	Maryland
EPI_ISL_481276	2020-04-07	Maryland
EPI_ISL_481277	2020-04-07	Maryland
EPI_ISL_481278	2020-04-07	Maryland
EPI_ISL_481279	2020-04-07	Maryland
EPI_ISL_481280	2020-04-07	Maryland
EPI_ISL_481281	2020-04-07	Maryland
EPI_ISL_486916	2020-04-07	Maryland
EPI_ISL_486917	2020-04-09	Maryland
EPI_ISL_481282	2020-04-08	Maryland
EPI_ISL_467867	2020-03-13	Maryland
EPI_ISL_454431	2020-03-13	Maryland
EPI_ISL_454435	2020-03-16	Maryland
EPI_ISL_424869	2020-03-04	Maryland
EPI_ISL_426425	2020-03-04	Maryland
EPI_ISL_491907	2020-04-06	Maryland
EPI_ISL_491909	2020-04-16	Maryland
EPI_ISL_424985	2020-03-10	Michigan
EPI_ISL_424990	2020-03-11	Michigan
EPI_ISL_424984	2020-03-11	Michigan
EPI_ISL_436884	2020-03-25	Michigan
EPI_ISL_436822	2020-03-18	Michigan
EPI_ISL_436812	2020-03-13	Michigan
EPI_ISL_436853	2020-03-24	Michigan
EPI_ISL_436856	2020-03-24	Michigan
EPI_ISL_436842	2020-03-23	Michigan
EPI_ISL_436803	2020-03-10	Michigan
EPI_ISL_447168	2020-03-23	Michigan
EPI_ISL_447193	2020-03-22	Michigan
EPI_ISL_447196	2020-03-17	Michigan
EPI_ISL_447212	2020-03-23	Michigan
EPI_ISL_447228	2020-03-17	Michigan
EPI_ISL_447093	2020-03-14	Michigan
EPI_ISL_447105	2020-04-02	Michigan
EPI_ISL_447107	2020-03-14	Michigan
EPI_ISL_447115	2020-04-06	Michigan
EPI_ISL_452272	2020-03-24	Michigan
EPI_ISL_452284	2020-05-01	Michigan
EPI_ISL_452305	2020-03-19	Michigan
EPI_ISL_452322	2020-03-16	Michigan
EPI_ISL_459998	2020-05-06	Michigan
EPI_ISL_460018	2020-03-31	Michigan
EPI_ISL_460026	2020-03-31	Michigan
EPI_ISL_460034	2020-05-06	Michigan
EPI_ISL_460573	2020-05-07	Michigan
EPI_ISL_460582	2020-05-14	Michigan
EPI_ISL_460583	2020-05-12	Michigan
EPI_ISL_462686	2020-04-29	Michigan
EPI_ISL_462691	2020-04-30	Michigan
EPI_ISL_462694	2020-04-29	Michigan
EPI_ISL_462731	2020-04-23	Michigan
EPI_ISL_471685	2020-04-29	Michigan
EPI_ISL_471695	2020-05-14	Michigan
EPI_ISL_471712	2020-05-16	Michigan
EPI_ISL_471713	2020-05-19	Michigan
EPI_ISL_471714	2020-05-20	Michigan
EPI_ISL_471717	2020-05-20	Michigan
EPI_ISL_471739	2020-04-14	Michigan
EPI_ISL_471740	2020-04-14	Michigan
EPI_ISL_471789	2020-04-20	Michigan
EPI_ISL_471820	2020-05-19	Michigan
EPI_ISL_471821	2020-05-19	Michigan
EPI_ISL_471823	2020-05-19	Michigan
EPI_ISL_471826	2020-05-18	Michigan
EPI_ISL_471838	2020-05-13	Michigan
EPI_ISL_471839	2020-05-13	Michigan
EPI_ISL_471842	2020-05-13	Michigan
EPI_ISL_471852	2020-04-17	Michigan
EPI_ISL_471853	2020-04-17	Michigan
EPI_ISL_471856	2020-04-17	Michigan
EPI_ISL_471857	2020-04-21	Michigan
EPI_ISL_471873	2020-05-08	Michigan
EPI_ISL_471878	2020-04-29	Michigan
EPI_ISL_471880	2020-04-29	Michigan
EPI_ISL_471881	2020-04-29	Michigan
EPI_ISL_471887	2020-05-05	Michigan
EPI_ISL_471890	2020-04-29	Michigan
EPI_ISL_471899	2020-05-15	Michigan
EPI_ISL_471900	2020-05-14	Michigan
EPI_ISL_471903	2020-05-16	Michigan
EPI_ISL_471905	2020-05-15	Michigan
EPI_ISL_471906	2020-05-18	Michigan
EPI_ISL_471908	2020-05-18	Michigan
EPI_ISL_476030	2020-05-22	Michigan
EPI_ISL_476048	2020-04-29	Michigan
EPI_ISL_476051	2020-05-26	Michigan
EPI_ISL_476062	2020-05-25	Michigan
EPI_ISL_476063	2020-05-28	Michigan
EPI_ISL_484724	2020-03-27	Michigan
EPI_ISL_484733	2020-03-24	Michigan
EPI_ISL_484789	2020-04-08	Michigan
EPI_ISL_484794	2020-03-31	Michigan
EPI_ISL_484796	2020-04-03	Michigan
EPI_ISL_452108	2020-03-10	Minnesota
EPI_ISL_452113	2020-03-10	Minnesota
EPI_ISL_489900	2020-06-23	Minnesota
EPI_ISL_489903	2020-07-05	Minnesota
EPI_ISL_462845	2020-04-30	Minnesota
EPI_ISL_462850	2020-04-30	Minnesota
EPI_ISL_462854	2020-04-30	Minnesota
EPI_ISL_462855	2020-04-30	Minnesota
EPI_ISL_462860	2020-04-30	Minnesota
EPI_ISL_462886	2020-05-08	Minnesota
EPI_ISL_462902	2020-05-14	Minnesota
EPI_ISL_462904	2020-05-14	Minnesota
EPI_ISL_462905	2020-05-14	Minnesota
EPI_ISL_462911	2020-05-14	Minnesota
EPI_ISL_470748	2020-05-21	Minnesota
EPI_ISL_470751	2020-06-03	Minnesota
EPI_ISL_470760	2020-06-03	Minnesota
EPI_ISL_470761	2020-06-03	Minnesota
EPI_ISL_470766	2020-06-03	Minnesota
EPI_ISL_470768	2020-06-03	Minnesota
EPI_ISL_470775	2020-06-03	Minnesota
EPI_ISL_470777	2020-06-03	Minnesota
EPI_ISL_470778	2020-06-03	Minnesota
EPI_ISL_470780	2020-06-03	Minnesota
EPI_ISL_470789	2020-06-03	Minnesota
EPI_ISL_476709	2020-04-23	Minnesota
EPI_ISL_476711	2020-04-23	Minnesota
EPI_ISL_476712	2020-04-23	Minnesota
EPI_ISL_476719	2020-04-26	Minnesota
EPI_ISL_476720	2020-04-28	Minnesota
EPI_ISL_476729	2020-04-28	Minnesota
EPI_ISL_476732	2020-04-30	Minnesota
EPI_ISL_476753	2020-05-14	Minnesota
EPI_ISL_476754	2020-05-14	Minnesota
EPI_ISL_476765	2020-06-03	Minnesota
EPI_ISL_477273	2020-05-20	Minnesota
EPI_ISL_477277	2020-04-29	Minnesota
EPI_ISL_477283	2020-05-05	Minnesota
EPI_ISL_481241	2020-05-23	Minnesota
EPI_ISL_477292	2020-03-19	Minnesota
EPI_ISL_477293	2020-04-20	Minnesota
EPI_ISL_477294	2020-04-30	Minnesota
EPI_ISL_477299	2020-05-20	Minnesota
EPI_ISL_477300	2020-05-20	Minnesota
EPI_ISL_477303	2020-05-22	Minnesota
EPI_ISL_477305	2020-05-26	Minnesota
EPI_ISL_477307	2020-05-29	Minnesota
EPI_ISL_482946	2020-05-08	Minnesota
EPI_ISL_482947	2020-05-18	Minnesota
EPI_ISL_482950	2020-05-18	Minnesota
EPI_ISL_482952	2020-05-18	Minnesota
EPI_ISL_482955	2020-05-18	Minnesota
EPI_ISL_482970	2020-05-27	Minnesota
EPI_ISL_460050	2020-03-15	Minnesota
EPI_ISL_482973	2020-06-09	Minnesota
EPI_ISL_482976	2020-06-09	Minnesota
EPI_ISL_482977	2020-06-09	Minnesota
EPI_ISL_482978	2020-06-09	Minnesota
EPI_ISL_482980	2020-06-09	Minnesota
EPI_ISL_482983	2020-06-09	Minnesota
EPI_ISL_482984	2020-06-09	Minnesota
EPI_ISL_482985	2020-06-09	Minnesota
EPI_ISL_482986	2020-06-09	Minnesota
EPI_ISL_482999	2020-03-15	Minnesota
EPI_ISL_483008	2020-03-23	Minnesota
EPI_ISL_483012	2020-03-24	Minnesota
EPI_ISL_483014	2020-03-24	Minnesota
EPI_ISL_483017	2020-03-24	Minnesota
EPI_ISL_427281	2020-03-18	Minnesota
EPI_ISL_427286	2020-03-23	Minnesota
EPI_ISL_427287	2020-03-23	Minnesota
EPI_ISL_460058	2020-03-23	Minnesota
EPI_ISL_460059	2020-03-23	Minnesota
EPI_ISL_450754	2020-03-30	Minnesota
EPI_ISL_437361	2020-03-29	Minnesota
EPI_ISL_450759	2020-03-30	Minnesota
EPI_ISL_450762	2020-03-30	Minnesota
EPI_ISL_450765	2020-03-26	Minnesota
EPI_ISL_450768	2020-03-30	Minnesota
EPI_ISL_450770	2020-03-20	Minnesota
EPI_ISL_450772	2020-03-30	Minnesota
EPI_ISL_450773	2020-03-30	Minnesota
EPI_ISL_437364	2020-04-02	Minnesota
EPI_ISL_437368	2020-04-08	Minnesota
EPI_ISL_437374	2020-04-10	Minnesota
EPI_ISL_460068	2020-03-15	Minnesota
EPI_ISL_460078	2020-03-16	Minnesota
EPI_ISL_443183	2020-04-05	Minnesota
EPI_ISL_443254	2020-04-02	Minnesota
EPI_ISL_443256	2020-04-03	Minnesota
EPI_ISL_476909	2020-03-11	Minnesota
EPI_ISL_491318	2020-06-26	Minnesota
EPI_ISL_418049	2020-03-13	Minnesota
EPI_ISL_421683	2020-03-15	Minnesota
EPI_ISL_421686	2020-03-17	Minnesota
EPI_ISL_417194	2020-03-12	Minnesota
EPI_ISL_417196	2020-03-11	Minnesota
EPI_ISL_417469	2020-03-12	Minnesota
EPI_ISL_417475	2020-03-12	Minnesota
EPI_ISL_493069	2020-06-19	Missouri
EPI_ISL_476021	2020-06-19	Missouri
EPI_ISL_467301	2020-06-08	Missouri
EPI_ISL_493070	2020-06-19	Missouri
EPI_ISL_467302	2020-06-08	Missouri
EPI_ISL_493071	2020-06-19	Missouri
EPI_ISL_493072	2020-06-19	Missouri
EPI_ISL_493073	2020-06-19	Missouri
EPI_ISL_493074	2020-06-19	Missouri
EPI_ISL_493075	2020-06-19	Missouri
EPI_ISL_493076	2020-06-19	Missouri
EPI_ISL_493077	2020-06-19	Missouri
EPI_ISL_467304	2020-06-08	Missouri
EPI_ISL_493079	2020-06-19	Missouri
EPI_ISL_493080	2020-06-19	Missouri
EPI_ISL_493081	2020-06-19	Missouri
EPI_ISL_493082	2020-06-19	Missouri
EPI_ISL_493083	2020-06-19	Missouri
EPI_ISL_476019	2020-06-19	Missouri
EPI_ISL_493084	2020-06-19	Missouri
EPI_ISL_493085	2020-06-19	Missouri
EPI_ISL_476018	2020-06-19	Missouri
EPI_ISL_424870	2020-03-06	Missouri
EPI_ISL_424872	2020-03-08	North Carolina
EPI_ISL_426428	2020-03-08	North Carolina
EPI_ISL_424873	2020-03-07	North Carolina
EPI_ISL_424353	2020-03-10	North Carolina
EPI_ISL_424987	2020-03-11	North Carolina
EPI_ISL_424354	2020-03-10	North Carolina
EPI_ISL_454414	2020-03-14	North Carolina
EPI_ISL_454415	2020-03-14	North Carolina
EPI_ISL_454796	2020-03-15	North Carolina
EPI_ISL_458007	2020-03-22	North Carolina
EPI_ISL_454829	2020-04-19	North Carolina
EPI_ISL_454798	2020-03-15	North Carolina
EPI_ISL_454799	2020-03-15	North Carolina
EPI_ISL_454800	2020-03-15	North Carolina
EPI_ISL_454803	2020-03-15	North Carolina
EPI_ISL_454804	2020-03-15	North Carolina
EPI_ISL_454825	2020-03-18	North Carolina
EPI_ISL_454806	2020-03-15	North Carolina
EPI_ISL_454807	2020-03-15	North Carolina
EPI_ISL_454808	2020-03-15	North Carolina
EPI_ISL_454809	2020-04-15	North Carolina
EPI_ISL_454810	2020-04-15	North Carolina
EPI_ISL_454811	2020-04-17	North Carolina
EPI_ISL_454812	2020-04-17	North Carolina
EPI_ISL_454813	2020-04-17	North Carolina
EPI_ISL_454814	2020-03-17	North Carolina
EPI_ISL_454815	2020-03-17	North Carolina
EPI_ISL_454816	2020-03-17	North Carolina
EPI_ISL_454817	2020-03-17	North Carolina
EPI_ISL_454818	2020-03-17	North Carolina
EPI_ISL_454819	2020-03-18	North Carolina
EPI_ISL_454820	2020-03-18	North Carolina
EPI_ISL_454821	2020-03-18	North Carolina
EPI_ISL_454822	2020-03-18	North Carolina
EPI_ISL_454824	2020-03-19	North Carolina
EPI_ISL_454827	2020-03-19	North Carolina
EPI_ISL_454828	2020-03-19	North Carolina
EPI_ISL_458294	2020-04-08	North Carolina
EPI_ISL_458295	2020-04-08	North Carolina
EPI_ISL_458296	2020-04-11	North Carolina
EPI_ISL_458291	2020-04-03	North Carolina
EPI_ISL_458292	2020-05-07	North Carolina
EPI_ISL_458293	2020-05-08	North Carolina
EPI_ISL_458002	2020-04-20	North Carolina
EPI_ISL_458003	2020-04-21	North Carolina
EPI_ISL_458006	2020-04-22	North Carolina
EPI_ISL_466652	2020-05-05	Nebraska
EPI_ISL_475176	2020-05-02	Nebraska
EPI_ISL_475178	2020-05-04	Nebraska
EPI_ISL_475180	2020-05-04	Nebraska
EPI_ISL_475186	2020-05-04	Nebraska
EPI_ISL_466666	2020-05-04	Nebraska
EPI_ISL_466667	2020-05-04	Nebraska
EPI_ISL_466668	2020-05-04	Nebraska
EPI_ISL_466669	2020-05-04	Nebraska
EPI_ISL_475197	2020-05-04	Nebraska
EPI_ISL_475200	2020-05-04	Nebraska
EPI_ISL_475201	2020-05-04	Nebraska
EPI_ISL_466675	2020-05-04	Nebraska
EPI_ISL_475204	2020-05-04	Nebraska
EPI_ISL_466661	2020-05-04	Nebraska
EPI_ISL_475209	2020-05-03	Nebraska
EPI_ISL_475213	2020-05-05	Nebraska
EPI_ISL_475216	2020-05-04	Nebraska
EPI_ISL_475217	2020-05-05	Nebraska
EPI_ISL_475219	2020-05-05	Nebraska
EPI_ISL_475220	2020-05-05	Nebraska
EPI_ISL_475222	2020-05-05	Nebraska
EPI_ISL_466678	2020-05-05	Nebraska
EPI_ISL_475225	2020-05-05	Nebraska
EPI_ISL_475227	2020-05-05	Nebraska
EPI_ISL_475228	2020-05-05	Nebraska
EPI_ISL_475231	2020-05-05	Nebraska
EPI_ISL_475233	2020-05-05	Nebraska
EPI_ISL_466680	2020-05-05	Nebraska
EPI_ISL_424875	2020-03-07	Nebraska
EPI_ISL_452116	2020-03-03	New Jersey
EPI_ISL_452117	2020-03-10	New Jersey
EPI_ISL_421718	2020-03-18	New Jersey
EPI_ISL_421723	2020-03-18	New Jersey
EPI_ISL_430356	2020-04-02	New Jersey
EPI_ISL_430371	2020-04-08	New Jersey
EPI_ISL_430394	2020-04-09	New Jersey
EPI_ISL_430405	2020-04-10	New Jersey
EPI_ISL_430428	2020-04-13	New Jersey
EPI_ISL_435483	2020-03-30	New Jersey
EPI_ISL_435488	2020-04-22	New Jersey
EPI_ISL_435519	2020-04-20	New Jersey
EPI_ISL_444655	2020-03-30	New Jersey
EPI_ISL_444670	2020-03-30	New Jersey
EPI_ISL_444742	2020-04-02	New Jersey
EPI_ISL_444744	2020-04-02	New Jersey
EPI_ISL_444755	2020-04-02	New Jersey
EPI_ISL_444780	2020-03-18	New Jersey
EPI_ISL_450399	2020-03-30	New Jersey
EPI_ISL_421584	2020-03-18	New Jersey
EPI_ISL_421585	2020-03-18	New Jersey
EPI_ISL_456113	2020-04-26	New Jersey
EPI_ISL_450049	2020-03-15	New Jersey
EPI_ISL_467875	2020-03-16	New Jersey
EPI_ISL_467876	2020-03-13	New Jersey
EPI_ISL_467878	2020-03-13	New Jersey
EPI_ISL_467879	2020-03-15	New Jersey
EPI_ISL_467880	2020-03-14	New Jersey
EPI_ISL_467881	2020-03-14	New Jersey
EPI_ISL_467882	2020-03-14	New Jersey
EPI_ISL_467883	2020-03-14	New Jersey
EPI_ISL_484932	2020-06-25	New Jersey
EPI_ISL_491319	2020-06-28	New Jersey
EPI_ISL_424901	2020-03-04	New Jersey
EPI_ISL_424878	2020-03-04	New Jersey
EPI_ISL_452109	2020-03-09	New Mexico
EPI_ISL_467590	2020-03-14	New Mexico
EPI_ISL_467591	2020-03-14	New Mexico
EPI_ISL_467594	2020-03-15	New Mexico
EPI_ISL_467598	2020-03-14	New Mexico
EPI_ISL_467599	2020-03-12	New Mexico
EPI_ISL_467600	2020-03-12	New Mexico
EPI_ISL_467608	2020-03-15	New Mexico
EPI_ISL_467610	2020-03-17	New Mexico
EPI_ISL_467611	2020-03-17	New Mexico
EPI_ISL_467612	2020-03-17	New Mexico
EPI_ISL_467529	2020-03-23	New Mexico
EPI_ISL_467633	2020-04-01	New Mexico
EPI_ISL_467545	2020-04-01	New Mexico
EPI_ISL_467644	2020-04-02	New Mexico
EPI_ISL_467551	2020-04-02	New Mexico
EPI_ISL_467552	2020-04-02	New Mexico
EPI_ISL_467652	2020-04-02	New Mexico
EPI_ISL_467563	2020-04-03	New Mexico
EPI_ISL_467564	2020-04-02	New Mexico
EPI_ISL_467653	2020-04-03	New Mexico
EPI_ISL_467654	2020-04-03	New Mexico
EPI_ISL_467572	2020-04-03	New Mexico
EPI_ISL_467577	2020-04-02	New Mexico
EPI_ISL_467661	2020-04-04	New Mexico
EPI_ISL_467583	2020-04-04	New Mexico
EPI_ISL_485872	2020-04-05	New Mexico
EPI_ISL_467945	2020-04-21	New York
EPI_ISL_424943	2020-04-01	New York
EPI_ISL_424965	2020-04-01	New York
EPI_ISL_426617	2020-04-01	New York
EPI_ISL_426621	2020-04-01	New York
EPI_ISL_427494	2020-04-01	New York
EPI_ISL_427495	2020-04-01	New York
EPI_ISL_427496	2020-04-01	New York
EPI_ISL_427507	2020-04-03	New York
EPI_ISL_427511	2020-04-03	New York
EPI_ISL_427635	2020-04-05	New York
EPI_ISL_427636	2020-04-05	New York
EPI_ISL_427637	2020-04-06	New York
EPI_ISL_427638	2020-04-06	New York
EPI_ISL_428765	2020-04-03	New York
EPI_ISL_428778	2020-04-06	New York
EPI_ISL_428798	2020-04-05	New York
EPI_ISL_430323	2020-04-10	New York
EPI_ISL_416831	2020-03-16	New York
EPI_ISL_430366	2020-04-08	New York
EPI_ISL_430376	2020-04-08	New York
EPI_ISL_430395	2020-04-09	New York
EPI_ISL_430404	2020-04-10	New York
EPI_ISL_430413	2020-04-09	New York
EPI_ISL_430417	2020-04-13	New York
EPI_ISL_430421	2020-04-13	New York
EPI_ISL_430426	2020-04-13	New York
EPI_ISL_430433	2020-04-13	New York
EPI_ISL_430434	2020-04-12	New York
EPI_ISL_419702	2020-03-18	New York
EPI_ISL_435496	2020-04-15	New York
EPI_ISL_435515	2020-04-20	New York
EPI_ISL_435517	2020-04-20	New York
EPI_ISL_435524	2020-04-20	New York
EPI_ISL_435544	2020-04-22	New York
EPI_ISL_435546	2020-04-24	New York
EPI_ISL_444619	2020-03-30	New York
EPI_ISL_444643	2020-03-29	New York
EPI_ISL_444651	2020-03-29	New York
EPI_ISL_420571	2020-03-18	New York
EPI_ISL_444688	2020-03-30	New York
EPI_ISL_444690	2020-03-30	New York
EPI_ISL_444696	2020-03-30	New York
EPI_ISL_444715	2020-04-03	New York
EPI_ISL_444754	2020-04-02	New York
EPI_ISL_444759	2020-04-03	New York
EPI_ISL_444770	2020-04-10	New York
EPI_ISL_444772	2020-04-10	New York
EPI_ISL_444786	2020-03-17	New York
EPI_ISL_451430	2020-03-26	New York
EPI_ISL_451444	2020-03-20	New Jersey
EPI_ISL_451451	2020-03-26	New York
EPI_ISL_451476	2020-03-20	New York
EPI_ISL_456011	2020-03-27	New York
EPI_ISL_456020	2020-03-25	New York
EPI_ISL_467377	2020-05-03	New York
EPI_ISL_467379	2020-05-08	New York
EPI_ISL_467384	2020-05-10	New York
EPI_ISL_467398	2020-04-28	New York
EPI_ISL_467400	2020-05-07	New York
EPI_ISL_467405	2020-05-08	New York
EPI_ISL_421389	2020-03-18	New York
EPI_ISL_421425	2020-03-17	New York
EPI_ISL_421433	2020-03-17	New York
EPI_ISL_421635	2020-03-21	New York
EPI_ISL_422500	2020-03-19	New York
EPI_ISL_422560	2020-03-22	New York
EPI_ISL_450005	2020-03-21	New York
EPI_ISL_450048	2020-03-15	New York
EPI_ISL_450075	2020-03-19	New York
EPI_ISL_450134	2020-03-19	New York
EPI_ISL_450151	2020-03-20	New York
EPI_ISL_467903	2020-03-15	New York
EPI_ISL_436064	2020-03-17	New York
EPI_ISL_436048	2020-03-05	New York
EPI_ISL_484959	2020-06-23	New York
EPI_ISL_484972	2020-06-27	New York
EPI_ISL_491320	2020-06-28	New York
EPI_ISL_491321	2020-06-26	New York
EPI_ISL_427568	2020-03-15	New York
EPI_ISL_427574	2020-03-15	New York
EPI_ISL_427596	2020-03-16	New York
EPI_ISL_427617	2020-03-16	New York
EPI_ISL_426294	2020-03-11	New York
EPI_ISL_414476	2020-02-29	New York
EPI_ISL_427288	2020-03-31	Ohio
EPI_ISL_427290	2020-03-31	Ohio
EPI_ISL_421660	2020-04-01	Ohio
EPI_ISL_421675	2020-04-01	Ohio
EPI_ISL_426431	2020-03-07	Ohio
EPI_ISL_424880	2020-03-08	Ohio
EPI_ISL_437535	2020-04-08	Oregon
EPI_ISL_437521	2020-04-08	Oregon
EPI_ISL_437523	2020-04-07	Oregon
EPI_ISL_437524	2020-04-16	Oregon
EPI_ISL_468095	2020-04-23	Oregon
EPI_ISL_468109	2020-05-04	Oregon
EPI_ISL_468110	2020-05-05	Oregon
EPI_ISL_468117	2020-05-06	Oregon
EPI_ISL_468120	2020-05-13	Oregon
EPI_ISL_468126	2020-05-09	Oregon
EPI_ISL_482295	2020-04-04	Oregon
EPI_ISL_482300	2020-03-31	Oregon
EPI_ISL_482303	2020-04-03	Oregon
EPI_ISL_482306	2020-03-26	Oregon
EPI_ISL_482307	2020-03-28	Oregon
EPI_ISL_482308	2020-03-28	Oregon
EPI_ISL_482309	2020-03-30	Oregon
EPI_ISL_482311	2020-03-29	Oregon
EPI_ISL_482312	2020-03-29	Oregon
EPI_ISL_486830	2020-03-29	Oregon
EPI_ISL_482313	2020-03-23	Oregon
EPI_ISL_486831	2020-03-26	Oregon
EPI_ISL_482320	2020-03-27	Oregon
EPI_ISL_482321	2020-03-27	Oregon
EPI_ISL_482323	2020-03-18	Oregon
EPI_ISL_482324	2020-03-19	Oregon
EPI_ISL_482325	2020-03-20	Oregon
EPI_ISL_482327	2020-03-21	Oregon
EPI_ISL_482330	2020-03-24	Oregon
EPI_ISL_482332	2020-03-24	Oregon
EPI_ISL_482333	2020-03-25	Oregon
EPI_ISL_482340	2020-04-13	Oregon
EPI_ISL_482342	2020-04-13	Oregon
EPI_ISL_482344	2020-04-12	Oregon
EPI_ISL_482348	2020-04-16	Oregon
EPI_ISL_482349	2020-04-16	Oregon
EPI_ISL_482350	2020-04-17	Oregon
EPI_ISL_482355	2020-04-18	Oregon
EPI_ISL_482357	2020-04-19	Oregon
EPI_ISL_482360	2020-04-20	Oregon
EPI_ISL_482364	2020-04-20	Oregon
EPI_ISL_482374	2020-04-23	Oregon
EPI_ISL_482382	2020-04-26	Oregon
EPI_ISL_482387	2020-04-27	Oregon
EPI_ISL_482390	2020-04-28	Oregon
EPI_ISL_482393	2020-04-29	Oregon
EPI_ISL_482398	2020-05-01	Oregon
EPI_ISL_482401	2020-05-02	Oregon
EPI_ISL_482402	2020-05-02	Oregon
EPI_ISL_482403	2020-05-02	Oregon
EPI_ISL_482404	2020-05-02	Oregon
EPI_ISL_482406	2020-05-03	Oregon
EPI_ISL_482407	2020-05-04	Oregon
EPI_ISL_482408	2020-05-04	Oregon
EPI_ISL_482410	2020-05-05	Oregon
EPI_ISL_482412	2020-05-05	Oregon
EPI_ISL_482415	2020-05-06	Oregon
EPI_ISL_482417	2020-05-07	Oregon
EPI_ISL_482418	2020-05-08	Oregon
EPI_ISL_482419	2020-05-08	Oregon
EPI_ISL_482420	2020-05-08	Oregon
EPI_ISL_482422	2020-05-11	Oregon
EPI_ISL_482424	2020-05-12	Oregon
EPI_ISL_482425	2020-05-12	Oregon
EPI_ISL_482427	2020-05-13	Oregon
EPI_ISL_482428	2020-05-13	Oregon
EPI_ISL_482429	2020-05-13	Oregon
EPI_ISL_482430	2020-05-13	Oregon
EPI_ISL_482431	2020-05-14	Oregon
EPI_ISL_482434	2020-05-14	Oregon
EPI_ISL_482435	2020-05-14	Oregon
EPI_ISL_482437	2020-05-16	Oregon
EPI_ISL_482438	2020-05-17	Oregon
