strain	date	country
EPI_ISL_437836	2020-04-02	Idaho
EPI_ISL_437837	2020-04-02	Idaho
EPI_ISL_437838	2020-04-02	Idaho
EPI_ISL_444523	2020-03-17	Illinois
EPI_ISL_444588	2020-03-21	Illinois
EPI_ISL_444589	2020-03-20	Illinois
EPI_ISL_444593	2020-03-20	Illinois
EPI_ISL_444594	2020-03-20	Illinois
EPI_ISL_444596	2020-03-20	Illinois
EPI_ISL_444598	2020-03-19	Illinois
EPI_ISL_444601	2020-03-21	Illinois
EPI_ISL_444604	2020-03-21	Illinois
EPI_ISL_444605	2020-03-21	Illinois
EPI_ISL_444607	2020-03-21	Illinois
EPI_ISL_444552	2020-03-18	Illinois
EPI_ISL_444555	2020-03-18	Illinois
EPI_ISL_444556	2020-03-18	Illinois
EPI_ISL_444560	2020-03-18	Illinois
EPI_ISL_444567	2020-03-18	Illinois
EPI_ISL_444569	2020-03-16	Illinois
EPI_ISL_444575	2020-03-19	Illinois
EPI_ISL_444578	2020-03-19	Illinois
EPI_ISL_444580	2020-03-19	Illinois
EPI_ISL_444583	2020-03-19	Illinois
EPI_ISL_444586	2020-03-21	Illinois
EPI_ISL_422961	2020-03-13	Illinois
EPI_ISL_424173	2020-03-14	Illinois
EPI_ISL_450703	2020-04-15	Illinois
EPI_ISL_450709	2020-04-17	Illinois
EPI_ISL_450711	2020-04-14	Illinois
EPI_ISL_450712	2020-04-15	Illinois
EPI_ISL_450714	2020-04-18	Illinois
EPI_ISL_450715	2020-04-18	Illinois
EPI_ISL_450719	2020-04-15	Illinois
EPI_ISL_450720	2020-04-14	Illinois
EPI_ISL_450722	2020-04-14	Illinois
EPI_ISL_480361	2020-05-22	Illinois
EPI_ISL_480362	2020-05-21	Illinois
EPI_ISL_480365	2020-05-22	Illinois
EPI_ISL_480367	2020-05-23	Illinois
EPI_ISL_484853	2020-06-07	Illinois
EPI_ISL_484862	2020-06-01	Illinois
EPI_ISL_484878	2020-05-31	Illinois
EPI_ISL_484881	2020-06-01	Illinois
EPI_ISL_484882	2020-05-30	Illinois
