host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,102,complex,59,100,59/100,80
1,102,none,7,100,7/100,80
1,102,trans,14,100,14/100,80
1,105,complex,50,100,50/100,68
1,105,none,6,100,6/100,68
1,105,trans,12,100,12/100,68
1,107,complex,97,100,97/100,99
1,107,none,2,100,2/100,99
1,2,complex,100,100,100/100,100
1,201,complex,62,100,62/100,69
1,201,none,7,100,7/100,69
1,4,complex,90,100,90/100,97
1,4,none,7,100,7/100,97
1,5,complex,78,100,78/100,82
1,5,none,4,100,4/100,82
102,107,complex,35,100,35/100,53
102,107,none,12,100,12/100,53
102,2,complex,47,100,47/100,64
102,2,none,7,100,7/100,64
102,4,complex,89,100,89/100,94
102,4,none,5,100,5/100,94
105,107,complex,38,100,38/100,51
105,107,none,10,100,10/100,51
105,2,complex,36,100,36/100,55
105,2,none,10,100,10/100,55
105,4,complex,31,100,31/100,57
105,4,none,19,100,19/100,57
105,52,complex,97,100,97/100,99
105,52,none,2,100,2/100,99
107,102,trans,6,100,6/100,53
107,105,trans,3,100,3/100,51
107,2,complex,85,100,85/100,95
107,2,none,10,100,10/100,95
107,240,complex,95,100,95/100,97
107,240,none,2,100,2/100,97
107,283,complex,59,100,59/100,60
107,283,none,1,100,1/100,60
107,4,complex,100,100,100/100,100
107,5,complex,91,100,91/100,95
107,5,none,4,100,4/100,95
107,7,complex,49,100,49/100,52
107,7,none,3,100,3/100,52
142,2,complex,100,100,100/100,100
142,202,complex,81,100,81/100,91
142,202,none,10,100,10/100,91
142,3,complex,60,100,60/100,78
142,3,none,18,100,18/100,78
142,4,complex,68,100,68/100,83
142,4,none,15,100,15/100,83
142,5,complex,48,100,48/100,71
142,5,none,23,100,23/100,71
2,102,trans,10,100,10/100,64
2,105,trans,9,100,9/100,55
2,202,complex,100,100,100/100,100
2,3,complex,97,100,97/100,97
2,4,complex,100,100,100/100,100
2,5,complex,99,100,99/100,99
201,283,complex,73,100,73/100,88
201,283,none,15,100,15/100,88
201,3,complex,42,100,42/100,56
201,3,none,14,100,14/100,56
201,4,complex,100,100,100/100,100
201,7,complex,70,100,70/100,84
201,7,none,14,100,14/100,84
202,3,complex,72,100,72/100,85
202,3,none,13,100,13/100,85
202,4,complex,59,100,59/100,69
202,4,none,10,100,10/100,69
240,4,complex,66,100,66/100,90
240,4,none,3,100,3/100,90
283,3,complex,81,100,81/100,87
283,3,none,6,100,6/100,87
283,4,complex,100,100,100/100,100
283,7,complex,90,100,90/100,94
283,7,none,4,100,4/100,94
3,4,complex,78,100,78/100,85
3,4,none,7,100,7/100,85
3,7,complex,76,100,76/100,89
3,7,none,13,100,13/100,89
4,105,trans,7,100,7/100,57
4,240,trans,21,100,21/100,90
4,5,complex,88,100,88/100,96
4,5,none,8,100,8/100,96
4,7,complex,91,100,91/100,94
4,7,none,2,100,2/100,94
4,7,trans,1,100,1/100,94
