strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_450200,Germany,Germany,Germany,Germany,Austria,Germany,Germany,Germany,Germany,Italy,Germany,Germany
EPI_ISL_450209,Germany,Germany,Germany,Germany,Germany,Italy,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_450203,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_457998,Oman,Germany,Spain,Spain,Spain,Spain,Spain,Oman,Italy,Spain,SaudiArabia,Spain
EPI_ISL_450198,Germany,Germany,Germany,Germany,Germany,Belgium,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_420032,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_417434,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_443294,France,France,Switzerland,DemocraticRepublicoftheCongo,France,France,France,France,France,France,France,DemocraticRepublicoftheCongo
EPI_ISL_451830,Switzerland,France,Switzerland,DemocraticRepublicoftheCongo,France,France,France,France,France,France,France,DemocraticRepublicoftheCongo
EPI_ISL_447240,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Finland,DemocraticRepublicoftheCongo
EPI_ISL_447248,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447235,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_447232,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo
EPI_ISL_434657,Sweden,Spain,Russia,Spain,Spain,Spain,Sweden,UnitedArabEmirates,Sweden,Spain,Spain,Spain
EPI_ISL_444975,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_426365,Mexico,Spain,Mexico,Mexico,Mexico,Spain,Spain,Mexico,Mexico,Mexico,Mexico,Mexico
EPI_ISL_424345,Mexico,Spain,UnitedKingdom,Mexico,Mexico,Spain,Spain,Mexico,Mexico,Mexico,Mexico,Mexico
EPI_ISL_454533,India,Spain,Portugal,India,Mexico,Argentina,India,India,India,Spain,Chile,India
EPI_ISL_445252,Chile,Spain,Chile,Spain,Spain,Chile,SaudiArabia,Chile,Chile,Spain,Chile,Spain
EPI_ISL_438055,Austria,UnitedKingdom,Hungary,Mexico,Spain,Spain,Austria,UnitedKingdom,Austria,Spain,Spain,Spain
EPI_ISL_423438,UnitedKingdom,UnitedKingdom,Spain,UnitedKingdom,UnitedKingdom,Spain,Georgia,UnitedKingdom,Portugal,Mexico,UnitedKingdom,Spain
EPI_ISL_421495,Portugal,Spain,Portugal,UnitedKingdom,Spain,Spain,Spain,Chile,Portugal,Portugal,Chile,Spain
EPI_ISL_462997,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_447756,Colombia,Spain,Portugal,Spain,UnitedKingdom,Spain,Spain,Chile,India,Spain,Colombia,Spain
EPI_ISL_452578,Spain,Spain,Spain,Spain,Spain,Spain,Hungary,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452480,Spain,Spain,Spain,Spain,Spain,Chile,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_444973,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_435128,UnitedArabEmirates,Sweden,Italy,Russia,Brazil,Sweden,Sweden,UnitedArabEmirates,Italy,Austria,Italy,Russia
EPI_ISL_454900,Sweden,Sweden,Italy,Russia,France,Sweden,Sweden,UnitedArabEmirates,Italy,Austria,Italy,Sweden
EPI_ISL_428879,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_428870,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
EPI_ISL_428960,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_429734,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Norway,Luxembourg,UnitedArabEmirates,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_457994,Oman,Italy,Oman,Austria,Italy,China,Austria,Oman,Austria,Oman,Austria,Austria
EPI_ISL_418260,Italy,Italy,Italy,Poland,Italy,Sweden,Italy,Luxembourg,Italy,Italy,Italy,Russia
EPI_ISL_455446,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_455445,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
EPI_ISL_437354,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Belgium,Netherlands,Bangladesh,DemocraticRepublicoftheCongo,Luxembourg,France,DemocraticRepublicoftheCongo,Belgium,Switzerland,DemocraticRepublicoftheCongo
EPI_ISL_450519,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Luxembourg,Latvia,Latvia,France,Italy,Latvia
EPI_ISL_435146,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_435147,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_437472,SaudiArabia,SaudiArabia,Italy,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Chile,CzechRepublic,India,SaudiArabia,SaudiArabia
EPI_ISL_421655,Latvia,SaudiArabia,Austria,Germany,Latvia,Latvia,Taiwan,Latvia,Germany,SaudiArabia,Germany,Austria
EPI_ISL_437752,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,BosniaandHerzegovina,SaudiArabia,India,Luxembourg,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_454831,India,China,India,India,India,India,SaudiArabia,India,India,India,SaudiArabia,India
EPI_ISL_464092,Taiwan,China,Italy,Taiwan,Taiwan,China,Taiwan,China,Taiwan,China,China,Taiwan
EPI_ISL_417420,China,China,Israel,Israel,Sweden,Israel,Israel,Israel,China,China,NewZealand,Canada
EPI_ISL_452354,Italy,China,Taiwan,Taiwan,Norway,China,China,China,China,China,China,China
