strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_437478,SaudiArabia,SaudiArabia,SaudiArabia,Finland,India,SaudiArabia,SaudiArabia,Chile,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_447056,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Germany,Georgia,Georgia
EPI_ISL_455603,Australia,Australia,Australia,Australia,Australia,Germany,China,China,Chile,Australia,Germany,Australia
EPI_ISL_416425,China,China,China,Malaysia,Brazil,China,China,China,China,China,China,China
EPI_ISL_411951,Sweden,Taiwan,Thailand,Thailand,China,UnitedKingdom,China,China,China,SouthKorea,China,Singapore
EPI_ISL_406031,Taiwan,Taiwan,China,Thailand,China,UnitedKingdom,China,China,China,Taiwan,China,Thailand
EPI_ISL_419252,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419250,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419221,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong
EPI_ISL_417193,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_450405,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_414517,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419214,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_417188,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_417187,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_447915,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Singapore,Thailand,Thailand
EPI_ISL_437619,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_406596,China,France,France,France,China,HongKong,France,France,France,France,France,France
EPI_ISL_406597,China,France,France,France,France,HongKong,France,France,France,France,France,France
EPI_ISL_466907,Germany,France,France,France,UnitedArabEmirates,China,France,France,Taiwan,France,France,France
EPI_ISL_411219,France,France,France,France,China,France,France,Singapore,France,France,France,France
EPI_ISL_413018,SouthKorea,USA,China,Thailand,China,HongKong,China,China,Thailand,SouthKorea,China,Thailand
EPI_ISL_406036,China,USA,China,Thailand,China,USA,Thailand,Thailand,USA,Thailand,Thailand,Singapore
EPI_ISL_410713,Singapore,Singapore,China,Thailand,China,USA,Thailand,Singapore,Singapore,Singapore,Thailand,Singapore
EPI_ISL_447917,Thailand,Thailand,Taiwan,Thailand,China,France,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437624,Thailand,Thailand,China,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_408977,China,Australia,Australia,Australia,Australia,Australia,Australia,China,China,Australia,Australia,Thailand
EPI_ISL_416411,Australia,Australia,Thailand,Australia,HongKong,Australia,Australia,Australia,China,Australia,Australia,China
EPI_ISL_437617,Thailand,Singapore,Thailand,Thailand,Thailand,Thailand,Thailand,Singapore,Thailand,Thailand,Thailand,Thailand
EPI_ISL_410536,Singapore,Singapore,Singapore,China,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_410716,Singapore,Singapore,USA,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_410715,Singapore,Singapore,Taiwan,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_457987,Oman,China,China,China,Taiwan,Brazil,China,China,USA,Oman,China,China
EPI_ISL_454961,China,China,China,China,China,China,China,China,China,Oman,China,China
EPI_ISL_425117,SouthKorea,China,SouthKorea,China,China,Singapore,China,China,Netherlands,SouthKorea,China,Thailand
EPI_ISL_454992,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_426629,Taiwan,Taiwan,Japan,Japan,China,Taiwan,Italy,Taiwan,China,Taiwan,China,Italy
EPI_ISL_419241,HongKong,Italy,Japan,HongKong,HongKong,NewZealand,Italy,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_451299,China,Italy,Japan,Italy,China,Italy,Italy,Taiwan,Japan,Italy,Italy,Italy
EPI_ISL_451302,China,Italy,Italy,Italy,Georgia,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_412974,Italy,Italy,Italy,Italy,Taiwan,Taiwan,Italy,Italy,Italy,Italy,Norway,Italy
EPI_ISL_410546,China,Italy,Japan,Italy,Japan,NewZealand,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_424352,China,Italy,Italy,Japan,China,UnitedKingdom,Italy,Taiwan,China,China,China,Italy
EPI_ISL_457730,Taiwan,Italy,Taiwan,Italy,Taiwan,Taiwan,Norway,Taiwan,Taiwan,Taiwan,Norway,Norway
EPI_ISL_451298,China,Italy,Italy,Norway,Italy,Italy,Italy,Norway,Italy,Italy,Italy,Italy
EPI_ISL_415641,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Norway,Georgia,Georgia,Georgia
EPI_ISL_420135,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
EPI_ISL_417488,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
EPI_ISL_420136,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway,Norway
EPI_ISL_415643,Georgia,Georgia,Georgia,Georgia,Australia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia
EPI_ISL_455452,Poland,Georgia,Norway,Norway,Poland,NewZealand,Italy,Norway,Italy,SouthKorea,Italy,Norway
EPI_ISL_416480,Georgia,Georgia,Georgia,Georgia,UnitedKingdom,Greece,Georgia,Georgia,Georgia,Georgia,Italy,Georgia
EPI_ISL_417486,Norway,Georgia,Italy,Norway,Taiwan,UnitedKingdom,Norway,Norway,Norway,China,Norway,Norway
EPI_ISL_412873,SouthKorea,USA,China,SouthKorea,China,China,USA,China,China,China,China,China
EPI_ISL_452535,Spain,USA,NewZealand,Spain,Spain,Spain,USA,Spain,NewZealand,Spain,China,Spain
EPI_ISL_406223,China,USA,USA,China,China,China,USA,China,China,China,China,USA
EPI_ISL_450342,Bangladesh,Bangladesh,Bangladesh,China,SaudiArabia,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_430442,Malaysia,Bangladesh,China,Malaysia,Malaysia,Norway,China,USA,Chile,Japan,Singapore,Malaysia
EPI_ISL_445244,Bangladesh,Bangladesh,Georgia,USA,Bangladesh,Bangladesh,Colombia,Chile,Morocco,France,Italy,Chile
EPI_ISL_451400,Morocco,Bangladesh,Italy,Austria,Netherlands,Bangladesh,France,Chile,Morocco,Italy,Netherlands,Morocco
EPI_ISL_455973,Belgium,Belgium,Chile,Spain,Spain,Spain,Spain,Italy,Italy,Italy,Netherlands,Italy
EPI_ISL_461335,Netherlands,Italy,France,France,Netherlands,Italy,Netherlands,Netherlands,BosniaandHerzegovina,Netherlands,Netherlands,Netherlands
EPI_ISL_460090,Italy,Italy,Italy,Italy,Italy,Italy,Switzerland,Italy,Italy,Italy,Italy,Italy
EPI_ISL_445295,Chile,Chile,UnitedKingdom,Greece,Chile,Greece,Morocco,Chile,Chile,Chile,UnitedKingdom,Chile
EPI_ISL_452670,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_456353,NewZealand,NewZealand,NewZealand,Denmark,Chile,NewZealand,NewZealand,Italy,Hungary,NewZealand,NewZealand,France
EPI_ISL_435431,Hungary,NewZealand,NewZealand,Senegal,Portugal,Belgium,Netherlands,Switzerland,Hungary,NewZealand,NewZealand,Italy
EPI_ISL_417421,Italy,Australia,Italy,Italy,Italy,France,Germany,Italy,Italy,Italy,Italy,Italy
EPI_ISL_430669,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_427002,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_430598,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_456455,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_426910,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_415642,Georgia,Belgium,Chile,Austria,Italy,Italy,Colombia,Spain,Oman,Italy,Italy,Italy
EPI_ISL_455978,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,BosniaandHerzegovina,Belgium,Belgium,Belgium,Belgium
EPI_ISL_445343,Chile,Chile,France,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
EPI_ISL_445334,Chile,Chile,Italy,Chile,Chile,Belgium,Chile,Italy,Chile,Chile,Chile,Chile
EPI_ISL_445332,Chile,Chile,Chile,Spain,Spain,Chile,Chile,Chile,Spain,Chile,Chile,Chile
EPI_ISL_456834,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Portugal,UnitedKingdom,Switzerland,UnitedKingdom,UnitedKingdom,Italy,India,Portugal
EPI_ISL_418009,Portugal,UnitedKingdom,Portugal,UnitedKingdom,Portugal,Argentina,Spain,Portugal,UnitedKingdom,Italy,Chile,Portugal
EPI_ISL_459968,Morocco,India,Georgia,Italy,Italy,China,Belgium,France,DemocraticRepublicoftheCongo,Belgium,Switzerland,DemocraticRepublicoftheCongo
EPI_ISL_452195,India,India,India,India,India,India,India,India,India,France,India,India
EPI_ISL_454527,India,India,India,India,India,Norway,India,India,Italy,Austria,Italy,India
EPI_ISL_454532,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_431081,USA,USA,USA,USA,USA,USA,USA,USA,Nigeria,USA,Canada,USA
EPI_ISL_419735,Australia,USA,Germany,Japan,China,Germany,Japan,China,China,Germany,Japan,Australia
EPI_ISL_408430,China,Japan,Norway,Japan,China,Japan,Japan,Japan,Japan,Thailand,Japan,Australia
EPI_ISL_416612,Japan,Japan,Japan,Japan,Australia,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416607,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416601,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,China,Japan,Japan
EPI_ISL_434569,HongKong,Japan,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_412030,HongKong,HongKong,Italy,Australia,HongKong,HongKong,Japan,Japan,Italy,SaudiArabia,HongKong,Japan
EPI_ISL_434570,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419211,Israel,Japan,Japan,Australia,China,Japan,Japan,Australia,Japan,Japan,Japan,Japan
EPI_ISL_420889,Japan,Japan,Singapore,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Australia
EPI_ISL_430848,Sweden,Japan,Australia,Canada,Canada,Japan,Sweden,Belgium,Italy,Germany,Sweden,Germany
EPI_ISL_419835,Australia,Japan,Japan,Australia,Australia,Japan,Japan,Japan,Japan,Australia,Japan,Australia
EPI_ISL_416624,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416573,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416575,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416617,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416611,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_455975,Belgium,Japan,Taiwan,Japan,Belgium,Austria,Sweden,Belgium,Japan,Belgium,Sweden,Japan
EPI_ISL_416628,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_421573,SouthAfrica,India,India,India,India,India,India,Japan,Singapore,India,India,India
EPI_ISL_435084,India,India,India,Singapore,India,India,India,Japan,India,India,India,India
EPI_ISL_443232,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,India,Singapore
EPI_ISL_443188,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,India,India,Singapore
EPI_ISL_435088,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_416432,SaudiArabia,India,India,India,Malaysia,India,India,India,India,SaudiArabia,India,India
EPI_ISL_459957,Malaysia,India,India,Malaysia,Malaysia,Malaysia,India,Malaysia,Malaysia,Malaysia,India,Malaysia
EPI_ISL_447866,India,India,India,India,Singapore,India,India,India,India,India,India,India
EPI_ISL_435087,India,India,India,India,India,India,India,India,India,Malaysia,India,India
EPI_ISL_459956,Malaysia,India,India,Malaysia,Malaysia,Malaysia,India,India,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_454568,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_459955,Malaysia,India,Malaysia,Malaysia,Malaysia,Japan,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_456553,Australia,India,India,Malaysia,India,India,Singapore,India,India,India,India,India
EPI_ISL_428484,India,India,India,India,India,Malaysia,India,India,India,India,India,India
EPI_ISL_447921,Thailand,Taiwan,India,India,India,India,India,Taiwan,India,Singapore,India,India
EPI_ISL_447622,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_452178,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_452179,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_447571,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_419926,Australia,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_447583,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_429882,Taiwan,India,India,India,India,India,India,India,Taiwan,India,India,India
EPI_ISL_457977,Oman,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_459915,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_435096,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_436420,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_454830,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_435095,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_417917,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Singapore,Malaysia,Malaysia
EPI_ISL_428844,Singapore,Malaysia,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_455312,Malaysia,Malaysia,Malaysia,India,Malaysia,India,India,Malaysia,India,Singapore,Malaysia,Singapore
EPI_ISL_452215,India,Malaysia,India,India,India,India,India,India,India,India,India,India
EPI_ISL_455910,Thailand,Malaysia,Singapore,India,Singapore,Singapore,India,Malaysia,Taiwan,Singapore,India,Singapore
EPI_ISL_459953,Malaysia,Malaysia,Malaysia,India,Malaysia,Singapore,Malaysia,Malaysia,India,Singapore,Malaysia,Malaysia
EPI_ISL_462397,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462343,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_455656,India,Singapore,India,India,India,India,India,Singapore,India,India,Malaysia,India
EPI_ISL_443227,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_443216,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462286,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_443212,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_443244,Singapore,Singapore,Malaysia,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462407,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_458073,India,Singapore,India,India,India,India,India,Singapore,India,India,Singapore,India
EPI_ISL_428838,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462355,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462374,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_464183,UnitedKingdom,Singapore,Norway,Singapore,UnitedKingdom,Singapore,Japan,Japan,NewZealand,UnitedKingdom,UnitedKingdom,Japan
EPI_ISL_407988,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Japan,Singapore,Georgia,Singapore,UnitedKingdom,Singapore
EPI_ISL_435092,India,Singapore,India,India,India,India,India,India,India,India,India,India
EPI_ISL_462357,Singapore,Singapore,India,India,India,Singapore,Singapore,India,Singapore,India,India,India
EPI_ISL_417918,Malaysia,Singapore,Malaysia,Malaysia,Singapore,Malaysia,Malaysia,Malaysia,Malaysia,Chile,Malaysia,Malaysia
EPI_ISL_462322,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462412,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Malaysia,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462393,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_459954,Malaysia,Singapore,Malaysia,Malaysia,Malaysia,Malaysia,Singapore,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_462382,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462356,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_435074,India,Singapore,India,India,Singapore,India,India,India,India,Singapore,India,India
EPI_ISL_462375,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462427,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_436449,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_436422,India,India,India,India,India,India,India,Singapore,India,India,India,India
EPI_ISL_428845,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462321,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_428842,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_443213,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_422434,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462428,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_419831,Australia,Australia,Australia,Australia,Australia,HongKong,Australia,Australia,Australia,China,Japan,Australia
EPI_ISL_464180,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_421915,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_456377,NewZealand,UnitedKingdom,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand
EPI_ISL_418243,Spain,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,Jordan,NewZealand,NewZealand,Japan,Spain,Italy,UnitedKingdom
EPI_ISL_413025,SouthKorea,SouthKorea,USA,SouthKorea,USA,SouthKorea,SouthKorea,SouthKorea,Japan,NewZealand,USA,SouthKorea
EPI_ISL_427810,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,Japan,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_427813,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,Taiwan,SouthKorea,SouthKorea
EPI_ISL_427809,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_420799,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_420800,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_417483,Norway,UnitedKingdom,Norway,Jordan,UnitedKingdom,Norway,Jordan,Jordan,Norway,Norway,Jordan,Norway
EPI_ISL_437895,Greece,UnitedKingdom,UnitedKingdom,Jordan,NewZealand,Italy,UnitedKingdom,Netherlands,Greece,Netherlands,UnitedKingdom,UnitedKingdom
EPI_ISL_420841,DemocraticRepublicoftheCongo,Luxembourg,Luxembourg,SaudiArabia,SaudiArabia,DemocraticRepublicoftheCongo,Luxembourg,China,DemocraticRepublicoftheCongo,Luxembourg,Bangladesh,China
EPI_ISL_419569,Luxembourg,Luxembourg,Luxembourg,Jordan,Luxembourg,Luxembourg,Luxembourg,Netherlands,Luxembourg,Luxembourg,UnitedKingdom,UnitedKingdom
EPI_ISL_456168,NewZealand,NewZealand,NewZealand,Jordan,NewZealand,NewZealand,NewZealand,NewZealand,Thailand,NewZealand,NewZealand,NewZealand
EPI_ISL_437611,Thailand,NewZealand,NewZealand,Jordan,NewZealand,NewZealand,NewZealand,NewZealand,Thailand,NewZealand,NewZealand,NewZealand
EPI_ISL_413019,Switzerland,Switzerland,Jordan,Switzerland,UnitedKingdom,UnitedKingdom,UnitedKingdom,Switzerland,Netherlands,Netherlands,UnitedKingdom,UnitedKingdom
EPI_ISL_413016,Italy,UnitedKingdom,Norway,Brazil,Brazil,UnitedKingdom,Brazil,UnitedKingdom,Brazil,Brazil,UnitedKingdom,Netherlands
EPI_ISL_464216,UnitedKingdom,UnitedKingdom,UnitedKingdom,Brazil,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Netherlands,Brazil,UnitedKingdom,UnitedKingdom
EPI_ISL_461182,Netherlands,Netherlands,Netherlands,Brazil,Brazil,NewZealand,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
EPI_ISL_416032,Brazil,Netherlands,NewZealand,Brazil,Brazil,Brazil,UnitedKingdom,Australia,Brazil,Netherlands,Netherlands,UnitedKingdom
EPI_ISL_422750,Netherlands,Netherlands,UnitedKingdom,Jordan,Netherlands,NewZealand,UnitedKingdom,Netherlands,Netherlands,Netherlands,UnitedKingdom,Netherlands
EPI_ISL_447271,Israel,Netherlands,UnitedKingdom,Jordan,Netherlands,NewZealand,UnitedKingdom,Netherlands,Jordan,Netherlands,UnitedKingdom,Netherlands
EPI_ISL_417696,Iceland,Jordan,Greece,Switzerland,Jordan,Chile,UnitedKingdom,Netherlands,Brazil,Iceland,Iceland,UnitedKingdom
EPI_ISL_430000,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_430011,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_462450,BosniaandHerzegovina,Australia,Austria,Australia,BosniaandHerzegovina,BosniaandHerzegovina,Netherlands,Australia,Australia,Australia,Australia,UnitedKingdom
EPI_ISL_416516,Australia,Australia,UnitedKingdom,Australia,Brazil,BosniaandHerzegovina,Australia,Australia,Australia,Australia,Australia,UnitedKingdom
EPI_ISL_457995,Oman,Oman,Oman,Oman,BosniaandHerzegovina,Oman,Uruguay,Oman,Oman,Oman,Oman,Oman
EPI_ISL_437303,Austria,Oman,Austria,Oman,Austria,Austria,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_457990,Oman,Oman,Oman,Oman,Austria,Oman,Oman,Oman,Oman,Oman,Oman,Oman
EPI_ISL_457961,Uruguay,Uruguay,UnitedKingdom,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
EPI_ISL_457959,Uruguay,Uruguay,NewZealand,Uruguay,Uruguay,Uruguay,UnitedKingdom,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
EPI_ISL_464168,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom
EPI_ISL_414009,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,China,Italy,UnitedKingdom,UnitedKingdom
EPI_ISL_417498,USA,Canada,USA,USA,Canada,Canada,Canada,USA,USA,Canada,USA,UnitedKingdom
EPI_ISL_418858,Canada,Canada,USA,USA,Canada,Canada,Canada,USA,USA,Canada,USA,UnitedKingdom
EPI_ISL_434475,Greece,Jordan,Greece,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Greece,Jordan
