edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,32015,19585,1126,623,0,0,0
USA,5594,11400,18269,7266,45,0,0
Singapore,4630,5785,3608,3059,0,0,0
Sweden,4752,6780,11101,6250,226,0,0
France,1860,7834,21772,6041,0,0,0
SaudiArabia,253,3333,6556,5093,0,0,0
Belgium,1355,1286,6083,4216,15,0,0
Poland,1123,1460,4949,4975,4,0,0
UnitedKingdom,3147,5035,18037,5527,36,0,0
India,1627,6033,7817,2489,0,0,0
SouthKorea,249,2917,38,0,0,0,0
Germany,6480,6040,19746,3073,0,0,0
Netherlands,2233,2706,12773,3544,0,0,0
DemocraticRepublicoftheCongo,713,2009,4089,4599,0,0,0
Canada,88,1149,1950,3284,0,0,0
Switzerland,5369,4998,24151,4771,29,0,0
UnitedArabEmirates,1395,5925,2732,1528,0,0,0
Spain,3447,2996,12087,3530,0,0,0
Luxembourg,1254,2127,9374,3034,6,0,0
Brazil,365,1692,5422,2132,0,0,0
Denmark,360,1578,6796,3502,0,0,0
Italy,5065,6868,18572,3354,0,0,0
Russia,1690,5358,12874,3650,70,0,0
Bangladesh,1463,2255,2332,1563,100,0,0
HongKong,1628,3283,53,70,0,0,0
Austria,1363,1123,4151,1865,0,0,0
Japan,4306,6367,8196,3355,0,0,0
Taiwan,3501,3120,3374,1001,0,0,0
Australia,2440,7146,2847,2412,0,0,0
Hungary,331,1173,4051,1093,0,0,0
Greece,41,778,1533,117,0,0,0
Argentina,691,613,1736,1882,0,0,0
Israel,155,1496,4117,2036,0,0,0
Turkey,223,1161,1542,2821,3,0,0
Kazakhstan,0,199,949,655,0,0,0
Portugal,65,777,7780,1690,30,0,0
Malaysia,1385,1428,903,441,0,0,0
Vietnam,725,1599,9062,1457,0,0,0
Thailand,3184,2263,81,47,0,0,0
Chile,497,842,5332,1585,100,0,0
Norway,1262,859,4803,2123,0,0,0
Colombia,101,499,4018,1656,0,0,0
Jordan,114,615,795,1628,0,0,0
NewZealand,622,616,2459,2293,0,0,0
Latvia,311,1328,1716,755,0,0,0
Senegal,137,107,2401,10,0,0,0
Morocco,110,0,1134,272,0,0,0
Uganda,36,8,60,810,0,0,0
BosniaandHerzegovina,1243,824,2119,564,0,0,0
Iceland,161,71,829,993,0,0,0
Mexico,159,153,1368,305,0,0,0
Oman,98,1594,1580,1346,100,0,0
Nigeria,0,130,594,0,0,0,0
Uruguay,0,238,1023,558,0,0,0
CzechRepublic,168,278,610,124,0,0,0
Finland,61,78,615,844,0,0,0
