edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,42675,31106,3811,2835,0,0,0
USA,5594,11937,19810,12144,0,0,0
Sweden,6525,8000,14293,9900,500,0,0
Singapore,5199,6110,3500,2900,0,0,0
France,2100,6947,28807,12106,0,0,0
SaudiArabia,0,3602,9500,6801,0,0,0
Italy,7076,7689,25878,7082,0,0,0
India,1100,5644,6544,3100,0,0,0
Poland,1900,2200,8500,5700,0,0,0
Spain,5800,3300,17585,5400,0,0,0
Germany,7010,5100,23000,5700,0,0,0
Russia,900,8682,18269,6578,0,0,0
UnitedKingdom,3963,8090,19930,8966,0,0,0
Switzerland,4636,5783,24477,6689,0,0,0
Netherlands,1800,1971,13408,3807,0,0,0
SouthKorea,0,2700,0,0,0,0,0
Brazil,200,2100,7000,2000,0,0,0
DemocraticRepublicoftheCongo,800,2800,6174,5275,0,0,0
Belgium,800,1206,4947,3381,0,0,0
Luxembourg,1300,1980,11570,5030,100,0,0
Denmark,200,1875,6100,4025,0,0,0
UnitedArabEmirates,722,6222,3800,1811,0,0,0
Bangladesh,2500,2300,3200,2100,100,0,0
Australia,2528,7200,1900,2200,0,0,0
Vietnam,600,600,10812,1800,0,0,0
HongKong,1669,4500,200,189,0,0,0
Japan,4400,7000,8808,3104,0,0,0
Israel,0,2100,5400,2400,0,0,0
Thailand,3104,2104,0,0,0,0,0
Austria,1500,1100,4400,900,0,0,0
Norway,1100,900,6364,1916,0,0,0
Kazakhstan,0,200,800,700,0,0,0
Greece,0,700,1200,0,0,0,0
Hungary,100,800,3174,1004,0,0,0
Colombia,0,95,1995,1400,0,0,0
Portugal,0,1200,9837,1137,0,0,0
Jordan,300,1400,500,1700,0,0,0
Turkey,100,1400,1300,2185,0,0,0
Canada,100,500,516,1916,0,0,0
Argentina,700,600,1098,2096,0,0,0
BosniaandHerzegovina,1300,300,2000,600,0,0,0
Senegal,100,0,2200,0,0,0,0
Taiwan,2100,1730,2000,200,0,0,0
Malaysia,500,1000,400,100,0,0,0
Oman,0,1400,800,1400,100,0,0
Uganda,0,0,0,800,0,0,0
Uruguay,0,230,1230,600,0,0,0
Chile,300,758,3290,991,0,0,0
NewZealand,0,608,1900,954,0,0,0
Nigeria,0,100,600,0,0,0,0
Morocco,200,200,759,100,0,0,0
Latvia,0,1153,1100,602,0,0,0
Mexico,100,70,700,200,0,0,0
Finland,0,0,400,600,0,0,0
