30->441,96
45->949,77
67->30,70
30->104,58
67->445,47
445->67,43
30->726,42
920->949,40
45->30,37
949->740,28
45->67,27
949->920,26
920->740,25
949->45,22
45->445,21
104->30,21
920->45,20
30->67,18
45->920,17
740->949,15
67->104,14
30->445,13
441->30,12
67->726,10
445->726,8
45->740,8
445->30,7
726->30,6
104->445,5
740->45,4
30->949,4
445->740,4
45->726,4
445->949,2
740->920,2
445->104,2
30->45,2
67->949,2
104->949,1
30->740,1
949->726,1
949->30,1
726->67,1
726->445,1
949->67,1
104->45,1
67->740,1
