Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,6.00,11.00,18.00,23.00,0.00,0.00,0.00
NewYork,0.00,0.00,8.00,21.00,0.00,1.00,0.00
Virginia,2.00,12.00,18.00,15.00,0.00,0.00,0.00
Pennsylvania,0.00,0.00,19.00,20.00,0.00,0.00,0.00
Washington,0.00,2.00,13.00,17.00,0.00,0.00,0.00
Michigan,0.00,0.00,13.00,15.00,0.00,0.00,0.00
Illinois,0.00,1.00,8.00,12.00,7.00,0.00,1.00
Florida,0.00,0.00,4.00,21.00,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.00,1.00,9.00,13.00,0.00,0.00,0.00
Florida,0.00,2.00,10.00,14.00,1.00,0.00,1.00
NewYork,0.00,2.00,6.00,13.00,2.00,0.00,1.00
Utah,1.00,1.00,8.00,11.00,0.00,0.00,0.00
Virginia,2.00,1.00,7.00,12.00,0.00,0.00,0.00
Minnesota,0.00,2.00,8.00,13.00,1.00,0.00,1.00
Arizona,0.00,2.00,5.00,10.00,0.00,0.00,0.00
Connecticut,0.00,1.00,6.00,11.00,1.00,0.00,0.00
