Spreaders,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,Utah,5000,Missouri,2496,Massachusetts,2300,Illinois,1891,California,1790
2020-01,Missouri,4670,California,4379,Utah,4156,Arizona,4000,Illinois,3936
2020-02,NewYork,34872,Michigan,26389,California,26336,Florida,23140,Oregon,22190
2020-03,NewYork,42317,California,35370,Michigan,27416,Maryland,26085,Connecticut,23810
2020-04,Illinois,2900,Wisconsin,2438,Oregon,2100,California,2056,Utah,1500
2020-05,Wisconsin,7698,Illinois,6100,California,1804,Minnesota,202,Utah,200
2020-06,Wisconsin,2800,Illinois,2200,NewYork,300,Utah,200,California,100



Receivers,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,California,1929,Missouri,1862,Utah,1600,Illinois,1443,Oregon,1400
2020-01,Pennsylvania,3400,Florida,3207,Utah,2938,SouthCarolina,2850,California,2779
2020-02,Virginia,21538,Florida,21492,Utah,19048,NewYork,18871,California,18763
2020-03,Maryland,25379,Wisconsin,23701,Virginia,23102,Texas,23000,Connecticut,20632
2020-04,Wisconsin,2802,Washington,2200,California,1738,Illinois,1500,Michigan,1200
2020-05,Illinois,3900,Minnesota,2398,Wisconsin,2002,NewYork,2000,Florida,1600
2020-06,NewYork,1100,Illinois,1000,NewJersey,1000,Wisconsin,1000,Massachusetts,600
