TNet_bias,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
spreading,1040,3015,34872,42317,806,0,300
receiving,695,1995,18871,15043,500,2000,1100
,,,,,,,
,,,,,,,
random_sample,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
spreading,1338,3113,30693,27949,328,96,346
receiving,732,2319,20808,14927,513,1978,1053
