Spreaders,Name,Count
2019-122020-01,Missouri,4.00
,California,2.00
,Texas,2.00
,Illinois,2.00
2020-02,NewYork,20.00
,Michigan,17.00
,California,16.00
,Florida,16.00
,Utah,13.00
2020-03,NewYork,23.00
,California,21.00
,Connecticut,20.00
,Florida,18.00
,Michigan,17.00
2020-04,Wisconsin,2.00
,Oregon,1.00
,Illinois,1.00
,California,1.00
,Iowa,1.00
2020-05,Illinois,8.00
,Wisconsin,4.00
,California,2.00
2020-06,Wisconsin,3.00


Receivers,Name,Count
2019-122020-01,Washington,2.00
,SouthCarolina,2.00
,Wisconsin,1.00
,Massachusetts,1.00
,Utah,1.00
2020-02,Virginia,12.00
,Florida,12.00
,Illinois,11.00
,NewYork,11.00
,Utah,11.00
2020-03,Virginia,15.00
,Wisconsin,15.00
,Maryland,15.00
,Texas,14.00
,Minnesota,13.00
2020-04,Wisconsin,3.00
,Illinois,1.00
,Washington,1.00
,Minnesota,1.00
2020-05,Wisconsin,2.00
,Minnesota,2.00
,NewYork,2.00
,Florida,2.00
,Illinois,1.00
2020-06,Illinois,1.00
,NewYork,1.00
,NewJersey,1.00
