Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,1.79,4.34,26.27,35.31,2.06,1.80,0.10
NewYork,1.00,3.02,34.82,42.30,0.80,0.00,0.30
Virginia,0.90,0.50,13.34,19.21,0.60,0.00,0.00
Pennsylvania,0.00,1.60,12.10,14.70,0.10,0.00,0.00
Washington,0.00,1.02,19.62,12.22,0.20,0.00,0.00
Michigan,0.30,2.50,26.37,27.37,0.10,0.00,0.00
Illinois,1.85,3.90,5.79,10.93,2.90,6.10,2.20
Florida,0.50,3.50,23.07,20.91,0.22,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.30,1.30,16.90,25.36,0.00,0.00,0.00
Florida,0.70,3.20,21.51,20.46,0.68,1.60,0.10
NewYork,0.69,1.99,18.88,15.04,0.50,2.00,1.10
Utah,1.60,2.94,18.99,14.94,0.50,0.00,0.00
Virginia,1.00,1.60,21.55,23.12,0.10,0.00,0.00
Minnesota,0.10,1.80,18.48,20.53,0.90,2.40,0.20
Arizona,0.90,1.90,12.63,11.80,0.40,0.50,0.10
Connecticut,0.30,1.00,14.56,20.64,0.45,0.60,0.00
