70->727,97
94->106,73
237->105,66
724->70,60
724->949,60
70->949,48
106->94,42
724->911,40
911->105,40
94->105,33
911->94,29
727->70,28
106->237,27
105->237,25
94->237,23
70->724,23
911->237,20
106->105,18
911->106,16
105->94,15
105->106,14
237->94,13
105->911,13
727->949,11
94->949,11
911->70,11
237->106,11
911->724,10
911->949,9
70->911,9
724->105,8
724->94,7
94->911,6
949->724,6
106->949,5
949->70,5
949->911,4
237->911,3
106->911,3
105->70,3
70->106,2
724->106,2
94->70,2
724->727,2
237->724,1
106->724,1
105->949,1
70->105,1
70->94,1
94->724,1
949->94,1
949->105,1
949->237,1
949->106,1
237->949,1
911->727,1
70->237,1
105->724,1
