host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7
30,1000_to_1099,1049.5,17,17,1,1,0.008194941176470589,0.008194941176470589,0.018717,0.031631000000000006,0.008681102941176471,0.008681102941176471,0.008194941176470589,0.008194941176470589,0.018717,0.031631000000000006,0.008681102941176471,0.008681102941176471,1,0,0,0,0,0,0
46,1000_to_1099,1049.5,57,57,2,7,0.013782684210526315,0.014595500000000003,0.028428,0.075643,0.02347355388471178,0.02231042160278746,0.013782684210526315,0.014595500000000003,0.028428,0.075643,0.02347355388471178,0.02231042160278746,0.7368421052631579,0.2631578947368421,0,0,0,0,0
30,10000_to_10099,10049.5,17,17,1,4,0.008001176470588236,0.008001176470588236,0.024859000000000003,0.049554,0.01585630882352941,0.01585630882352941,0.008001176470588236,0.008001176470588236,0.024859000000000003,0.049554,0.01585630882352941,0.01585630882352941,1,0,0,0,0,0,0
46,10000_to_10099,10049.5,57,57,3,15,0.028937263157894726,0.029896607142857152,0.051061,0.11819500000000002,0.04869892355889725,0.04494892857142858,0.028937263157894726,0.029896607142857152,0.051061,0.11819500000000002,0.04869892355889725,0.04494892857142858,0.49122807017543857,0.47368421052631576,0.03508771929824561,0,0,0,0
30,10100_to_10199,10149.5,17,17,1,1,0.0025956470588235294,0.0025956470588235294,0.016598,0.024457,0.0051861029411764716,0.0051861029411764716,0.0025956470588235294,0.0025956470588235294,0.016598,0.024457,0.0051861029411764716,0.0051861029411764716,1,0,0,0,0,0,0
46,10100_to_10199,10149.5,57,57,2,11,0.02536894736842105,0.02675579487179487,0.03295,0.09132900000000001,0.033066835839599,0.01927466396761134,0.02536894736842105,0.02675579487179487,0.03295,0.09132900000000001,0.033066835839599,0.01927466396761134,0.6842105263157895,0.3157894736842105,0,0,0,0,0
30,10200_to_10299,10249.5,17,17,1,10,0.0041043529411764704,0.0041043529411764704,0.014102,0.02343,0.008134941176470588,0.008134941176470588,0.0041043529411764704,0.0041043529411764704,0.014102,0.02343,0.008134941176470588,0.008134941176470588,1,0,0,0,0,0,0
46,10200_to_10299,10249.5,57,57,3,13,0.04058947368421052,0.03508036111111111,0.045195,0.164225,0.061885671679198,0.039466103174603175,0.04058947368421052,0.03508036111111111,0.045195,0.164225,0.061885671679198,0.039466103174603175,0.631578947368421,0.3333333333333333,0.03508771929824561,0,0,0,0
30,10300_to_10399,10349.5,17,17,2,2,0.01121,0.0030352499999999998,0.020385999999999998,0.032574,0.008048941176470589,0.0059993,0.01121,0.0030352499999999998,0.020385999999999998,0.032574,0.008048941176470589,0.0059993,0.9411764705882353,0.058823529411764705,0,0,0,0,0
46,10300_to_10399,10349.5,57,57,2,5,0.013959982456140352,0.012755409090909088,0.016644,0.070291,0.01942501879699248,0.012623167019027484,0.013959982456140352,0.012755409090909088,0.016644,0.070291,0.01942501879699248,0.012623167019027484,0.7719298245614035,0.22807017543859648,0,0,0,0,0
30,10400_to_10499,10449.5,17,17,1,1,0.006024470588235293,0.006024470588235293,0.027035,0.04386000000000001,0.011920794117647059,0.011920794117647059,0.006024470588235293,0.006024470588235293,0.027035,0.04386000000000001,0.011920794117647059,0.011920794117647059,1,0,0,0,0,0,0
46,10400_to_10499,10449.5,57,57,2,10,0.018665614035087718,0.017162921052631574,0.039119,0.089912,0.0301872343358396,0.02268696017069701,0.018665614035087718,0.017162921052631574,0.039119,0.089912,0.0301872343358396,0.02268696017069701,0.6666666666666666,0.3333333333333333,0,0,0,0,0
30,10500_to_10599,10549.5,17,17,1,1,0.0053939999999999995,0.0053939999999999995,0.029548,0.047468,0.01058389705882353,0.01058389705882353,0.0053939999999999995,0.0053939999999999995,0.029548,0.047468,0.01058389705882353,0.01058389705882353,1,0,0,0,0,0,0
46,10500_to_10599,10549.5,57,57,2,6,0.02354284210526316,0.024127102564102564,0.022881,0.092706,0.0347472343358396,0.024829425101214577,0.02354284210526316,0.024127102564102564,0.022881,0.092706,0.0347472343358396,0.024829425101214577,0.6842105263157895,0.3157894736842105,0,0,0,0,0
30,10600_to_10699,10649.5,17,17,1,1,0.010991117647058823,0.010991117647058823,0.032081,0.051798,0.01328035294117647,0.01328035294117647,0.010991117647058823,0.010991117647058823,0.032081,0.051798,0.01328035294117647,0.01328035294117647,1,0,0,0,0,0,0
46,10600_to_10699,10649.5,57,57,2,12,0.03711763157894736,0.03069100000000001,0.042951,0.16986400000000001,0.05545549248120301,0.04129727936507936,0.03711763157894736,0.03069100000000001,0.042951,0.16986400000000001,0.05545549248120301,0.04129727936507936,0.631578947368421,0.3684210526315789,0,0,0,0,0
30,10700_to_10799,10749.5,17,17,2,2,0.008215588235294119,0.0043985000000000005,0.013226,0.029613000000000007,0.009113632352941178,0.008655783333333333,0.008215588235294119,0.0043985000000000005,0.013226,0.029613000000000007,0.009113632352941178,0.008655783333333333,0.9411764705882353,0.058823529411764705,0,0,0,0,0
46,10700_to_10799,10749.5,57,57,2,8,0.02394214035087719,0.025596099999999993,0.021199,0.09728,0.03164121428571429,0.02104284871794872,0.02394214035087719,0.025596099999999993,0.021199,0.09728,0.03164121428571429,0.02104284871794872,0.7017543859649122,0.2982456140350877,0,0,0,0,0
30,10800_to_10899,10849.5,17,17,7,14,0.004578411764705884,0.001941375,0.011734999999999999,0.023460999999999996,0.009036147058823529,0.003880892857142857,0.004578411764705884,0.001941375,0.011734999999999999,0.023460999999999996,0.009036147058823529,0.003880892857142857,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
46,10800_to_10899,10849.5,57,57,6,14,0.01630456140350877,0.01951815789473684,0.028408,0.07579,0.021404179197994987,0.013734440967283074,0.01630456140350877,0.01951815789473684,0.028408,0.07579,0.021404179197994987,0.013734440967283074,0.6666666666666666,0.21052631578947367,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.017543859649122806,0
30,10900_to_10999,10949.5,17,17,1,1,0.013816058823529412,0.013816058823529412,0.016756,0.04553499999999999,0.012625323529411763,0.012625323529411763,0.013816058823529412,0.013816058823529412,0.016756,0.04553499999999999,0.012625323529411763,0.012625323529411763,1,0,0,0,0,0,0
46,10900_to_10999,10949.5,57,57,2,6,0.019886421052631584,0.017877976744186046,0.038485,0.08393099999999999,0.03146480827067669,0.023784046511627906,0.019886421052631584,0.017877976744186046,0.038485,0.08393099999999999,0.03146480827067669,0.023784046511627906,0.7543859649122807,0.24561403508771928,0,0,0,0,0
30,1100_to_1199,1149.5,17,17,1,13,0.00698694117647059,0.00698694117647059,0.025493,0.048922999999999994,0.01376375,0.01376375,0.00698694117647059,0.00698694117647059,0.025493,0.048922999999999994,0.01376375,0.01376375,1,0,0,0,0,0,0
46,1100_to_1199,1149.5,57,57,4,4,0.035115754385964905,0.039678304347826085,0.032972,0.16617300000000002,0.06046882832080201,0.05541056126482214,0.035115754385964905,0.039678304347826085,0.032972,0.16617300000000002,0.06046882832080201,0.05541056126482214,0.40350877192982454,0.3684210526315789,0.19298245614035087,0.03508771929824561,0,0,0
30,1200_to_1299,1249.5,17,17,1,1,0.004734529411764705,0.004734529411764705,0.007708,0.023053999999999998,0.009297,0.009297,0.004734529411764705,0.004734529411764705,0.007708,0.023053999999999998,0.009297,0.009297,1,0,0,0,0,0,0
46,1200_to_1299,1249.5,57,57,2,4,0.02113631578947368,0.018020380952380954,0.036334,0.09872900000000001,0.030943577694235593,0.01963331475029036,0.02113631578947368,0.018020380952380954,0.036334,0.09872900000000001,0.030943577694235593,0.01963331475029036,0.7368421052631579,0.2631578947368421,0,0,0,0,0
30,1300_to_1399,1349.5,17,17,1,1,0.0038535294117647066,0.0038535294117647066,0.025932,0.040785,0.007627661764705883,0.007627661764705883,0.0038535294117647066,0.0038535294117647066,0.025932,0.040785,0.007627661764705883,0.007627661764705883,1,0,0,0,0,0,0
46,1300_to_1399,1349.5,57,57,2,12,0.037432315789473695,0.03415762857142857,0.044979,0.22966600000000004,0.06422062781954888,0.053236534453781514,0.037432315789473695,0.03415762857142857,0.044979,0.22966600000000004,0.06422062781954888,0.053236534453781514,0.6140350877192983,0.38596491228070173,0,0,0,0,0
30,1400_to_1499,1449.5,17,17,1,2,0.016953470588235292,0.016953470588235292,0.020572,0.049722999999999996,0.011878588235294116,0.011878588235294116,0.016953470588235292,0.016953470588235292,0.020572,0.049722999999999996,0.011878588235294116,0.011878588235294116,1,0,0,0,0,0,0
46,1400_to_1499,1449.5,57,57,3,8,0.023345245614035087,0.021252487804878047,0.030635,0.10136999999999999,0.03891685338345865,0.03174515853658537,0.023345245614035087,0.021252487804878047,0.030635,0.10136999999999999,0.03891685338345865,0.03174515853658537,0.7192982456140351,0.24561403508771928,0.03508771929824561,0,0,0,0
30,1500_to_1599,1549.5,17,17,1,1,0.016587235294117646,0.016587235294117646,0.020139,0.040117,0.012342235294117647,0.012342235294117647,0.016587235294117646,0.016587235294117646,0.020139,0.040117,0.012342235294117647,0.012342235294117647,1,0,0,0,0,0,0
46,1500_to_1599,1549.5,57,57,2,12,0.021910894736842105,0.025427780487804887,0.020327,0.074533,0.02846973308270677,0.022283421951219514,0.021910894736842105,0.025427780487804887,0.020327,0.074533,0.02846973308270677,0.022283421951219514,0.7192982456140351,0.2807017543859649,0,0,0,0,0
30,1600_to_1699,1649.5,17,17,1,1,0.01730141176470588,0.01730141176470588,0.018375,0.032221,0.010172441176470587,0.010172441176470587,0.01730141176470588,0.01730141176470588,0.018375,0.032221,0.010172441176470587,0.010172441176470587,1,0,0,0,0,0,0
