4->90,99
4->13,98
4->28,96
4->92,96
4->89,93
4->6,92
4->16,87
4->25,78
90->4,37
90->92,34
90->13,32
90->28,27
25->16,23
90->25,18
92->13,16
90->16,16
13->92,16
13->90,15
89->90,15
89->4,12
92->4,12
13->4,11
89->13,10
92->89,10
92->90,10
92->28,10
90->89,10
13->89,9
16->25,9
89->92,9
90->6,7
13->28,7
92->6,6
89->16,6
28->90,5
28->92,5
25->4,5
25->90,4
89->6,4
6->89,4
28->4,4
92->25,4
13->6,3
92->16,3
28->13,3
25->13,2
25->92,2
89->28,2
13->16,2
13->25,2
25->28,2
89->25,2
28->25,1
28->16,1
28->6,1
16->4,1
6->4,1
6->92,1
6->13,1
