10->167,100
222->83,100
222->949,100
222->384,100
634->53,100
222->129,99
596->137,98
634->467,98
222->163,97
222->697,97
634->399,97
222->101,96
697->999,96
222->688,96
222->505,95
222->366,94
222->851,94
634->918,94
222->130,93
174->290,90
10->155,90
634->231,89
174->471,88
634->19,88
174->349,87
634->863,87
174->943,86
634->713,86
174->75,85
654->691,84
654->10,83
174->298,81
634->497,81
10->333,81
174->150,80
174->574,80
634->348,80
634->218,79
10->140,79
10->656,78
174->331,77
222->409,74
174->385,74
174->586,73
174->596,70
174->222,67
174->14,66
222->216,66
325->634,66
222->840,62
435->325,60
222->185,54
697->398,54
298->507,52
298->331,52
174->435,47
654->174,47
174->654,43
222->398,41
697->216,36
72->174,34
10->72,33
174->906,31
471->222,29
10->174,28
385->174,28
331->507,28
10->691,27
691->10,27
10->906,26
174->72,26
174->840,26
101->409,25
654->906,24
174->507,24
174->691,24
654->72,23
331->298,23
654->435,23
174->10,22
174->185,22
174->325,21
19->497,18
943->174,18
75->290,18
19->634,17
691->174,16
840->185,15
290->150,15
851->222,14
19->218,14
129->222,14
471->174,13
19->348,13
586->14,13
298->174,13
290->75,13
851->130,12
140->10,11
471->840,11
435->634,11
333->656,11
333->10,11
654->385,11
325->231,11
691->72,10
290->174,10
654->333,9
691->906,9
999->222,9
586->596,9
654->325,9
654->586,9
325->863,9
435->174,9
654->656,8
654->140,8
471->185,8
155->10,8
654->574,8
918->713,7
10->435,7
385->349,7
222->471,7
654->596,7
654->14,7
654->943,7
691->140,7
507->331,6
222->174,6
231->634,6
19->918,6
222->999,6
325->435,5
10->654,5
174->333,5
167->10,5
218->348,5
691->155,5
497->19,5
218->634,5
75->174,5
216->398,5
174->140,5
349->174,4
918->19,4
691->435,4
325->19,4
14->586,4
14->596,4
348->634,4
19->713,4
216->697,4
174->634,4
130->222,3
75->150,3
851->505,3
851->366,3
174->688,3
10->574,3
918->634,3
654->349,3
691->325,3
691->654,3
140->906,3
851->101,3
349->10,3
596->14,3
596->586,3
691->586,3
586->10,2
130->851,2
10->385,2
150->290,2
140->155,2
325->918,2
918->231,2
999->697,2
697->222,2
471->290,2
10->596,2
10->14,2
10->586,2
10->325,2
231->19,2
435->574,2
435->943,2
471->851,2
471->505,2
471->366,2
129->163,2
654->19,2
654->634,2
918->399,2
399->634,2
325->218,2
218->19,2
19->863,2
435->231,2
435->19,2
348->918,2
943->574,2
435->218,2
140->691,2
586->174,2
174->155,2
691->14,2
691->596,2
155->691,2
348->218,2
688->185,1
688->840,1
497->863,1
331->691,1
691->943,1
691->574,1
10->943,1
918->497,1
216->163,1
10->471,1
471->150,1
574->174,1
574->943,1
14->137,1
471->72,1
691->333,1
471->101,1
72->906,1
654->218,1
654->348,1
654->231,1
654->471,1
75->385,1
290->906,1
290->72,1
222->691,1
174->851,1
851->409,1
385->906,1
851->174,1
691->467,1
691->634,1
325->713,1
691->298,1
691->331,1
691->507,1
174->656,1
167->333,1
174->137,1
137->596,1
906->72,1
231->713,1
231->918,1
586->75,1
290->222,1
688->222,1
325->348,1
435->863,1
348->19,1
150->174,1
349->574,1
75->222,1
349->906,1
349->72,1
174->129,1
155->140,1
53->634,1
691->222,1
174->19,1
325->467,1
505->366,1
290->596,1
290->14,1
290->586,1
691->385,1
586->471,1
586->290,1
713->399,1
713->634,1
505->851,1
19->231,1
325->497,1
497->634,1
497->231,1
497->918,1
497->713,1
471->688,1
298->691,1
654->290,1
654->222,1
435->691,1
691->471,1
691->290,1
